NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFRC	317	3.868267059326172	0.13732803	Yes	
row_1	LTBP3	1320	2.2717857360839844	0.17615454	Yes	
row_2	ATP6AP1	1435	2.184948444366455	0.25705788	Yes	
row_3	DEF8	1502	2.1429953575134277	0.33875632	Yes	
row_4	PPARGC1B	1759	1.9932693243026733	0.40476972	Yes	
row_5	TNFRSF11A	2371	1.6981228590011597	0.44086555	Yes	
row_6	PLEKHM1	2613	1.5923731327056885	0.4917314	Yes	
row_7	DCSTAMP	3105	1.4089045524597168	0.5224965	Yes	
row_8	PRKCA	3371	1.3301395177841187	0.56172067	Yes	
row_9	SPP1	3409	1.3197776079177856	0.61222214	Yes	
row_10	EGFR	3633	1.2515552043914795	0.6504795	Yes	
row_11	TNFSF11	8827	0.2750278115272522	0.395173	No	
row_12	TMEM64	10106	0.0894707664847374	0.3332069	No	
row_13	SYK	10533	0.030052168294787407	0.31256062	No	
row_14	CA2	11067	-0.045800983905792236	0.2870541	No	
row_15	MC4R	14009	-0.5182503461837769	0.15685575	No	
row_16	TF	16025	-0.9820165634155273	0.0925426	No	
row_17	FSHB	16277	-1.0604242086410522	0.12177614	No	
row_18	ADAM8	16463	-1.124219536781311	0.15692608	No	
