NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPUSD4	468	3.3987364768981934	0.121580176	Yes	
row_1	TRMT10C	582	3.1443698406219482	0.25046247	Yes	
row_2	UQCC1	1048	2.527592420578003	0.334885	Yes	
row_3	NSUN4	1343	2.2514679431915283	0.4162462	Yes	
row_4	FASTKD3	1754	1.9950263500213623	0.48067796	Yes	
row_5	FASTKD2	2208	1.7627257108688354	0.53295606	Yes	
row_6	CDK5RAP1	2558	1.6139755249023438	0.58419406	Yes	
row_7	MPV17L2	2725	1.5484029054641724	0.64200383	Yes	
row_8	C1QBP	10432	0.04186583682894707	0.24879976	No	
row_9	TRUB2	11047	-0.04247216880321503	0.2191462	No	
row_10	RMND1	11191	-0.06217882037162781	0.21447939	No	
row_11	MRPS27	11349	-0.0846242904663086	0.21005632	No	
row_12	UQCC2	15671	-0.8822575211524963	0.026356198	No	
row_13	NGRN	15980	-0.9676850438117981	0.05201491	No	
row_14	COA3	16310	-1.0705206394195557	0.081001684	No	
row_15	RPUSD3	18140	-1.9540231227874756	0.07094159	No	
