NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GHSR	1286	2.2978553771972656	-0.007904132	No	
row_1	CLSTN3	2131	1.7986897230148315	-0.005750259	No	
row_2	GPC4	2149	1.7925206422805786	0.038660206	No	
row_3	TYROBP	3786	1.2065234184265137	-0.014762578	No	
row_4	NPTN	4370	1.0579267740249634	-0.01793641	No	
row_5	STX7	6062	0.710845410823822	-0.08670157	No	
row_6	NLGN2	6488	0.6325100064277649	-0.092519216	No	
row_7	WNT5A	7253	0.5075512528419495	-0.11887905	No	
row_8	ADAM10	8405	0.33407706022262573	-0.16946833	No	
row_9	WNT7A	9716	0.14586177468299866	-0.23296654	No	
row_10	CNIH2	9745	0.1407640129327774	-0.23084655	No	
row_11	MAPT	10681	0.007269833702594042	-0.27861407	No	
row_12	ARHGAP44	12555	-0.27259910106658936	-0.36778393	No	
row_13	DLG1	13468	-0.4207269549369812	-0.40392727	No	
row_14	RAP1A	13547	-0.4334180951118469	-0.39697853	No	
row_15	ABHD17B	13904	-0.4985217750072479	-0.40264234	No	
row_16	GPC6	14955	-0.7079308032989502	-0.43860763	No	
row_17	GRIPAP1	16633	-1.1891882419586182	-0.494571	No	
row_18	IQSEC2	18525	-2.3124678134918213	-0.5331332	Yes	
row_19	DAG1	18699	-2.5195744037628174	-0.47835648	Yes	
row_20	PRKCZ	18802	-2.6257686614990234	-0.41725588	Yes	
row_21	HRAS	18835	-2.674495220184326	-0.35133442	Yes	
row_22	ZDHHC3	19084	-3.102470874786377	-0.285679	Yes	
row_23	DBN1	19138	-3.2334840297698975	-0.20671347	Yes	
row_24	NLGN1	19295	-3.8274474143981934	-0.11802566	Yes	
row_25	DVL1	19444	-5.134960174560547	0.0041025556	Yes	
