NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKP2	5669	0.7825872898101807	-0.24875923	No	
row_1	RNF207	6870	0.5719411373138428	-0.2797102	No	
row_2	CTNNA3	7949	0.39863157272338867	-0.31366703	No	
row_3	DSG2	12114	-0.2009245753288269	-0.51636165	No	
row_4	JUP	12862	-0.3194383382797241	-0.5375837	No	
row_5	BIN1	13113	-0.3638462424278259	-0.5309592	No	
row_6	DSP	13270	-0.38738444447517395	-0.51825905	No	
row_7	DLG1	13468	-0.4207269549369812	-0.5058791	No	
row_8	CAV1	13977	-0.5116718411445618	-0.504581	No	
row_9	KCNE3	15632	-0.8723028898239136	-0.54275525	No	
row_10	NOS1AP	17715	-1.6800029277801514	-0.5597156	Yes	
row_11	CACNA1C	17770	-1.7146233320236206	-0.4708797	Yes	
row_12	TRPM4	18682	-2.4914355278015137	-0.3844688	Yes	
row_13	RYR2	18828	-2.668549060821533	-0.24933368	Yes	
row_14	DSC2	19455	-5.333769798278809	0.0035368195	Yes	
