NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINA5	2028	1.8500701189041138	-0.031716656	No	
row_1	FABP5	5860	0.7510971426963806	-0.19876122	No	
row_2	NR2F2	8858	0.26975759863853455	-0.34185004	No	
row_3	IGF2R	12382	-0.24015969038009644	-0.5130564	No	
row_4	RXRA	13479	-0.422600120306015	-0.5527353	No	
row_5	LCN12	13579	-0.43964749574661255	-0.540644	No	
row_6	LRAT	14071	-0.5305336713790894	-0.54509735	No	
row_7	CYP2W1	15962	-0.962339460849762	-0.6044015	Yes	
row_8	CRABP1	16063	-0.9933168292045593	-0.5707436	Yes	
row_9	RARA	17428	-1.5140260457992554	-0.5815454	Yes	
row_10	CYP26A1	17955	-1.823352575302124	-0.53731513	Yes	
row_11	CYP27C1	18300	-2.0904746055603027	-0.47332615	Yes	
row_12	CYP26C1	18438	-2.2282183170318604	-0.39334852	Yes	
row_13	CRABP2	18843	-2.6800684928894043	-0.3094145	Yes	
row_14	CYP26B1	19325	-3.9908177852630615	-0.17824966	Yes	
row_15	UGT1A1	19415	-4.825211524963379	0.0055871243	Yes	
