NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH8A1	691	2.966567277908325	0.03562792	No	
row_1	ADH7	2390	1.69041907787323	-0.010968909	No	
row_2	ALDH1A3	4801	0.9555870294570923	-0.11169068	No	
row_3	CYP2C8	5295	0.8577120304107666	-0.11642941	No	
row_4	ADH1A	6588	0.6193206906318665	-0.16786213	No	
row_5	DHRS9	7115	0.5306455492973328	-0.18212916	No	
row_6	ALDH1A2	8189	0.36604124307632446	-0.22839671	No	
row_7	RDH10	9250	0.21431417763233185	-0.27763245	No	
row_8	ADH1B	9630	0.1572376787662506	-0.29330534	No	
row_9	SCPEP1	9897	0.11606507003307343	-0.30416855	No	
row_10	RBP1	11026	-0.039668869227170944	-0.3610762	No	
row_11	CYP2C18	11454	-0.09922575950622559	-0.38060096	No	
row_12	CYP3A4	12565	-0.2743324637413025	-0.43096343	No	
row_13	AKR1C3	14132	-0.5408433675765991	-0.4983304	No	
row_14	CYP2S1	14705	-0.6545720100402832	-0.511988	No	
row_15	CYP3A7	15783	-0.9135861992835999	-0.545343	Yes	
row_16	ADH1C	15805	-0.9196251034736633	-0.5243883	Yes	
row_17	CYP2W1	15962	-0.962339460849762	-0.50933486	Yes	
row_18	CRABP1	16063	-0.9933168292045593	-0.49066687	Yes	
row_19	CYP1A1	17356	-1.48072350025177	-0.5214627	Yes	
row_20	CYP26A1	17955	-1.823352575302124	-0.50845295	Yes	
row_21	CYP3A5	18055	-1.8912149667739868	-0.4682224	Yes	
row_22	CYP27C1	18300	-2.0904746055603027	-0.43065557	Yes	
row_23	CYP26C1	18438	-2.2282183170318604	-0.38430044	Yes	
row_24	BCO2	18606	-2.410088300704956	-0.33512697	Yes	
row_25	CRABP2	18843	-2.6800684928894043	-0.28302467	Yes	
row_26	CYP26B1	19325	-3.9908177852630615	-0.21208699	Yes	
row_27	ADH6	19385	-4.449251651763916	-0.10852098	Yes	
row_28	UGT1A1	19415	-4.825211524963379	0.005590814	Yes	
