NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBXW4	611	3.0930376052856445	0.010808209	No	
row_1	FBXL19	2109	1.805464267730713	-0.04146435	No	
row_2	FBXW8	2958	1.4605849981307983	-0.06510169	No	
row_3	FBXL20	2981	1.4538991451263428	-0.04639728	No	
row_4	FBXL18	3031	1.4363397359848022	-0.029319456	No	
row_5	FBXO45	3067	1.4238488674163818	-0.011692832	No	
row_6	FBXO2	3221	1.3744858503341675	-8.014868E-4	No	
row_7	FBXL22	3279	1.3568065166473389	0.014780346	No	
row_8	CUL4A	3551	1.2724608182907104	0.018217979	No	
row_9	FBXL5	4404	1.0486634969711304	-0.011244419	No	
row_10	FBXL17	5209	0.8758471608161926	-0.040598597	No	
row_11	FBXO48	5405	0.8328328132629395	-0.039254278	No	
row_12	SPSB1	5662	0.7840251326560974	-0.041709475	No	
row_13	SKP1	6765	0.5906150937080383	-0.09026363	No	
row_14	CUL2	7412	0.48254820704460144	-0.11686661	No	
row_15	RBX1	7869	0.41013529896736145	-0.13469687	No	
row_16	FBXO9	8491	0.3227686882019043	-0.16219532	No	
row_17	SPSB2	8633	0.3045879304409027	-0.16528343	No	
row_18	FBXL3	8753	0.2860587239265442	-0.16749415	No	
row_19	FBXO27	9295	0.20767933130264282	-0.19245295	No	
row_20	BTRC	9315	0.20558910071849823	-0.1906243	No	
row_21	FBXO7	9707	0.1476351022720337	-0.20869651	No	
row_22	CUL1	9729	0.14347703754901886	-0.20781796	No	
row_23	FBXW7	9825	0.12716974318027496	-0.21096337	No	
row_24	FBXW5	10984	-0.034156810492277145	-0.26998574	No	
row_25	CUL4B	11010	-0.03773059323430061	-0.2707553	No	
row_26	FBXO17	11122	-0.051824893802404404	-0.27575052	No	
row_27	CUL5	11955	-0.176387220621109	-0.31608537	No	
row_28	FBXL2	12103	-0.19914864003658295	-0.32092017	No	
row_29	SPSB4	12147	-0.20441332459449768	-0.32034045	No	
row_30	FBXO25	12200	-0.21242155134677887	-0.32011387	No	
row_31	FBXO31	12225	-0.215462327003479	-0.31840736	No	
row_32	CCNF	12497	-0.2603360712528229	-0.3287775	No	
row_33	CKS1B	12888	-0.32527533173561096	-0.3443749	No	
row_34	CACYBP	13592	-0.441064715385437	-0.374472	No	
row_35	SKP2	13614	-0.44383516907691956	-0.36949584	No	
row_36	SPSB3	13660	-0.4522952437400818	-0.3656372	No	
row_37	NCCRP1	14028	-0.5215039849281311	-0.37737605	No	
row_38	ARIH1	14435	-0.5956376791000366	-0.39010704	No	
row_39	FBXW11	14468	-0.6034852862358093	-0.38351798	No	
row_40	FBXL4	15250	-0.7757977843284607	-0.4130555	No	
row_41	FBXL13	16327	-1.074995756149292	-0.45366594	No	
row_42	FBXO38	16668	-1.2018638849258423	-0.45473605	No	
row_43	FBXO39	17163	-1.391635775566101	-0.46112847	Yes	
row_44	FBXL12	17309	-1.4575964212417603	-0.44869232	Yes	
row_45	CKS2	17460	-1.5302724838256836	-0.43552157	Yes	
row_46	AMN1	17586	-1.5982295274734497	-0.42013943	Yes	
row_47	TRIM21	17751	-1.704214334487915	-0.4053149	Yes	
row_48	FBXL7	17853	-1.7673131227493286	-0.38639316	Yes	
row_49	FBXO33	17967	-1.8326185941696167	-0.36719695	Yes	
row_50	USP47	18127	-1.942388653755188	-0.3488663	Yes	
row_51	FBXL15	18757	-2.5736937522888184	-0.34606785	Yes	
row_52	FBXO32	19118	-3.1896145343780518	-0.32104784	Yes	
row_53	FBXL16	19127	-3.1981093883514404	-0.2778291	Yes	
row_54	FBXL6	19219	-3.4966609477996826	-0.23480129	Yes	
row_55	FBXO44	19232	-3.539463758468628	-0.18713118	Yes	
row_56	FBXO4	19235	-3.547689914703369	-0.13883513	Yes	
row_57	FBXL14	19370	-4.325733661651611	-0.0867058	Yes	
row_58	FBXO6	19498	-6.931775093078613	0.0013356362	Yes	
