NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC18A2	152	4.613509654998779	0.17303514	Yes	
row_1	SLC22A1	304	3.927546739578247	0.31923497	Yes	
row_2	CNR1	1010	2.571934223175049	0.38389656	Yes	
row_3	SLC22A2	1598	2.0861940383911133	0.4355694	Yes	
row_4	SNCA	1867	1.936659336090088	0.4977368	Yes	
row_5	SLC18A1	2291	1.7277045249938965	0.54376704	Yes	
row_6	SLC29A4	2417	1.6744152307510376	0.60298747	Yes	
row_7	SLC6A4	2896	1.4800775051116943	0.63649195	Yes	
row_8	FCER1G	8630	0.30482304096221924	0.3544999	No	
row_9	GPM6B	8724	0.2907502055168152	0.36112773	No	
row_10	ITGB3	8861	0.2695333957672119	0.36471927	No	
row_11	HRH3	9336	0.2029533088207245	0.34837142	No	
row_12	SYK	10533	0.030052168294787407	0.28822857	No	
row_13	SLC22A3	10842	-0.013766063377261162	0.2729765	No	
row_14	CRH	11962	-0.1782008707523346	0.2225883	No	
row_15	P2RX1	12836	-0.315756231546402	0.19020446	No	
row_16	HTR1A	13096	-0.36123737692832947	0.19108397	No	
row_17	LILRB1	13236	-0.3811251223087311	0.19889559	No	
row_18	HTR1B	14275	-0.5669918656349182	0.16789922	No	
row_19	MAOB	14988	-0.7149425745010376	0.15941635	No	
row_20	NOS1	18016	-1.8650156259536743	0.077317476	No	
