NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEMIN5	4278	1.078197956085205	-0.1656154	No	
row_1	GEMIN7	7051	0.5419203042984009	-0.28073084	No	
row_2	SMN1	8565	0.313837468624115	-0.34266403	No	
row_3	SNRPG	10023	0.1005861908197403	-0.41234356	No	
row_4	SNRPD3	11276	-0.07519876956939697	-0.4727785	No	
row_5	SNRPE	12500	-0.2607842981815338	-0.5224873	No	
row_6	GEMIN6	12867	-0.32018131017684937	-0.52530825	No	
row_7	GEMIN2	12872	-0.3212164342403412	-0.5095212	No	
row_8	SNRPD2	13243	-0.3829708397388458	-0.50942117	No	
row_9	FMR1	13485	-0.42368051409721375	-0.50068164	No	
row_10	SNRPB	13560	-0.43534374237060547	-0.4828009	No	
row_11	GEMIN8	14747	-0.6629651188850403	-0.51059	No	
row_12	SNRPF	15524	-0.8417217135429382	-0.50846255	No	
row_13	SNRPD1	18197	-2.0021705627441406	-0.5457518	Yes	
row_14	DDX20	19070	-3.076484441757202	-0.43728527	Yes	
row_15	GEMIN4	19292	-3.81846284866333	-0.25850764	Yes	
row_16	STRAP	19458	-5.430213451385498	0.00338334	Yes	
