NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCN9A	2458	1.6561750173568726	-0.069594115	No	
row_1	SCN10A	4566	1.0064888000488281	-0.14333692	No	
row_2	CACNA1G	5312	0.8550093770027161	-0.15239435	No	
row_3	SCN7A	5575	0.8007116317749023	-0.13853244	No	
row_4	SCN1A	8825	0.2755771577358246	-0.2957612	No	
row_5	SCN3A	9615	0.15917453169822693	-0.3307981	No	
row_6	SCN4A	9744	0.14090082049369812	-0.33255884	No	
row_7	SCNN1D	10234	0.0702863559126854	-0.3552408	No	
row_8	SCN11A	10361	0.052785422652959824	-0.35990304	No	
row_9	GRIK3	11845	-0.1572752147912979	-0.4305963	No	
row_10	CACNA1I	13271	-0.3875829577445984	-0.49046317	No	
row_11	GRIK4	13561	-0.4354248642921448	-0.4904396	No	
row_12	SCN4B	15445	-0.8183654546737671	-0.55910826	Yes	
row_13	SCN8A	15584	-0.8569091558456421	-0.53697115	Yes	
row_14	SCN5A	15829	-0.9264295101165771	-0.51790005	Yes	
row_15	SCNN1B	15934	-0.9534816145896912	-0.4907268	Yes	
row_16	GRIK5	16109	-1.0113837718963623	-0.46516943	Yes	
row_17	SCN1B	16486	-1.1324831247329712	-0.44584295	Yes	
row_18	GRIK2	16989	-1.3216502666473389	-0.4265291	Yes	
row_19	SCNN1G	17203	-1.4104640483856201	-0.3893661	Yes	
row_20	CACNA1H	17424	-1.5122790336608887	-0.3490909	Yes	
row_21	SCN3B	18170	-1.9813920259475708	-0.31974682	Yes	
row_22	SCN2A	18201	-2.0045742988586426	-0.2529438	Yes	
row_23	TRPM4	18682	-2.4914355278015137	-0.19262047	Yes	
row_24	SCNN1A	18812	-2.6497747898101807	-0.10889797	Yes	
row_25	SCN2B	19363	-4.263698101043701	0.008256834	Yes	
