NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TWSG1	3	9.086615562438965	0.23159656	Yes	
row_1	ENG	136	4.718998432159424	0.34518412	Yes	
row_2	TGFBR3	267	4.069483757019043	0.44230863	Yes	
row_3	ACVRL1	989	2.595942735671997	0.47154653	Yes	
row_4	LTBP1	1056	2.5186405181884766	0.5323991	Yes	
row_5	LTBP3	1320	2.2717857360839844	0.5768543	Yes	
row_6	WFIKKN1	1510	2.139190912246704	0.62172216	Yes	
row_7	NRROS	1623	2.0717055797576904	0.66881716	Yes	
row_8	CD36	1672	2.0397210121154785	0.7183781	Yes	
row_9	ITGAV	2660	1.5745128393173218	0.7079252	No	
row_10	LRRC32	3431	1.313437819480896	0.7019408	No	
row_11	TGFBR3L	5502	0.8136625289916992	0.61654997	No	
row_12	LTBP4	6043	0.7148852348327637	0.60709333	No	
row_13	THBS1	7906	0.4050143361091614	0.52194566	No	
row_14	TGFBR2	8165	0.36938732862472534	0.51813734	No	
row_15	VASN	8353	0.3406268358230591	0.5172361	No	
row_16	ACVR1	8432	0.32994356751441956	0.5216516	No	
row_17	TGFB3	9227	0.21729737520217896	0.4864799	No	
row_18	TGFBR1	9498	0.17655009031295776	0.477138	No	
row_19	WFIKKN2	9596	0.16242346167564392	0.4763067	No	
row_20	CD109	10076	0.09354553371667862	0.45413098	No	
row_21	HYAL2	12553	-0.2719074785709381	0.3341045	No	
row_22	SPINT3	15782	-0.9133517146110535	0.1918777	No	
