NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOG	2870	1.4903048276901245	-0.06512614	No	
row_1	ATR	5623	0.7903314828872681	-0.16270787	No	
row_2	COL1A2	9006	0.24917453527450562	-0.32234842	No	
row_3	WNT7A	9716	0.14586177468299866	-0.35066527	No	
row_4	PIEZO2	11165	-0.05805763229727745	-0.42169002	No	
row_5	RBBP8	11388	-0.08998282253742218	-0.42811906	No	
row_6	TBX15	12777	-0.3072105050086975	-0.4823632	No	
row_7	TNNI2	13572	-0.437950998544693	-0.49896967	No	
row_8	MASP1	13692	-0.4582216441631317	-0.4798635	No	
row_9	HOXD13	17146	-1.384108304977417	-0.5807134	Yes	
row_10	LMX1B	17914	-1.7999241352081299	-0.52101725	Yes	
row_11	GDF5	18379	-2.1619856357574463	-0.42587456	Yes	
row_12	TPM2	18730	-2.546901226043701	-0.30371544	Yes	
row_13	MYH3	18932	-2.817556142807007	-0.1590312	Yes	
row_14	IHH	19206	-3.4417717456817627	0.01629917	Yes	
