NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXF1	4497	1.0252667665481567	-0.17510265	No	
row_1	RECQL4	5317	0.8534862399101257	-0.17096779	No	
row_2	KCNAB2	6385	0.6516768932342529	-0.190448	No	
row_3	TELO2	6701	0.6010046601295471	-0.17412165	No	
row_4	FLI1	9114	0.23310023546218872	-0.2851563	No	
row_5	SETBP1	9524	0.17289449274539948	-0.29677853	No	
row_6	RFX6	10006	0.10238440334796906	-0.31590077	No	
row_7	SKI	10423	0.04277854412794113	-0.33491188	No	
row_8	STRA6	15836	-0.9278489947319031	-0.562177	Yes	
row_9	RERE	15940	-0.9558414816856384	-0.5158128	Yes	
row_10	PRDM16	18476	-2.2650883197784424	-0.52336484	Yes	
row_11	GABRD	18557	-2.3505334854125977	-0.40046746	Yes	
row_12	RARB	18875	-2.7168030738830566	-0.26992834	Yes	
row_13	MYCN	18894	-2.749159574508667	-0.12231553	Yes	
row_14	SIK3	18945	-2.8605806827545166	0.029677091	Yes	
