NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMOC1	5282	0.860261857509613	-0.24404785	No	
row_1	ZBTB16	5463	0.8224306106567383	-0.22764711	No	
row_2	DONSON	7655	0.44361329078674316	-0.32617512	No	
row_3	SHH	8293	0.35205429792404175	-0.34786835	No	
row_4	GLI3	10057	0.09529991447925568	-0.43530396	No	
row_5	EIF4A3	10170	0.08105192333459854	-0.43852127	No	
row_6	DYNC2H1	10215	0.07349881529808044	-0.43848696	No	
row_7	LIFR	11777	-0.147958442568779	-0.51392305	No	
row_8	INTU	12581	-0.27785226702690125	-0.54644114	No	
row_9	NEK1	13251	-0.3846074342727661	-0.5687608	No	
row_10	FLNB	14619	-0.6338216662406921	-0.6191067	No	
row_11	GPC6	14955	-0.7079308032989502	-0.61422265	No	
row_12	ZSWIM6	15287	-0.7840716242790222	-0.60676056	No	
row_13	ALG12	16211	-1.0373715162277222	-0.6217618	No	
row_14	BMPR1B	17434	-1.5160759687423706	-0.6371768	Yes	
row_15	HYLS1	17587	-1.5985127687454224	-0.5951536	Yes	
row_16	ATP7A	17600	-1.6038225889205933	-0.5457859	Yes	
row_17	BHLHA9	17828	-1.7524006366729736	-0.5028128	Yes	
row_18	GDF5	18379	-2.1619856357574463	-0.46363822	Yes	
row_19	SHOX	18879	-2.7259175777435303	-0.40427348	Yes	
row_20	TCTN3	18948	-2.8649227619171143	-0.31847522	Yes	
row_21	LMBR1	19025	-2.99544620513916	-0.22901943	Yes	
row_22	IHH	19206	-3.4417717456817627	-0.13098697	Yes	
row_23	SLC35A2	19406	-4.724620819091797	0.00605115	Yes	
