NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD51	77	5.389061450958252	0.10894097	Yes	
row_1	PSAP	327	3.830615758895874	0.17640446	Yes	
row_2	SLC52A2	442	3.438666582107544	0.24258767	Yes	
row_3	AFF2	640	3.0385570526123047	0.2961281	Yes	
row_4	TPP1	808	2.803499460220337	0.34628448	Yes	
row_5	HEPACAM	919	2.6696388721466064	0.39656287	Yes	
row_6	CLN5	1419	2.190910816192627	0.41684234	Yes	
row_7	ATXN3	1423	2.1896677017211914	0.46255904	Yes	
row_8	SQSTM1	1956	1.8933866024017334	0.4749116	Yes	
row_9	ARSA	2465	1.6539090871810913	0.48347953	Yes	
row_10	NTN1	2565	1.6119683980941772	0.5121658	Yes	
row_11	CWF19L1	4289	1.075968861579895	0.44625175	No	
row_12	PLA2G6	4415	1.0460389852523804	0.46174774	No	
row_13	GALC	4555	1.0097819566726685	0.4757655	No	
row_14	GJB1	5978	0.7288970947265625	0.41803327	No	
row_15	SLC52A3	6096	0.705215573310852	0.42680016	No	
row_16	SLC22A5	6126	0.6985882520675659	0.4399459	No	
row_17	DNAL4	7624	0.44749900698661804	0.37246844	No	
row_18	MAN2B1	7889	0.4072137176990509	0.36744598	No	
row_19	TTN	8343	0.34248775243759155	0.35136485	No	
row_20	RNF125	8745	0.2872260510921478	0.3367956	No	
row_21	KCNA1	8980	0.25291740894317627	0.33008096	No	
row_22	UBE3A	9166	0.2260526567697525	0.32531905	No	
row_23	ALG13	9460	0.18280728161334991	0.3141068	No	
row_24	TPM3	9557	0.16678626835346222	0.31267238	No	
row_25	CLN8	9627	0.1575046181678772	0.3124296	No	
row_26	KLHL41	9640	0.15586353838443756	0.3150787	No	
row_27	PRNP	9686	0.15008707344532013	0.31591266	No	
row_28	ATP7B	9834	0.12593264877796173	0.3110042	No	
row_29	PANK2	10172	0.08084490895271301	0.2953971	No	
row_30	CAV3	10588	0.02120126038789749	0.27453625	No	
row_31	KBTBD13	10616	0.017000051215291023	0.27350628	No	
row_32	MAPT	10681	0.007269833702594042	0.270373	No	
row_33	DARS2	10853	-0.01575075089931488	0.26192427	No	
row_34	NEB	10915	-0.02363898977637291	0.2592879	No	
row_35	RNF168	11234	-0.06780508905649185	0.24438305	No	
row_36	CAPN3	11267	-0.07446148246526718	0.24430013	No	
row_37	DEAF1	12421	-0.2483946681022644	0.19031173	No	
row_38	ATP2B3	12461	-0.2543039321899414	0.19363691	No	
row_39	ACTA1	13202	-0.3771120607852936	0.16354729	No	
row_40	KCNC3	14320	-0.5750951766967773	0.118250996	No	
row_41	TIA1	14365	-0.5817433595657349	0.12817892	No	
row_42	DCC	15241	-0.773760199546814	0.099468045	No	
row_43	MYPN	17104	-1.3657413721084595	0.032488454	No	
row_44	POLR3A	17961	-1.8278353214263916	0.026834503	No	
row_45	TPM2	18730	-2.546901226043701	0.040761746	No	
