NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT80	3794	1.2052634954452515	-0.13197008	No	
row_1	TCOF1	5690	0.779121994972229	-0.18870139	No	
row_2	EVC	5800	0.7610090374946594	-0.15482907	No	
row_3	RIPK4	8328	0.3458877205848694	-0.2664177	No	
row_4	SPECC1L	9121	0.23230908811092377	-0.2949668	No	
row_5	DYNC2H1	10215	0.07349881529808044	-0.34717834	No	
row_6	EVC2	11085	-0.04758656769990921	-0.3892522	No	
row_7	POLR1D	14080	-0.5318013429641724	-0.51513743	No	
row_8	FRAS1	16425	-1.1110212802886963	-0.57767326	Yes	
row_9	POLR1C	16642	-1.1929068565368652	-0.5268909	Yes	
row_10	WDR35	16913	-1.2901841402053833	-0.4738324	Yes	
row_11	ALX1	17025	-1.3356878757476807	-0.41026485	Yes	
row_12	COLEC10	17556	-1.58341646194458	-0.3553284	Yes	
row_13	WDR60	18833	-2.6710848808288574	-0.28223196	Yes	
row_14	WDR34	19484	-6.125195026397705	0.0020502293	Yes	
