NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USH1C	1659	2.051318645477295	-0.050247993	No	
row_1	OGT	1901	1.9218083620071411	-0.029911285	No	
row_2	RPGRIP1	2032	1.846015453338623	-0.0051666563	No	
row_3	CRB1	3226	1.3728021383285522	-0.043041747	No	
row_4	CSTA	3622	1.2545562982559204	-0.041966308	No	
row_5	ELN	4151	1.1100425720214844	-0.050177544	No	
row_6	ESPN	4494	1.025672435760498	-0.050276935	No	
row_7	ARSG	5127	0.8934692144393921	-0.067512624	No	
row_8	LCA5	5250	0.8653892278671265	-0.059046865	No	
row_9	IFT52	5298	0.8576014041900635	-0.04686374	No	
row_10	MYO7A	5528	0.8081953525543213	-0.044863902	No	
row_11	RAI1	5585	0.7982406616210938	-0.03415304	No	
row_12	KCNAB2	6385	0.6516768932342529	-0.06407631	No	
row_13	TBL2	7370	0.48837611079216003	-0.10627527	No	
row_14	CIB2	7417	0.481926292181015	-0.10043452	No	
row_15	RFC2	7460	0.47537732124328613	-0.0944999	No	
row_16	CLIP2	7497	0.4684929847717285	-0.08837446	No	
row_17	PCYT1A	8688	0.29554933309555054	-0.1444296	No	
row_18	BEST1	9095	0.2361956238746643	-0.16125053	No	
row_19	SKI	10423	0.04277854412794113	-0.22864012	No	
row_20	GJA1	10440	0.041036076843738556	-0.22876304	No	
row_21	IFT43	11281	-0.07596050202846527	-0.27058917	No	
row_22	BAZ1B	11683	-0.13289684057235718	-0.28891155	No	
row_23	TUBB4B	11684	-0.1332690417766571	-0.2866434	No	
row_24	GTF2I	12337	-0.23273509740829468	-0.31615093	No	
row_25	WDR19	12619	-0.28489959239959717	-0.32572645	No	
row_26	USH1G	13456	-0.4187261164188385	-0.36151367	No	
row_27	TMEM98	13971	-0.5096162557601929	-0.37922508	No	
row_28	LIMK1	15901	-0.9457195401191711	-0.46214917	No	
row_29	RERE	15940	-0.9558414816856384	-0.4478321	No	
row_30	WDR35	16913	-1.2901841402053833	-0.4757689	Yes	
row_31	GTF2IRD1	16942	-1.3025095462799072	-0.45503846	Yes	
row_32	CLRN1	17078	-1.3530981540679932	-0.43893957	Yes	
row_33	CEP78	17132	-1.377136468887329	-0.41822234	Yes	
row_34	MED25	17687	-1.6619243621826172	-0.4183756	Yes	
row_35	CDH23	17736	-1.6974241733551025	-0.39195067	Yes	
row_36	TGM5	18294	-2.0841691493988037	-0.3850716	Yes	
row_37	PCDH15	18405	-2.195753812789917	-0.35334808	Yes	
row_38	PRDM16	18476	-2.2650883197784424	-0.3183912	Yes	
row_39	GABRD	18557	-2.3505334854125977	-0.28249344	Yes	
row_40	SMAD4	18797	-2.619852066040039	-0.2501739	Yes	
row_41	PRSS56	19350	-4.154027938842773	-0.20781076	Yes	
row_42	IFT122	19395	-4.561794757843018	-0.13243105	Yes	
row_43	FGF3	19512	-8.16731071472168	6.159431E-4	Yes	
