NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCP	185	4.474697589874268	0.097021416	Yes	
row_1	SLC52A2	442	3.438666582107544	0.16574058	Yes	
row_2	TBCD	535	3.2418951988220215	0.238188	Yes	
row_3	TRAK1	543	3.2254343032836914	0.31460348	Yes	
row_4	OPTN	854	2.741638660430908	0.36396158	Yes	
row_5	DYSF	861	2.732417583465576	0.42869315	Yes	
row_6	DNM2	872	2.7197985649108887	0.49291918	Yes	
row_7	MTMR14	1044	2.534827709197998	0.54448426	Yes	
row_8	ATXN3	1423	2.1896677017211914	0.577216	Yes	
row_9	SH3TC2	1750	2.000570774078369	0.6081139	Yes	
row_10	ASAH1	3366	1.3315681219100952	0.5569715	No	
row_11	HSPB1	3425	1.3144804239273071	0.58528495	No	
row_12	UBA1	4040	1.1362501382827759	0.58083725	No	
row_13	SLC52A3	6096	0.705215573310852	0.49221718	No	
row_14	AIFM1	6117	0.7002955079078674	0.50786036	No	
row_15	SMN1	8565	0.313837468624115	0.38981766	No	
row_16	FXR1	9723	0.1442040055990219	0.33390462	No	
row_17	RYR1	10800	-0.00859882216900587	0.27891847	No	
row_18	RMND1	11191	-0.06217882037162781	0.26039442	No	
row_19	NOP56	12005	-0.1854768842458725	0.22310843	No	
row_20	SLC25A21	12013	-0.1862783432006836	0.22718333	No	
row_21	AGTPBP1	12276	-0.22282832860946655	0.21904863	No	
row_22	HINT1	12781	-0.3076513707637787	0.20052014	No	
row_23	BIN1	13113	-0.3638462424278259	0.19220288	No	
row_24	EXOSC3	13850	-0.4897181987762451	0.16610824	No	
row_25	IFRD1	14473	-0.6046009063720703	0.14859548	No	
row_26	TSPYL1	15658	-0.879432737827301	0.10879808	No	
row_27	MYF6	16360	-1.086966872215271	0.098714896	No	
row_28	KCNK9	18829	-2.6687400341033936	0.035648435	No	
