NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD51	77	5.389061450958252	0.16078632	Yes	
row_1	GREM1	177	4.5031352043151855	0.2933629	Yes	
row_2	TP53	860	2.7336485385894775	0.34194842	Yes	
row_3	STAT6	959	2.625703811645508	0.41718605	Yes	
row_4	RAD51D	1089	2.481510639190674	0.486426	Yes	
row_5	AR	1201	2.3672726154327393	0.55309707	Yes	
row_6	MAD1L1	1561	2.108863592147827	0.59914964	Yes	
row_7	RNASEL	3528	1.2831981182098389	0.53754425	No	
row_8	NBN	3930	1.1676218509674072	0.5526704	No	
row_9	BRCA1	6650	0.609174370765686	0.43184176	No	
row_10	PTEN	7890	0.40698856115341187	0.3807378	No	
row_11	RNF43	9362	0.19872340559959412	0.31136885	No	
row_12	APC	9366	0.19840382039546967	0.3172799	No	
row_13	BRIP1	9453	0.1840248554944992	0.31849456	No	
row_14	EPHB2	10462	0.03839992359280586	0.26797077	No	
row_15	RAD51C	10877	-0.0182170607149601	0.2472947	No	
row_16	PALB2	10918	-0.024045439437031746	0.24597822	No	
row_17	BARD1	11401	-0.09254053235054016	0.22408657	No	
row_18	MXI1	12211	-0.21335630118846893	0.1891171	No	
row_19	NAB2	12283	-0.22392843663692474	0.19232087	No	
row_20	KLF6	12939	-0.3346342444419861	0.16895694	No	
row_21	CHEK2	13333	-0.39820462465286255	0.16097353	No	
row_22	CDH1	14189	-0.5518479943275452	0.13399203	No	
row_23	RAD50	14277	-0.5671440362930298	0.14686677	No	
row_24	BRCA2	15237	-0.7712417840957642	0.12125793	No	
row_25	BMPR1A	16064	-0.9937015175819397	0.109270565	No	
row_26	ZFHX3	18440	-2.22883939743042	0.05559543	No	
