NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MORC2	207	4.335846900939941	0.07157286	Yes	
row_1	LIPE	250	4.135900497436523	0.14782168	Yes	
row_2	SYNE2	290	3.9741978645324707	0.22115904	Yes	
row_3	RAPSN	380	3.647517204284668	0.28573802	Yes	
row_4	DOK7	525	3.2650299072265625	0.34024408	Yes	
row_5	DYSF	861	2.732417583465576	0.37485307	Yes	
row_6	DNM2	872	2.7197985649108887	0.42589894	Yes	
row_7	MTMR14	1044	2.534827709197998	0.46517727	Yes	
row_8	FHL1	1217	2.3573906421661377	0.5010406	Yes	
row_9	KY	1260	2.318634271621704	0.54283965	Yes	
row_10	TCAP	3798	1.2040787935256958	0.43548927	No	
row_11	TMEM43	3970	1.1549735069274902	0.44860983	No	
row_12	SYNE1	5632	0.789288341999054	0.3783447	No	
row_13	MYH7	6464	0.6373112797737122	0.34778672	No	
row_14	AGRN	7194	0.5166960954666138	0.32017598	No	
row_15	CHRND	7204	0.5153490900993347	0.3294836	No	
row_16	COL13A1	8316	0.34903281927108765	0.27909365	No	
row_17	LRP4	9462	0.18237198889255524	0.22379978	No	
row_18	SCN4A	9744	0.14090082049369812	0.21205243	No	
row_19	LMNA	10110	0.08906581997871399	0.19501235	No	
row_20	RYR1	10800	-0.00859882216900587	0.15982208	No	
row_21	GMPPB	11862	-0.1591435670852661	0.108397976	No	
row_22	MFN2	12475	-0.25677990913391113	0.081863396	No	
row_23	ANO5	12831	-0.31549739837646484	0.06962885	No	
row_24	LDB3	12858	-0.3188614547252655	0.07433939	No	
row_25	AK9	12940	-0.33552348613739014	0.07654369	No	
row_26	BIN1	13113	-0.3638462424278259	0.07461559	No	
row_27	MUSK	13808	-0.4812869727611542	0.048129473	No	
row_28	CHCHD10	14507	-0.609472393989563	0.02386811	No	
row_29	CHRNA1	14946	-0.7059818506240845	0.014777126	No	
row_30	MYF6	16360	-1.086966872215271	-0.037119783	No	
row_31	FBXO38	16668	-1.2018638849258423	-0.030088637	No	
row_32	POMT1	17035	-1.3404706716537476	-0.023457285	No	
row_33	CHRNB1	17566	-1.5871790647506714	-0.02056411	No	
row_34	EMD	18199	-2.002591609954834	-0.015029719	No	
row_35	CHRNE	19374	-4.376532077789307	0.0076966807	No	
