NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMOC1	5282	0.860261857509613	-0.23993929	No	
row_1	ZBTB16	5463	0.8224306106567383	-0.21966188	No	
row_2	DONSON	7655	0.44361329078674316	-0.31607682	No	
row_3	SHH	8293	0.35205429792404175	-0.33610466	No	
row_4	GLI3	10057	0.09529991447925568	-0.42307273	No	
row_5	EIF4A3	10170	0.08105192333459854	-0.42590702	No	
row_6	LIFR	11777	-0.147958442568779	-0.50293666	No	
row_7	INTU	12581	-0.27785226702690125	-0.53413725	No	
row_8	NEK1	13251	-0.3846074342727661	-0.55463785	No	
row_9	FLNB	14619	-0.6338216662406921	-0.6019832	No	
row_10	GPC6	14955	-0.7079308032989502	-0.5937603	No	
row_11	ALG12	16211	-1.0373715162277222	-0.62088567	No	
row_12	BMPR1B	17434	-1.5160759687423706	-0.62914497	Yes	
row_13	HYLS1	17587	-1.5985127687454224	-0.57958907	Yes	
row_14	GDF5	18379	-2.1619856357574463	-0.5425786	Yes	
row_15	SHOX	18879	-2.7259175777435303	-0.47036573	Yes	
row_16	TCTN3	18948	-2.8649227619171143	-0.371069	Yes	
row_17	LMBR1	19025	-2.99544620513916	-0.26749974	Yes	
row_18	IHH	19206	-3.4417717456817627	-0.1532499	Yes	
row_19	SLC35A2	19406	-4.724620819091797	0.006049789	Yes	
