NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HP_APLASIA_HYPOPLASIA_OF_THE_TIBIA	HP_APLASIA_HYPOPLASIA_OF_THE_TIBIA	Details ...	24	-0.6844253	-2.1509187	0.0	0.060677465	0.063	2092	tags=42%, list=11%, signal=47%	
GO_PERICENTRIC_HETEROCHROMATIN	GO_PERICENTRIC_HETEROCHROMATIN	Details ...	19	-0.71452975	-2.0797899	0.0	0.099896535	0.191	2302	tags=37%, list=12%, signal=42%	
HP_SHORT_TIBIA	HP_SHORT_TIBIA	Details ...	20	-0.6835363	-1.9891326	0.0024213076	0.23455192	0.518	2092	tags=40%, list=11%, signal=45%	
GO_CYTOPLASMIC_DYNEIN_COMPLEX	GO_CYTOPLASMIC_DYNEIN_COMPLEX	Details ...	21	-0.6278974	-1.9054008	0.0	0.5075315	0.867	1551	tags=24%, list=8%, signal=26%	
GO_SODIUM_CHANNEL_COMPLEX	GO_SODIUM_CHANNEL_COMPLEX	Details ...	26	-0.58700866	-1.8808267	0.0024213076	0.5392723	0.932	4081	tags=54%, list=21%, signal=68%	
GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	Details ...	43	-0.5198445	-1.8360465	0.0	0.7335647	0.987	2508	tags=30%, list=13%, signal=35%	
GO_RETINOIC_ACID_METABOLIC_PROCESS	GO_RETINOIC_ACID_METABOLIC_PROCESS	Details ...	29	-0.56723005	-1.8268509	0.0	0.69338286	0.994	3743	tags=48%, list=19%, signal=60%	
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE	GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE	Details ...	26	-0.59155035	-1.8247124	0.0024213076	0.61986345	0.997	1001	tags=31%, list=5%, signal=32%	
GO_SCF_UBIQUITIN_LIGASE_COMPLEX	GO_SCF_UBIQUITIN_LIGASE_COMPLEX	Details ...	59	-0.48011363	-1.8203869	0.0	0.57871556	0.997	2363	tags=27%, list=12%, signal=31%	
HP_ABNORMAL_FINGER_FLEXION_CREASES	HP_ABNORMAL_FINGER_FLEXION_CREASES	Details ...	15	-0.6568497	-1.8100654	0.002375297	0.5758646	0.999	2380	tags=40%, list=12%, signal=46%	
GO_DYNEIN_COMPLEX	GO_DYNEIN_COMPLEX	Details ...	53	-0.4860533	-1.8058583	0.0	0.5473959	1.0	1551	tags=28%, list=8%, signal=31%	
GO_MRNA_5_UTR_BINDING	GO_MRNA_5_UTR_BINDING	Details ...	26	-0.5640338	-1.8055339	0.0076726344	0.5028882	1.0	2098	tags=23%, list=11%, signal=26%	
HP_ANNULAR_PANCREAS	HP_ANNULAR_PANCREAS	Details ...	15	-0.6457462	-1.7988989	0.009009009	0.49991295	1.0	1050	tags=33%, list=5%, signal=35%	
GO_SMN_SM_PROTEIN_COMPLEX	GO_SMN_SM_PROTEIN_COMPLEX	Details ...	17	-0.645432	-1.7842165	0.0046620048	0.5353206	1.0	1329	tags=24%, list=7%, signal=25%	
GO_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	GO_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	Details ...	15	-0.6494698	-1.7837176	0.005063291	0.50291973	1.0	1811	tags=33%, list=9%, signal=37%	
