NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNA2	183	4.477922439575195	0.04860759	No	
row_1	ITGA11	581	3.145219087600708	0.06894742	No	
row_2	ITGA2	890	2.7042198181152344	0.08814908	No	
row_3	ITGA6	1031	2.5488388538360596	0.113974296	No	
row_4	CACNG3	2527	1.6252471208572388	0.058174927	No	
row_5	ITGAV	2660	1.5745128393173218	0.07178817	No	
row_6	LEF1	3100	1.4100145101547241	0.067487754	No	
row_7	CACNA1D	3652	1.2462623119354248	0.05530803	No	
row_8	CACNA2D3	3864	1.1845507621765137	0.0598077	No	
row_9	ITGA8	4088	1.125523567199707	0.06292571	No	
row_10	DMD	4162	1.1057921648025513	0.07349938	No	
row_11	TCF7L2	4284	1.0772591829299927	0.08123577	No	
row_12	ITGB5	4402	1.0492219924926758	0.08881454	No	
row_13	CACNG8	5150	0.887978732585907	0.061916854	No	
row_14	ACTN4	5480	0.8171709179878235	0.055590585	No	
row_15	PKP2	5669	0.7825872898101807	0.056064866	No	
row_16	ITGA5	5745	0.7704158425331116	0.062190626	No	
row_17	CACNB1	5760	0.7683205008506775	0.07142516	No	
row_18	ITGB7	5899	0.7431555986404419	0.073959	No	
row_19	SGCA	6514	0.6295928955078125	0.050551046	No	
row_20	ATP2A2	6615	0.6155033707618713	0.05338457	No	
row_21	ITGA9	6945	0.5577782988548279	0.04369764	No	
row_22	CACNG7	7631	0.44669339060783386	0.014270052	No	
row_23	CTNNA3	7949	0.39863157272338867	0.003138145	No	
row_24	CACNG6	8569	0.3134967088699341	-0.024622153	No	
row_25	ITGB3	8861	0.2695333957672119	-0.036090016	No	
row_26	ACTG1	9333	0.20338092744350433	-0.05766849	No	
row_27	ACTB	9693	0.1493362933397293	-0.074189395	No	
row_28	ITGA4	9743	0.14103534817695618	-0.07488118	No	
row_29	TCF7L1	9847	0.12409154325723648	-0.07856855	No	
row_30	LAMA2	9987	0.10512012988328934	-0.084352426	No	
row_31	LMNA	10110	0.08906581997871399	-0.08947035	No	
row_32	ITGB1	10181	0.07949039340019226	-0.09203908	No	
row_33	DES	10374	0.05017438530921936	-0.10125948	No	
row_34	SLC8A1	10382	0.04897838085889816	-0.10098478	No	
row_35	GJA1	10440	0.041036076843738556	-0.103383414	No	
row_36	CACNG5	10515	0.031706053763628006	-0.10677687	No	
row_37	SGCB	10932	-0.02644827589392662	-0.12782018	No	
row_38	ITGA2B	11182	-0.06083622947335243	-0.13983274	No	
row_39	ITGA7	11249	-0.07016784697771072	-0.14231662	No	
row_40	ACTN1	11715	-0.1380346268415451	-0.16443326	No	
row_41	TCF7	12047	-0.19082385301589966	-0.17897722	No	
row_42	DSG2	12114	-0.2009245753288269	-0.17976703	No	
row_43	ACTN2	12490	-0.2593380808830261	-0.19568531	No	
row_44	JUP	12862	-0.3194383382797241	-0.2106193	No	
row_45	DSP	13270	-0.38738444447517395	-0.2265237	No	
row_46	SGCD	13484	-0.42349544167518616	-0.23198697	No	
row_47	CACNA2D4	13600	-0.44223693013191223	-0.2321694	No	
row_48	CTNNA1	13608	-0.44291648268699646	-0.22679089	No	
row_49	CACNA1F	14109	-0.5353904962539673	-0.24555874	No	
row_50	CACNB4	14347	-0.5783789753913879	-0.25024918	No	
row_51	ITGB8	14352	-0.5789859890937805	-0.24295354	No	
row_52	CDH2	14885	-0.6936216950416565	-0.26131645	No	
row_53	CACNA2D1	15133	-0.7484299540519714	-0.2643178	No	
row_54	CACNG1	15402	-0.8074845671653748	-0.26763365	No	
row_55	CACNB3	16019	-0.9799959659576416	-0.28660464	No	
row_56	ITGB6	16417	-1.1074318885803223	-0.29266614	No	
row_57	ACTN3	16806	-1.2505409717559814	-0.29641083	No	
row_58	ITGA10	17472	-1.5351167917251587	-0.31070876	Yes	
row_59	CACNB2	17546	-1.577255129814148	-0.29402688	Yes	
row_60	ITGA3	17574	-1.5945204496383667	-0.27475652	Yes	
row_61	ITGB4	17667	-1.650972843170166	-0.25809634	Yes	
row_62	CACNA2D2	17674	-1.6532974243164062	-0.23698488	Yes	
row_63	CTNNB1	17713	-1.67987060546875	-0.21717423	Yes	
row_64	CACNA1C	17770	-1.7146233320236206	-0.19783868	Yes	
row_65	CACNG4	18188	-1.9908056259155273	-0.19348344	Yes	
row_66	EMD	18199	-2.002591609954834	-0.16805223	Yes	
row_67	CACNA1S	18407	-2.1969707012176514	-0.15023014	Yes	
row_68	SGCG	18648	-2.4546215534210205	-0.13076645	Yes	
row_69	DAG1	18699	-2.5195744037628174	-0.10069362	Yes	
row_70	RYR2	18828	-2.668549060821533	-0.07270055	Yes	
row_71	CACNG2	19046	-3.0314114093780518	-0.044581655	Yes	
row_72	DSC2	19455	-5.333769798278809	0.0035472426	Yes	
