NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT2B7	585	3.1394686698913574	0.10469383	No	
row_1	ALDH9A1	2180	1.7764325141906738	0.09919508	No	
row_2	UGT2A3	2374	1.6968531608581543	0.16209547	No	
row_3	ALDH2	7923	0.40283650159835815	-0.105004825	No	
row_4	ALDH1B1	8244	0.35949787497520447	-0.105985425	No	
row_5	UGDH	10147	0.08373363316059113	-0.1998868	No	
row_6	ALDH7A1	12037	-0.18969810009002686	-0.28857607	No	
row_7	UGT2B4	12148	-0.20449426770210266	-0.28544188	No	
row_8	MIOX	13832	-0.4867529273033142	-0.35082856	No	
row_9	ALDH3A2	15057	-0.7300806045532227	-0.38224912	No	
row_10	UGT2B15	15146	-0.7521010041236877	-0.3544955	No	
row_11	UGT2B11	17317	-1.4618825912475586	-0.40301296	Yes	
row_12	UGT2B28	17871	-1.7768206596374512	-0.35513505	Yes	
row_13	UGT2B10	18430	-2.2235724925994873	-0.28834826	Yes	
row_14	UGT2B17	19130	-3.2011423110961914	-0.18685217	Yes	
row_15	UGT1A1	19415	-4.825211524963379	0.0055870693	Yes	
