NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UPB1	464	3.406571865081787	0.14093491	Yes	
row_1	ABAT	576	3.151602029800415	0.28764045	Yes	
row_2	SRM	1571	2.100695848464966	0.3382539	Yes	
row_3	ALDH9A1	2180	1.7764325141906738	0.3929793	Yes	
row_4	GAD1	3163	1.3894922733306885	0.40981752	Yes	
row_5	AOC3	4386	1.0531419515609741	0.3980856	Yes	
row_6	EHHADH	4773	0.9614684581756592	0.42478594	Yes	
row_7	SMS	5233	0.8691321611404419	0.44327834	Yes	
row_8	DPYS	5723	0.7733239531517029	0.45559967	Yes	
row_9	DPYD	6144	0.6948434114456177	0.46766394	Yes	
row_10	ACADM	6913	0.5648782849311829	0.4556003	No	
row_11	ALDH2	7923	0.40283650159835815	0.423344	No	
row_12	ALDH1B1	8244	0.35949787497520447	0.4243199	No	
row_13	CNDP1	8286	0.3533124029636383	0.43930224	No	
row_14	HIBCH	10803	-0.009262041188776493	0.3107443	No	
row_15	AOC2	10953	-0.029498640447854996	0.30453086	No	
row_16	HADHA	11149	-0.05612551048398018	0.29724637	No	
row_17	ALDH7A1	12037	-0.18969810009002686	0.26093912	No	
row_18	GAD2	13463	-0.42022255063056946	0.20819345	No	
row_19	ECHS1	14725	-0.6589455008506775	0.1754003	No	
row_20	MLYCD	15053	-0.7291519045829773	0.19389208	No	
row_21	ALDH3A2	15057	-0.7300806045532227	0.22904159	No	
