NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FADS1	351	3.740330934524536	0.16885927	Yes	
row_1	ACOT1	1342	2.2525200843811035	0.23062748	Yes	
row_2	PECR	1390	2.219048023223877	0.33907503	Yes	
row_3	ACOX1	1671	2.0407698154449463	0.42666945	Yes	
row_4	ELOVL2	2055	1.8322042226791382	0.49856326	Yes	
row_5	ELOVL6	5415	0.8314039707183838	0.36786795	No	
row_6	SCD5	5650	0.7851947546005249	0.39509594	No	
row_7	ACOT7	6075	0.7091125249862671	0.408781	No	
row_8	ACOT2	6419	0.6446680426597595	0.42339975	No	
row_9	HACD1	8188	0.36613959074020386	0.35103834	No	
row_10	SCD	9061	0.2396722137928009	0.31830063	No	
row_11	HACD2	10630	0.014287412166595459	0.2386165	No	
row_12	BAAT	10778	-0.00606194231659174	0.23138204	No	
row_13	ELOVL5	11006	-0.03735963627696037	0.22160919	No	
row_14	HADHA	11149	-0.05612551048398018	0.21713212	No	
row_15	TECR	11298	-0.07789254933595657	0.21343485	No	
row_16	FADS2	11669	-0.13157139718532562	0.20103635	No	
row_17	ACOT4	12168	-0.20809562504291534	0.1858977	No	
row_18	ACOX3	13192	-0.3763326108455658	0.15224475	No	
row_19	YOD1	14100	-0.5342813730239868	0.13243029	No	
row_20	ACAA1	15861	-0.9360429048538208	0.08894985	No	
row_21	HSD17B12	18162	-1.9780151844024658	0.0698354	No	
