NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A4	536	3.240309953689575	0.01285822	No	
row_1	COX8A	1026	2.5539212226867676	0.019571986	No	
row_2	ATP1B2	2037	1.841252088546753	-0.0093865525	No	
row_3	ATP1B4	2300	1.7253907918930054	-0.0013364871	No	
row_4	CACNG3	2527	1.6252471208572388	0.0073152925	No	
row_5	TNNT2	2917	1.4745103120803833	0.0057074777	No	
row_6	CACNA1D	3652	1.2462623119354248	-0.016483016	No	
row_7	MYL3	3729	1.2201802730560303	-0.005171952	No	
row_8	CACNA2D3	3864	1.1845507621765137	0.0027130423	No	
row_9	ATP1B1	3999	1.1460260152816772	0.010117555	No	
row_10	COX7A1	4635	0.991679847240448	-0.010158647	No	
row_11	ACTC1	4695	0.9798153042793274	-9.7147416E-4	No	
row_12	COX7A2L	4726	0.9723653197288513	0.009613632	No	
row_13	UQCRHL	5094	0.9001745581626892	0.0019736772	No	
row_14	CACNG8	5150	0.887978732585907	0.010221097	No	
row_15	COX5B	5568	0.8022656440734863	-0.00121041	No	
row_16	CACNB1	5760	0.7683205008506775	-0.0014469395	No	
row_17	TPM1	6115	0.7004708051681519	-0.010909293	No	
row_18	MYH7	6464	0.6373112797737122	-0.020850921	No	
row_19	ATP2A2	6615	0.6155033707618713	-0.020885637	No	
row_20	COX7C	6639	0.611298680305481	-0.014443903	No	
row_21	ATP1B3	6721	0.5967440605163574	-0.011165393	No	
row_22	CACNG7	7631	0.44669339060783386	-0.052324634	No	
row_23	COX5A	7714	0.4339260756969452	-0.0511282	No	
row_24	COX7B	7725	0.4321911036968231	-0.04625199	No	
row_25	UQCRH	7763	0.42520248889923096	-0.04285097	No	
row_26	TNNI3	7915	0.40394219756126404	-0.045575693	No	
row_27	CACNG6	8569	0.3134967088699341	-0.07523557	No	
row_28	COX6B1	8789	0.2807983160018921	-0.08299193	No	
row_29	UQCRQ	9312	0.20583242177963257	-0.10726006	No	
row_30	TPM3	9557	0.16678626835346222	-0.1177236	No	
row_31	UQCRFS1	9952	0.11061640828847885	-0.13659897	No	
row_32	COX6C	10279	0.0643971785902977	-0.15255502	No	
row_33	CYC1	10309	0.06074969843029976	-0.15328819	No	
row_34	SLC8A1	10382	0.04897838085889816	-0.15637875	No	
row_35	CACNG5	10515	0.031706053763628006	-0.16276924	No	
row_36	SLC9A6	10569	0.023929651826620102	-0.16519545	No	
row_37	COX7B2	10804	-0.009309531189501286	-0.17710896	No	
row_38	MYH6	11131	-0.05352940782904625	-0.19320053	No	
row_39	UQCR10	11275	-0.07513885200023651	-0.19961484	No	
row_40	ATP1A1	11452	-0.09917350113391876	-0.20742585	No	
row_41	COX6A2	11722	-0.13862989842891693	-0.21952577	No	
row_42	UQCRB	11738	-0.1409761607646942	-0.21853864	No	
row_43	TNNC1	12318	-0.23030252754688263	-0.24543187	No	
row_44	UQCR11	12832	-0.31550365686416626	-0.2678695	No	
row_45	ATP1A3	13454	-0.41834068298339844	-0.2945767	No	
row_46	CACNA2D4	13600	-0.44223693013191223	-0.29651535	No	
row_47	COX8C	13831	-0.4864775240421295	-0.30227196	No	
row_48	CACNA1F	14109	-0.5353904962539673	-0.30983475	No	
row_49	CACNB4	14347	-0.5783789753913879	-0.31480503	No	
row_50	COX6B2	14490	-0.6073800921440125	-0.31452978	No	
row_51	COX4I2	14623	-0.6354408264160156	-0.3133905	No	
row_52	UQCRC2	15071	-0.7335137128829956	-0.32722172	No	
row_53	CACNA2D1	15133	-0.7484299540519714	-0.32102323	No	
row_54	COX7A2	15228	-0.7687458395957947	-0.31626782	No	
row_55	CACNG1	15402	-0.8074845671653748	-0.31509054	No	
row_56	CACNB3	16019	-0.9799959659576416	-0.3345357	No	
row_57	COX6A1	16347	-1.0820504426956177	-0.33785093	No	
row_58	TPM4	16373	-1.089514970779419	-0.3255477	No	
row_59	CACNB2	17546	-1.577255129814148	-0.366127	Yes	
row_60	ATP1A2	17617	-1.61418879032135	-0.3495934	Yes	
row_61	CACNA2D2	17674	-1.6532974243164062	-0.33185232	Yes	
row_62	CACNA1C	17770	-1.7146233320236206	-0.3153513	Yes	
row_63	CACNG4	18188	-1.9908056259155273	-0.31195933	Yes	
row_64	UQCRC1	18226	-2.022271156311035	-0.28863963	Yes	
row_65	CACNA1S	18407	-2.1969707012176514	-0.2704925	Yes	
row_66	TPM2	18730	-2.546901226043701	-0.25528106	Yes	
row_67	RYR2	18828	-2.668549060821533	-0.22698547	Yes	
row_68	COX4I1	19022	-2.989356756210327	-0.199624	Yes	
row_69	CACNG2	19046	-3.0314114093780518	-0.16299856	Yes	
row_70	SLC9A1	19161	-3.290497303009033	-0.12781999	Yes	
row_71	MYL2	19358	-4.223337173461914	-0.0852225	Yes	
row_72	FXYD2	19508	-7.513206481933594	8.225171E-4	Yes	
