NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT5B	303	3.9340789318084717	0.039518382	Yes	
row_1	TP53	860	2.7336485385894775	0.049218852	Yes	
row_2	RB1	928	2.657303810119629	0.08298894	Yes	
row_3	GAB2	1134	2.433621406555176	0.10653206	Yes	
row_4	SHC1	1539	2.124396800994873	0.11551431	Yes	
row_5	KRAS	1670	2.042088747024536	0.13742982	Yes	
row_6	NFKB1	1880	1.9310729503631592	0.15372932	Yes	
row_7	MAP2K1	1965	1.8879978656768799	0.17585164	Yes	
row_8	RELA	1990	1.8702037334442139	0.20080929	Yes	
row_9	PIK3CA	2042	1.8397037982940674	0.22395176	Yes	
row_10	CDKN1A	2047	1.8369183540344238	0.24947143	Yes	
row_11	CBL	2528	1.6251566410064697	0.24755496	Yes	
row_12	SHC3	2653	1.578423023223877	0.2632855	Yes	
row_13	CTBP1	2666	1.573433518409729	0.28470388	Yes	
row_14	MAPK3	3129	1.4024313688278198	0.28059357	Yes	
row_15	MAPK1	3295	1.352180004119873	0.2910479	Yes	
row_16	CDKN1B	3385	1.3272464275360107	0.3050601	Yes	
row_17	PIK3CB	3407	1.3199280500411987	0.32246557	Yes	
row_18	BCR	4958	0.9264227151870728	0.25575644	No	
row_19	PIK3R5	5078	0.9038668870925903	0.2622971	No	
row_20	MECOM	5776	0.7648115754127502	0.23717618	No	
row_21	E2F2	5911	0.7409015893936157	0.24066345	No	
row_22	PIK3R1	6233	0.6784107685089111	0.23366216	No	
row_23	AKT2	6520	0.6291379332542419	0.22777013	No	
row_24	SMAD3	6611	0.6157858967781067	0.23176719	No	
row_25	E2F1	6982	0.5522359609603882	0.22047985	No	
row_26	MYC	7711	0.43410974740982056	0.18913393	No	
row_27	CHUK	7732	0.4312685430049896	0.1941455	No	
row_28	ARAF	7964	0.39653462171554565	0.18782341	No	
row_29	MAP2K2	8143	0.37290850281715393	0.18389513	No	
row_30	TGFBR2	8165	0.36938732862472534	0.18798865	No	
row_31	AKT1	8237	0.360333651304245	0.18938498	No	
row_32	NFKBIA	8320	0.34817129373550415	0.19004548	No	
row_33	IKBKB	8413	0.3332834243774414	0.18998338	No	
row_34	CDKN2A	8640	0.3035043478012085	0.18261549	No	
row_35	PIK3CD	8646	0.30224180221557617	0.18659122	No	
row_36	NRAS	8890	0.2651256322860718	0.1778119	No	
row_37	PIK3CG	8961	0.2561107575893402	0.17780004	No	
row_38	TGFB3	9227	0.21729737520217896	0.16721992	No	
row_39	TGFBR1	9498	0.17655009031295776	0.15581211	No	
row_40	SHC4	9525	0.17283843457698822	0.15689602	No	
row_41	BRAF	9588	0.1630641371011734	0.15599234	No	
row_42	AKT3	9809	0.12900590896606445	0.14648913	No	
row_43	PTPN11	10267	0.06568249315023422	0.123915255	No	
row_44	HDAC1	10452	0.03978128358721733	0.11501319	No	
row_45	ABL1	10537	0.029365472495555878	0.11110612	No	
row_46	CBLC	10576	0.02324892021715641	0.10947818	No	
row_47	BCL2L1	10875	-0.01792246475815773	0.09440942	No	
row_48	MDM2	11017	-0.038338351994752884	0.08769772	No	
row_49	HDAC2	11303	-0.07848277688026428	0.07414539	No	
row_50	TGFB1	11600	-0.12111753225326538	0.06062465	No	
row_51	CCND1	12014	-0.18670129776000977	0.042007577	No	
row_52	CBLB	12049	-0.19090111553668976	0.042933177	No	
row_53	E2F3	12251	-0.2193170040845871	0.0356715	No	
row_54	RAF1	12356	-0.2355017513036728	0.03362311	No	
row_55	BAD	12583	-0.27830970287323	0.025902383	No	
row_56	PIK3R3	13221	-0.37878498435020447	-0.0015401613	No	
row_57	CDK6	13247	-0.3838843107223511	0.0025507687	No	
row_58	RUNX1	14266	-0.565936803817749	-0.041857466	No	
row_59	PIK3R2	14355	-0.5797051191329956	-0.038262885	No	
row_60	CRKL	15112	-0.7435122132301331	-0.066715196	No	
row_61	CDK4	15444	-0.8183580636978149	-0.07227066	No	
row_62	STAT5A	15488	-0.8327860832214355	-0.0628184	No	
row_63	SOS1	16291	-1.0667870044708252	-0.08910818	No	
row_64	TGFB2	16991	-1.3227343559265137	-0.106518425	No	
row_65	IKBKG	17260	-1.435591697692871	-0.10019104	No	
row_66	SOS2	17766	-1.712058186531067	-0.1021757	No	
row_67	CTBP2	17990	-1.848832607269287	-0.08774766	No	
row_68	GRB2	18185	-1.988618016242981	-0.069871135	No	
row_69	SHC2	18263	-2.0585646629333496	-0.04500023	No	
row_70	CRK	18719	-2.536808490753174	-0.03286416	No	
row_71	SMAD4	18797	-2.619852066040039	-1.326524E-4	No	
row_72	HRAS	18835	-2.674495220184326	0.035420455	No	
