NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPOR	130	4.788693428039551	0.008681207	Yes	
row_1	TNFRSF14	146	4.657121658325195	0.022907563	Yes	
row_2	PF4V1	237	4.188918590545654	0.031732533	Yes	
row_3	TNFRSF1B	259	4.099148750305176	0.043849707	Yes	
row_4	PLEKHO2	283	4.0156073570251465	0.055593908	Yes	
row_5	GH2	325	3.8358688354492188	0.06582472	Yes	
row_6	EDA	406	3.551173686981201	0.07311396	Yes	
row_7	TNFRSF10A	540	3.231255531311035	0.076621495	Yes	
row_8	CCL23	568	3.1675491333007812	0.08542569	Yes	
row_9	TNFSF13B	618	3.0804762840270996	0.092807434	Yes	
row_10	CTF1	622	3.074388265609741	0.10255719	Yes	
row_11	IL15	631	3.0536515712738037	0.11198061	Yes	
row_12	VEGFC	650	3.0293188095092773	0.12080658	Yes	
row_13	CSF2RA	708	2.94958233833313	0.12735136	Yes	
row_14	TNFSF18	773	2.848315715789795	0.13320652	Yes	
row_15	CXCR3	818	2.788917303085327	0.1399084	Yes	
row_16	FLT4	823	2.7837674617767334	0.1486699	Yes	
row_17	EGF	921	2.668503761291504	0.15223286	Yes	
row_18	IL5RA	933	2.650947332382202	0.16020308	Yes	
row_19	GH1	986	2.597266674041748	0.16587225	Yes	
row_20	ACVRL1	989	2.595942735671997	0.17413238	Yes	
row_21	TNFRSF19	1054	2.519029140472412	0.1789266	Yes	
row_22	CCL16	1057	2.518148899078369	0.18693611	Yes	
row_23	CCR10	1065	2.510889768600464	0.19466269	Yes	
row_24	IL17B	1103	2.4642114639282227	0.20068173	Yes	
row_25	PRL	1169	2.3958961963653564	0.20502733	Yes	
row_26	IFNL3	1223	2.3524203300476074	0.2098557	Yes	
row_27	TNFRSF1A	1229	2.3501322269439697	0.21716814	Yes	
row_28	CCL25	1392	2.2154829502105713	0.21589768	Yes	
row_29	CXCL13	1405	2.2005667686462402	0.2223649	Yes	
row_30	CCR1	1474	2.1567509174346924	0.22578427	Yes	
row_31	LEPR	1581	2.0977253913879395	0.22704108	Yes	
row_32	CX3CL1	1657	2.0528244972229004	0.22976227	Yes	
row_33	TNFRSF4	1709	2.0215954780578613	0.23362857	Yes	
row_34	TNFSF10	1889	1.924755334854126	0.23053902	Yes	
row_35	IL12B	1974	1.8822283744812012	0.23224342	Yes	
row_36	CCL28	1980	1.8788737058639526	0.2380375	Yes	
row_37	IL18R1	2058	1.8311264514923096	0.23994058	Yes	
row_38	CCR9	2074	1.8223217725753784	0.24503341	Yes	
row_39	IL17A	2152	1.789172649383545	0.24680132	Yes	
row_40	CCR5	2165	1.7835569381713867	0.25192496	Yes	
row_41	NGFR	2274	1.7363249063491821	0.25191355	Yes	
row_42	IL6R	2301	1.7253711223602295	0.25612307	Yes	
row_43	IFNA4	2356	1.7036951780319214	0.2588094	Yes	
row_44	TNFRSF11A	2371	1.6981228590011597	0.26355395	Yes	
row_45	IL18	2418	1.6743141412734985	0.26656085	Yes	
row_46	CXCL11	2436	1.665510892868042	0.27104464	Yes	
row_47	CXCL5	2512	1.6302132606506348	0.2724042	Yes	
row_48	CCL3L3	2646	1.578977346420288	0.2705882	Yes	
row_49	TNFRSF25	2726	1.5478545427322388	0.2714748	Yes	
row_50	CXCL1	2741	1.542155146598816	0.27571684	Yes	
row_51	TNFRSF13B	2799	1.5169644355773926	0.27764583	Yes	
row_52	IL1R1	2818	1.5100462436676025	0.2815768	Yes	
row_53	IFNA21	2873	1.489500880241394	0.283573	Yes	
row_54	IFNA13	2998	1.4473257064819336	0.28179997	Yes	
row_55	IFNLR1	3137	1.3991856575012207	0.27914518	Yes	
row_56	CSF1	3138	1.3984928131103516	0.28365102	Yes	
row_57	EDA2R	3204	1.3777180910110474	0.28471613	Yes	
row_58	CSF2RB	3310	1.3459537029266357	0.28360268	Yes	
row_59	CD40	3343	1.3366235494613647	0.28624824	Yes	
row_60	CXCL3	3398	1.3224923610687256	0.28770635	Yes	
row_61	CCL21	3435	1.3124444484710693	0.2900664	Yes	
row_62	IL13	3539	1.278262734413147	0.28883865	Yes	
row_63	CSF1R	3548	1.2736870050430298	0.29252714	Yes	
row_64	EGFR	3633	1.2515552043914795	0.29219955	Yes	
row_65	IL10RA	3654	1.2455188035964966	0.29517445	Yes	
row_66	CCL2	3758	1.2134416103363037	0.29373786	Yes	
row_67	TNFRSF21	3768	1.2116572856903076	0.2971746	Yes	
row_68	IL24	3890	1.1765202283859253	0.29468477	Yes	
row_69	XCL2	3891	1.176148533821106	0.29847425	Yes	
row_70	TNFSF9	3944	1.1627702713012695	0.29952157	Yes	
row_71	RELT	4006	1.1437060832977295	0.3000403	Yes	
row_72	IL22RA2	4073	1.1278541088104248	0.30024844	Yes	
row_73	IL2RB	4152	1.109915852546692	0.29977593	Yes	
row_74	IL7	4232	1.0890910625457764	0.2991844	Yes	
row_75	KITLG	4252	1.084490180015564	0.30169237	Yes	
row_76	IFNA5	4277	1.078532338142395	0.3039216	Yes	
row_77	IL11RA	4450	1.036965012550354	0.29833502	No	
row_78	IFNAR1	4505	1.0232375860214233	0.29882893	No	
row_79	IL5	4764	0.9640122652053833	0.28854346	No	
row_80	CCL26	4867	0.9422248601913452	0.28628495	No	
row_81	IFNA2	4888	0.9391336441040039	0.28827268	No	
row_82	CXCL12	4987	0.9208469390869141	0.2861529	No	
row_83	IL13RA1	5097	0.8994455337524414	0.2833932	No	
row_84	FLT3LG	5213	0.8754027485847473	0.28024465	No	
row_85	IL15RA	5214	0.8753002882003784	0.28306478	No	
row_86	CCR2	5251	0.8653742074966431	0.2839844	No	
row_87	VEGFB	5517	0.8103559017181396	0.2728405	No	
row_88	IFNA17	5537	0.8075861930847168	0.2744563	No	
row_89	TNFRSF13C	5548	0.8057646155357361	0.27653337	No	
row_90	CCL24	5553	0.8050898909568787	0.2789197	No	
row_91	INHBA	5567	0.8023151159286499	0.28082994	No	
row_92	IL2RA	5583	0.799059271812439	0.28262588	No	
row_93	TNFSF12	5609	0.7930460572242737	0.2838834	No	
row_94	CD27	5689	0.779183566570282	0.28229338	No	
row_95	CCL20	5732	0.7725366353988647	0.28260243	No	
row_96	CCR4	5740	0.7710283994674683	0.2847233	No	
row_97	IL12A	5749	0.7699984908103943	0.28678894	No	
row_98	HGF	5780	0.7641072869300842	0.2876937	No	
row_99	CXCR4	5955	0.7340186834335327	0.2810272	No	
