NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA11	581	3.145219087600708	0.0021386323	No	
row_1	ITGA2	890	2.7042198181152344	0.013832129	No	
row_2	ITGA6	1031	2.5488388538360596	0.032586943	No	
row_3	ADCY9	1097	2.4715821743011475	0.05441378	No	
row_4	ADCY2	1173	2.3897743225097656	0.07489295	No	
row_5	PRKACB	1397	2.2106034755706787	0.08593268	No	
row_6	ADCY1	1652	2.0560812950134277	0.09380373	No	
row_7	CACNG3	2527	1.6252471208572388	0.06538752	No	
row_8	ITGAV	2660	1.5745128393173218	0.074631184	No	
row_9	TNNT2	2917	1.4745103120803833	0.07647649	No	
row_10	CACNA1D	3652	1.2462623119354248	0.051403735	No	
row_11	MYL3	3729	1.2201802730560303	0.059920054	No	
row_12	ADCY3	3849	1.1886464357376099	0.06590284	No	
row_13	CACNA2D3	3864	1.1845507621765137	0.07724625	No	
row_14	ITGA8	4088	1.125523567199707	0.07723528	No	
row_15	DMD	4162	1.1057921648025513	0.084741	No	
row_16	ITGB5	4402	1.0492219924926758	0.08312974	No	
row_17	PLN	4471	1.0308717489242554	0.0901297	No	
row_18	ACTC1	4695	0.9798153042793274	0.08863481	No	
row_19	CACNG8	5150	0.887978732585907	0.07431947	No	
row_20	ADCY8	5579	0.7999399900436401	0.06044524	No	
row_21	ITGA5	5745	0.7704158425331116	0.05980193	No	
row_22	CACNB1	5760	0.7683205008506775	0.06690636	No	
row_23	ITGB7	5899	0.7431555986404419	0.0673746	No	
row_24	TPM1	6115	0.7004708051681519	0.0634464	No	
row_25	GNAS	6363	0.6559842824935913	0.05741872	No	
row_26	MYH7	6464	0.6373112797737122	0.058764145	No	
row_27	SGCA	6514	0.6295928955078125	0.062654965	No	
row_28	ATP2A2	6615	0.6155033707618713	0.063778296	No	
row_29	ITGA9	6945	0.5577782988548279	0.052531485	No	
row_30	TNF	7582	0.45425549149513245	0.024434943	No	
row_31	CACNG7	7631	0.44669339060783386	0.026514523	No	
row_32	TNNI3	7915	0.40394219756126404	0.016067753	No	
row_33	TTN	8343	0.34248775243759155	-0.0024138172	No	
row_34	CACNG6	8569	0.3134967088699341	-0.010797553	No	
row_35	ITGB3	8861	0.2695333957672119	-0.02302478	No	
row_36	TGFB3	9227	0.21729737520217896	-0.03959136	No	
row_37	ACTG1	9333	0.20338092744350433	-0.04292243	No	
row_38	TPM3	9557	0.16678626835346222	-0.052697394	No	
row_39	ACTB	9693	0.1493362933397293	-0.058122396	No	
row_40	ITGA4	9743	0.14103534817695618	-0.059207153	No	
row_41	LAMA2	9987	0.10512012988328934	-0.07063916	No	
row_42	LMNA	10110	0.08906581997871399	-0.0760091	No	
row_43	ITGB1	10181	0.07949039340019226	-0.07880112	No	
row_44	ADCY6	10255	0.06684418767690659	-0.081876285	No	
row_45	DES	10374	0.05017438530921936	-0.087436505	No	
row_46	SLC8A1	10382	0.04897838085889816	-0.08729785	No	
row_47	CACNG5	10515	0.031706053763628006	-0.09376647	No	
row_48	SGCB	10932	-0.02644827589392662	-0.1149007	No	
row_49	MYH6	11131	-0.05352940782904625	-0.124542825	No	
row_50	ITGA2B	11182	-0.06083622947335243	-0.1264958	No	
row_51	ITGA7	11249	-0.07016784697771072	-0.12917696	No	
