NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH2	320	3.8556270599365234	0.1025802	Yes	
row_1	SPIRE1	492	3.3346173763275146	0.19672199	Yes	
row_2	NOTCH4	1055	2.5188698768615723	0.24563852	Yes	
row_3	KRAS	1670	2.042088747024536	0.27717444	Yes	
row_4	MAP2K1	1965	1.8879978656768799	0.32036433	Yes	
row_5	MAPK3	3129	1.4024313688278198	0.3040072	Yes	
row_6	MAPK1	3295	1.352180004119873	0.3372761	Yes	
row_7	NOTCH3	3560	1.271226406097412	0.36297002	Yes	
row_8	ETV6	3589	1.2632629871368408	0.40052012	Yes	
row_9	EGFR	3633	1.2515552043914795	0.43693972	Yes	
row_10	FMN2	4756	0.9657718539237976	0.40920916	No	
row_11	SPIRE2	6944	0.5581842064857483	0.31428733	No	
row_12	ETS1	7067	0.539185106754303	0.3246712	No	
row_13	CPEB1	7455	0.47631776332855225	0.31952584	No	
row_14	PIWIL1	7705	0.4347224235534668	0.32017335	No	
row_15	NOTCH1	7977	0.3947800099849701	0.31846005	No	
row_16	PIWIL3	9724	0.1441616714000702	0.23337519	No	
row_17	ETV7	10306	0.061502549797296524	0.2054799	No	
row_18	PIWIL4	15560	-0.8501767516136169	-0.03765335	No	
row_19	SOS1	16291	-1.0667870044708252	-0.04216491	No	
row_20	ETS2	16711	-1.2156258821487427	-0.02613521	No	
row_21	SOS2	17766	-1.712058186531067	-0.027347403	No	
row_22	PIWIL2	17941	-1.8153095245361328	0.019752763	No	
row_23	GRB2	18185	-1.988618016242981	0.06866317	No	
