NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C19	202	4.380552768707275	0.042715333	No	
row_1	GSTT2	438	3.449418306350708	0.07244943	No	
row_2	GSTO2	552	3.197503089904785	0.10539852	No	
row_3	UGT2B7	585	3.1394686698913574	0.14180595	No	
row_4	FMO1	1052	2.524709939956665	0.14846355	No	
row_5	MGST2	1155	2.409276008605957	0.1724242	No	
row_6	GSTA5	1702	2.027144432067871	0.16894074	No	
row_7	ADH5	1966	1.8876910209655762	0.17830747	No	
row_8	UGT2A3	2374	1.6968531608581543	0.17796251	No	
row_9	ADH7	2390	1.69041907787323	0.19768035	No	
row_10	FMO2	3647	1.2480125427246094	0.14827405	No	
row_11	GSTA3	4444	1.038874626159668	0.1199675	No	
row_12	ALDH1A3	4801	0.9555870294570923	0.11325847	No	
row_13	CYP2C8	5295	0.8577120304107666	0.09832416	No	
row_14	GSTM1	5904	0.7423993945121765	0.07608356	No	
row_15	FMO3	6289	0.6718763113021851	0.064497225	No	
row_16	CYP3A43	6556	0.6239063143730164	0.058392253	No	
row_17	ADH1A	6588	0.6193206906318665	0.064305894	No	
row_18	GSTK1	6644	0.609793484210968	0.068870954	No	
row_19	GSTP1	7397	0.4841056168079376	0.036101084	No	
row_20	AOX1	7618	0.4483467936515808	0.030231722	No	
row_21	ALDH3A1	7663	0.4420154094696045	0.03332842	No	
row_22	CYP2A13	7851	0.41254279017448425	0.028720625	No	
row_23	FMO5	9178	0.22379747033119202	-0.036696136	No	
row_24	GSTM4	9601	0.16165408492088318	-0.056418993	No	
row_25	ADH1B	9630	0.1572376787662506	-0.055951837	No	
row_26	GSTZ1	10538	0.0292134378105402	-0.102199	No	
row_27	GSTA4	11348	-0.08453252911567688	-0.14274049	No	
row_28	CYP2D6	11374	-0.08816830813884735	-0.14295635	No	
row_29	GSTO1	11427	-0.0957883819937706	-0.14446709	No	
row_30	CYP2C18	11454	-0.09922575950622559	-0.1446003	No	
row_31	UGT2B4	12148	-0.20449426770210266	-0.17772777	No	
row_32	CYP3A4	12565	-0.2743324637413025	-0.19577664	No	
row_33	FMO4	12665	-0.2919306755065918	-0.1973249	No	
row_34	ALDH3B2	12908	-0.32897064089775085	-0.2057715	No	
row_35	CYP2E1	13015	-0.34830090403556824	-0.20699619	No	
row_36	ADH4	13410	-0.4113443195819855	-0.22225408	No	
row_37	MGST3	13559	-0.4347197115421295	-0.22458927	No	
row_38	CYP2B6	13718	-0.46198466420173645	-0.22710781	No	
row_39	CYP1A2	14324	-0.575558602809906	-0.25121644	No	
row_40	GSTM5	14768	-0.66837078332901	-0.26587668	No	
row_41	MAOB	14988	-0.7149425745010376	-0.2684634	No	
row_42	UGT2B15	15146	-0.7521010041236877	-0.26741424	No	
row_43	ALDH3B1	15656	-0.8787257075309753	-0.28291592	No	
row_44	CYP3A7	15783	-0.9135861992835999	-0.27831674	No	
row_45	ADH1C	15805	-0.9196251034736633	-0.26824948	No	
row_46	MAOA	17059	-1.3470720052719116	-0.31630102	Yes	
row_47	CYP2C9	17221	-1.417944312095642	-0.30738708	Yes	
row_48	UGT2B11	17317	-1.4618825912475586	-0.29454955	Yes	
row_49	CYP2A7	17482	-1.5399259328842163	-0.2843113	Yes	
row_50	CYP2A6	17752	-1.7054914236068726	-0.27746117	Yes	
row_51	UGT2B28	17871	-1.7768206596374512	-0.26198822	Yes	
row_52	CYP3A5	18055	-1.8912149667739868	-0.24846841	Yes	
row_53	GSTM3	18059	-1.8930950164794922	-0.2256775	Yes	
row_54	GSTM2	18139	-1.9538601636886597	-0.20605494	Yes	
row_55	GSTA1	18374	-2.159808397293091	-0.19190004	Yes	
row_56	UGT2B10	18430	-2.2235724925994873	-0.16777535	Yes	
row_57	GSTA2	18640	-2.4490530490875244	-0.1488302	Yes	
row_58	UGT2B17	19130	-3.2011423110961914	-0.13515571	Yes	
row_59	MGST1	19230	-3.5341341495513916	-0.0974072	Yes	
row_60	ADH6	19385	-4.449251651763916	-0.051392995	Yes	
row_61	UGT1A1	19415	-4.825211524963379	0.005600435	Yes	
