NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GALK1	75	5.406551361083984	0.15048178	Yes	
row_1	PFKM	375	3.6618974208831787	0.23967524	Yes	
row_2	HK3	523	3.2701053619384766	0.3254804	Yes	
row_3	PGM1	782	2.838517904281616	0.39327347	Yes	
row_4	GALK2	901	2.695218801498413	0.46415594	Yes	
row_5	UGP2	2156	1.7871886491775513	0.45085964	No	
row_6	HK2	2915	1.4748111963272095	0.45408383	No	
row_7	GLA	5101	0.898517906665802	0.36767468	No	
row_8	B4GALT1	5134	0.8923126459121704	0.39150432	No	
row_9	GALE	5518	0.8102951049804688	0.39499187	No	
row_10	B4GALT2	6133	0.6976513862609863	0.38341728	No	
row_11	MGAM	7216	0.5135099291801453	0.34258524	No	
row_12	PFKP	7637	0.4463444948196411	0.3337864	No	
row_13	LALBA	8555	0.3150745928287506	0.29575205	No	
row_14	LCT	9911	0.11479105055332184	0.22953798	No	
row_15	GCK	11572	-0.11666875332593918	0.14773567	No	
row_16	GLB1	11977	-0.18148159980773926	0.132197	No	
row_17	G6PC	12447	-0.2519398033618927	0.11533601	No	
row_18	AKR1B1	12854	-0.3180910348892212	0.10359423	No	
row_19	GANC	13066	-0.3550174832344055	0.10290701	No	
row_20	PGM2	13721	-0.4627901315689087	0.08257701	No	
row_21	GALT	14596	-0.6292492151260376	0.055715896	No	
row_22	G6PC2	15555	-0.8489906191825867	0.030819312	No	
row_23	GAA	15564	-0.8509941101074219	0.054700363	No	
row_24	HK1	16678	-1.2059539556503296	0.032044046	No	
row_25	PFKL	19324	-3.988863706588745	0.010256789	No	
