NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	1624	2.0713441371917725	0.04989959	No	
row_1	GZMB	5356	0.8444980382919312	-0.08705422	No	
row_2	CD28	7208	0.5146246552467346	-0.14885032	No	
row_3	TNF	7582	0.45425549149513245	-0.13877073	No	
row_4	FASLG	8883	0.26632606983184814	-0.1882847	No	
row_5	IL1B	9136	0.23036549985408783	-0.18639404	No	
row_6	KLRD1	10711	0.0033992365933954716	-0.2668521	No	
row_7	PRF1	10832	-0.012569217942655087	-0.27219492	No	
row_8	IL2	12930	-0.3336043655872345	-0.3582353	No	
row_9	FAS	15244	-0.7743246555328369	-0.42701894	Yes	
row_10	KLRC1	15707	-0.8917691111564636	-0.3933792	Yes	
row_11	IL6	15925	-0.9518854022026062	-0.34331775	Yes	
row_12	CD80	17443	-1.5207655429840088	-0.32332313	Yes	
row_13	IFNG	18396	-2.1875076293945312	-0.23151307	Yes	
row_14	IL1A	19390	-4.500523567199707	0.0068682777	Yes	
