NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	33	6.548097133636475	0.06392446	Yes	
row_1	EPOR	130	4.788693428039551	0.106977016	Yes	
row_2	TFRC	317	3.868267059326172	0.13617685	Yes	
row_3	THPO	412	3.529104709625244	0.16670932	Yes	
row_4	GP5	541	3.2268691062927246	0.19246434	Yes	
row_5	CSF2RA	708	2.94958233833313	0.21348618	Yes	
row_6	CD1C	732	2.905452251434326	0.24142024	Yes	
row_7	ITGA2	890	2.7042198181152344	0.26044607	Yes	
row_8	IL5RA	933	2.650947332382202	0.28485245	Yes	
row_9	ITGA6	1031	2.5488388538360596	0.3054069	Yes	
row_10	ANPEP	1199	2.368680238723755	0.32055584	Yes	
row_11	CD1D	1323	2.2701222896575928	0.33697996	Yes	
row_12	CD19	1583	2.096018075942993	0.34466487	Yes	
row_13	CD36	1672	2.0397210121154785	0.3605801	Yes	
row_14	IL6R	2301	1.7253711223602295	0.34557298	No	
row_15	IL1R1	2818	1.5100462436676025	0.33416814	No	
row_16	GYPA	2953	1.461917757987976	0.3419271	No	
row_17	CSF1	3138	1.3984928131103516	0.34647903	No	
row_18	CSF1R	3548	1.2736870050430298	0.3382085	No	
row_19	CD33	3702	1.2296284437179565	0.34266242	No	
row_20	CR1	3781	1.2072525024414062	0.35074937	No	
row_21	CD34	3933	1.1655875444412231	0.35466442	No	
row_22	IL7	4232	1.0890910625457764	0.35025266	No	
row_23	KITLG	4252	1.084490180015564	0.3601437	No	
row_24	IL11RA	4450	1.036965012550354	0.36040395	No	
row_25	IL5	4764	0.9640122652053833	0.35396728	No	
row_26	CD37	5205	0.877129077911377	0.3401283	No	
row_27	FLT3LG	5213	0.8754027485847473	0.34854114	No	
row_28	IL2RA	5583	0.799059271812439	0.33757132	No	
row_29	ITGA5	5745	0.7704158425331116	0.33701184	No	
row_30	ITGAM	5883	0.7471272349357605	0.3374533	No	
row_31	MS4A1	6629	0.6134219765663147	0.30528554	No	
row_32	FLT3	6703	0.600569486618042	0.30754974	No	
row_33	CD55	6769	0.5894207954406738	0.3101137	No	
row_34	CD7	6776	0.5880064368247986	0.31569782	No	
row_35	IL4R	6875	0.5708920359611511	0.3163789	No	
row_36	TNF	7582	0.45425549149513245	0.2846218	No	
row_37	IL3RA	7626	0.44745397567749023	0.28689447	No	
row_38	FCGR1A	7660	0.44250115752220154	0.2896318	No	
row_39	CD22	8073	0.3807385563850403	0.2722583	No	
row_40	MME	8123	0.37551936507225037	0.27350152	No	
row_41	CD59	8392	0.33591797947883606	0.26308474	No	
row_42	CD3D	8446	0.3287180960178375	0.26365322	No	
row_43	CSF3R	8742	0.2876831293106079	0.25136444	No	
row_44	ITGB3	8861	0.2695333957672119	0.24799685	No	
row_45	IL1B	9136	0.23036549985408783	0.23621371	No	
row_46	ITGA4	9743	0.14103534817695618	0.20646067	No	
row_47	CR2	9789	0.1338757425546646	0.20548797	No	
row_48	CD1E	10503	0.03305190056562424	0.16914979	No	
row_49	IL7R	10801	-0.008699603378772736	0.15396233	No	
row_50	IL11	10821	-0.011372593231499195	0.15309913	No	
row_51	CD14	11078	-0.04689094424247742	0.14040303	No	
row_52	CD2	11080	-0.047052279114723206	0.14082314	No	
row_53	ITGA2B	11182	-0.06083622947335243	0.13623841	No	
row_54	CD5	11295	-0.0774850994348526	0.13125479	No	
row_55	FCER2	11886	-0.16192245483398438	0.102533944	No	
row_56	CD8A	12195	-0.21150870621204376	0.088813215	No	
row_57	GP9	12783	-0.3080761730670929	0.061711334	No	
row_58	IL4	12909	-0.3292146623134613	0.058581833	No	
row_59	CD9	13046	-0.3527376651763916	0.055122342	No	
row_60	CSF2	13183	-0.3745269477367401	0.051881213	No	
row_61	CD3G	13409	-0.4109456241130829	0.044427805	No	
row_62	GP1BA	13667	-0.4539676904678345	0.03575979	No	
row_63	CD38	13786	-0.4773847758769989	0.034475185	No	
row_64	CD8B	14236	-0.5608315467834473	0.017003592	No	
row_65	CD4	14505	-0.6090484261512756	0.009323988	No	
row_66	CD3E	14741	-0.6615744233131409	0.0038679547	No	
row_67	IL1R2	15088	-0.7393512725830078	-0.0065173414	No	
row_68	CSF3	15459	-0.8235507607460022	-0.017293148	No	
row_69	EPO	15591	-0.8608694672584534	-0.015403256	No	
row_70	CD1A	15791	-0.9157785177230835	-0.016460316	No	
row_71	IL6	15925	-0.9518854022026062	-0.013761169	No	
row_72	IL3	16661	-1.198471188545227	-0.039551575	No	
row_73	DNTT	16997	-1.32461416721344	-0.04350594	No	
row_74	CD1B	17297	-1.452600121498108	-0.044326227	No	
row_75	ITGA3	17574	-1.5945204496383667	-0.042541377	No	
row_76	GP1BB	18088	-1.9139480590820312	-0.049744237	No	
row_77	IL9R	18534	-2.318643808364868	-0.049394224	No	
row_78	TPO	18569	-2.3591296672821045	-0.027500859	No	
row_79	KIT	19101	-3.134429454803467	-0.023398422	No	
row_80	IL1A	19390	-4.500523567199707	0.006891734	No	
