NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA11	581	3.145219087600708	0.006859682	No	
row_1	ITGA2	890	2.7042198181152344	0.02260873	No	
row_2	ITGA6	1031	2.5488388538360596	0.045183286	No	
row_3	PRKAB2	1729	2.0134453773498535	0.032855626	No	
row_4	CACNG3	2527	1.6252471208572388	0.010849864	No	
row_5	ITGAV	2660	1.5745128393173218	0.022453973	No	
row_6	TNNT2	2917	1.4745103120803833	0.026512254	No	
row_7	CACNA1D	3652	1.2462623119354248	0.0033194984	No	
row_8	MYL3	3729	1.2201802730560303	0.01366457	No	
row_9	CACNA2D3	3864	1.1845507621765137	0.020610346	No	
row_10	ITGA8	4088	1.125523567199707	0.022289092	No	
row_11	DMD	4162	1.1057921648025513	0.031452198	No	
row_12	ITGB5	4402	1.0492219924926758	0.031416684	No	
row_13	ACTC1	4695	0.9798153042793274	0.027844459	No	
row_14	PRKAG1	4820	0.9521324634552002	0.032589488	No	
row_15	CACNG8	5150	0.887978732585907	0.026041444	No	
row_16	ITGA5	5745	0.7704158425331116	0.0044904673	No	
row_17	CACNB1	5760	0.7683205008506775	0.0127458	No	
row_18	ITGB7	5899	0.7431555986404419	0.014329544	No	
row_19	TPM1	6115	0.7004708051681519	0.011454358	No	
row_20	MYH7	6464	0.6373112797737122	0.0010008451	No	
row_21	SGCA	6514	0.6295928955078125	0.0058354526	No	
row_22	ATP2A2	6615	0.6155033707618713	0.007882416	No	
row_23	PRKAG3	6730	0.5956798195838928	0.008977751	No	
row_24	ITGA9	6945	0.5577782988548279	0.004487089	No	
row_25	TNF	7582	0.45425549149513245	-0.022917379	No	
row_26	CACNG7	7631	0.44669339060783386	-0.02016794	No	
row_27	TNNI3	7915	0.40394219756126404	-0.030004524	No	
row_28	PRKAG2	7994	0.39215368032455444	-0.029435178	No	
row_29	TTN	8343	0.34248775243759155	-0.043332767	No	
row_30	PRKAB1	8371	0.33860743045806885	-0.04076589	No	
row_31	CACNG6	8569	0.3134967088699341	-0.047235858	No	
row_32	ITGB3	8861	0.2695333957672119	-0.05905404	No	
row_33	TGFB3	9227	0.21729737520217896	-0.07528844	No	
row_34	ACTG1	9333	0.20338092744350433	-0.07831297	No	
row_35	TPM3	9557	0.16678626835346222	-0.08783403	No	
row_36	ACTB	9693	0.1493362933397293	-0.09303288	No	
row_37	ITGA4	9743	0.14103534817695618	-0.093905516	No	
row_38	LAMA2	9987	0.10512012988328934	-0.10517559	No	
row_39	LMNA	10110	0.08906581997871399	-0.11040989	No	
row_40	ITGB1	10181	0.07949039340019226	-0.11308157	No	
row_41	DES	10374	0.05017438530921936	-0.12237046	No	
row_42	SLC8A1	10382	0.04897838085889816	-0.122158326	No	
row_43	CACNG5	10515	0.031706053763628006	-0.12857702	No	
row_44	SGCB	10932	-0.02644827589392662	-0.14966393	No	
row_45	MYH6	11131	-0.05352940782904625	-0.15922223	No	
row_46	ITGA2B	11182	-0.06083622947335243	-0.16108316	No	
row_47	ITGA7	11249	-0.07016784697771072	-0.16365801	No	
row_48	TGFB1	11600	-0.12111753225326538	-0.18024448	No	
row_49	TNNC1	12318	-0.23030252754688263	-0.21443115	No	
row_50	SGCD	13484	-0.42349544167518616	-0.26940268	No	
row_51	CACNA2D4	13600	-0.44223693013191223	-0.2701513	No	
row_52	CACNA1F	14109	-0.5353904962539673	-0.29002458	No	
row_53	CACNB4	14347	-0.5783789753913879	-0.29545754	No	
row_54	ITGB8	14352	-0.5789859890937805	-0.28889966	No	
row_55	ACE	15015	-0.719306230545044	-0.3145451	No	
row_56	CACNA2D1	15133	-0.7484299540519714	-0.31181964	No	
row_57	CACNG1	15402	-0.8074845671653748	-0.31617063	No	
row_58	MYBPC3	15684	-0.8862970471382141	-0.32026958	No	
row_59	IL6	15925	-0.9518854022026062	-0.3214936	Yes	
row_60	CACNB3	16019	-0.9799959659576416	-0.31482866	Yes	
row_61	TPM4	16373	-1.089514970779419	-0.32025677	Yes	
row_62	ITGB6	16417	-1.1074318885803223	-0.30953154	Yes	
row_63	PRKAA1	16692	-1.2083044052124023	-0.3095088	Yes	
row_64	IGF1	16808	-1.2510215044021606	-0.30080932	Yes	
row_65	TGFB2	16991	-1.3227343559265137	-0.29471806	Yes	
row_66	ITGA10	17472	-1.5351167917251587	-0.30147263	Yes	
row_67	CACNB2	17546	-1.577255129814148	-0.286802	Yes	
row_68	ITGA3	17574	-1.5945204496383667	-0.26956376	Yes	
row_69	ITGB4	17667	-1.650972843170166	-0.25500914	Yes	
row_70	CACNA2D2	17674	-1.6532974243164062	-0.23600422	Yes	
row_71	CACNA1C	17770	-1.7146233320236206	-0.22086036	Yes	
row_72	CACNG4	18188	-1.9908056259155273	-0.21905144	Yes	
row_73	EMD	18199	-2.002591609954834	-0.19617182	Yes	
row_74	CACNA1S	18407	-2.1969707012176514	-0.1811537	Yes	
row_75	SGCG	18648	-2.4546215534210205	-0.16482301	Yes	
row_76	DAG1	18699	-2.5195744037628174	-0.1379614	Yes	
row_77	TPM2	18730	-2.546901226043701	-0.109751925	Yes	
row_78	RYR2	18828	-2.668549060821533	-0.083567336	Yes	
row_79	PRKAA2	18997	-2.9499754905700684	-0.057746883	Yes	
row_80	CACNG2	19046	-3.0314114093780518	-0.024803218	Yes	
row_81	MYL2	19358	-4.223337173461914	0.008537598	Yes	
