NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN7	500	3.3213276863098145	-0.015460818	No	
row_1	FGF22	519	3.273289442062378	-0.0060488186	No	
row_2	RPS6KA1	526	3.264113187789917	0.0039571957	No	
row_3	PAK2	537	3.2394027709960938	0.013677429	No	
row_4	MAPK12	567	3.1707141399383545	0.022194097	No	
row_5	FGF7	680	2.9836409091949463	0.02581022	No	
row_6	PPP3CC	681	2.9835758209228516	0.035240993	No	
row_7	NFKB2	838	2.760694980621338	0.035867997	No	
row_8	TP53	860	2.7336485385894775	0.043418493	No	
row_9	DUSP16	867	2.7259581089019775	0.051723454	No	
row_10	EGF	921	2.668503761291504	0.057406645	No	
row_11	GADD45B	1077	2.499638319015503	0.057260394	No	
row_12	TNFRSF1A	1229	2.3501322269439697	0.056849245	No	
row_13	FLNA	1237	2.3427181243896484	0.063890904	No	
row_14	TAOK3	1257	2.321082592010498	0.07024116	No	
row_15	FGF9	1307	2.282534599304199	0.07491201	No	
row_16	PRKACB	1397	2.2106034755706787	0.07727877	No	
row_17	DUSP3	1431	2.1877195835113525	0.08248062	No	
row_18	KRAS	1670	2.042088747024536	0.07657887	No	
row_19	FGFR4	1738	2.0084421634674072	0.07944882	No	
row_20	RELB	1849	1.9460439682006836	0.079889044	No	
row_21	FGF10	1859	1.9401564598083496	0.08555441	No	
row_22	NFKB1	1880	1.9310729503631592	0.09061997	No	
row_23	MAP2K1	1965	1.8879978656768799	0.09222659	No	
row_24	RELA	1990	1.8702037334442139	0.09689207	No	
row_25	PAK1	2024	1.8512581586837769	0.1010304	No	
row_26	PLA2G2D	2057	1.8313814401626587	0.105157815	No	
row_27	PTPRR	2249	1.7434672117233276	0.100752324	No	
row_28	CACNA1B	2340	1.7107338905334473	0.10148712	No	
row_29	STK3	2503	1.6350419521331787	0.09824455	No	
row_30	CACNG3	2527	1.6252471208572388	0.10218766	No	
row_31	JUN	2605	1.5943316221237183	0.10322946	No	
row_32	PLA2G2E	2625	1.5876307487487793	0.10726135	No	
row_33	FLNC	2671	1.570648193359375	0.10988968	No	
row_34	PPP5C	2738	1.5447187423706055	0.11134577	No	
row_35	PTPN5	2754	1.5356920957565308	0.11542115	No	
row_36	IL1R1	2818	1.5100462436676025	0.1169234	No	
row_37	RAPGEF2	2857	1.4941637516021729	0.11967339	No	
row_38	NFATC4	2864	1.4916623830795288	0.12407687	No	
row_39	MAP3K12	2980	1.4548885822296143	0.12270501	No	
row_40	MAPK3	3129	1.4024313688278198	0.11945403	No	
row_41	MAPK9	3281	1.3559156656265259	0.11590026	No	
row_42	MAPK1	3295	1.352180004119873	0.11949943	No	
row_43	NTRK1	3339	1.3379929065704346	0.12149619	No	
row_44	PRKCA	3371	1.3301395177841187	0.12409116	No	
row_45	PPP3R2	3373	1.3296012878417969	0.12824197	No	
row_46	FGF16	3395	1.3234254121780396	0.1313349	No	
row_47	HSPB1	3425	1.3144804239273071	0.13398421	No	
row_48	FGFR2	3453	1.3068205118179321	0.13671313	No	
row_49	RASGRF2	3477	1.300525188446045	0.13962984	No	
row_50	RAP1B	3478	1.3001329898834229	0.14373942	No	
row_51	PLA2G4A	3531	1.2809118032455444	0.1450885	No	
row_52	EGFR	3633	1.2515552043914795	0.14380078	No	
row_53	CACNA1D	3652	1.2462623119354248	0.14680555	No	
row_54	PLA2G12A	3706	1.2277946472167969	0.14793481	No	
row_55	CACNA2D3	3864	1.1845507621765137	0.14352787	No	
row_56	CACNA1E	3949	1.1610873937606812	0.1428368	No	
row_57	RASA2	4051	1.133335828781128	0.1411754	No	
row_58	RPS6KA5	4058	1.1306997537612915	0.14443791	No	
row_59	MOS	4118	1.118187665939331	0.1449092	No	
row_60	MAPKAPK2	4248	1.084861159324646	0.14164087	No	
row_61	NTRK2	4338	1.0645389556884766	0.14038503	No	
row_62	PLA2G1B	4369	1.0583010911941528	0.14217266	No	
row_63	PLA2G6	4415	1.0460389852523804	0.14314276	No	
row_64	FGF1	4571	1.0047979354858398	0.13827147	No	
row_65	FGF6	4590	0.9998375773429871	0.14049731	No	
row_66	NR4A1	4797	0.9560162425041199	0.132824	No	
row_67	BDNF	4893	0.9384915828704834	0.13085823	No	
row_68	MAP3K5	5033	0.9113225936889648	0.12652217	No	
row_69	CACNG8	5150	0.887978732585907	0.123306446	No	
row_70	RPS6KA6	5194	0.8785242438316345	0.12385088	No	
row_71	JUND	5253	0.8652263879776001	0.1235745	No	
row_72	CACNA1G	5312	0.8550093770027161	0.12326583	No	
row_73	SRF	5369	0.8423120975494385	0.123020865	No	
row_74	LAMTOR3	5641	0.7873332500457764	0.11143967	No	
row_75	CACNB1	5760	0.7683205008506775	0.10774188	No	
row_76	MECOM	5776	0.7648115754127502	0.10938059	No	
row_77	NGF	5878	0.7476730346679688	0.10650015	No	
row_78	MEF2C	5983	0.7275089025497437	0.10340022	No	
row_79	GADD45G	6136	0.697008490562439	0.0977118	No	
