NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IAPP	1363	2.2385013103485107	0.01264588	No	
row_1	FOXA2	3352	1.334579348564148	-0.04008489	No	
row_2	INS	3995	1.147429347038269	-0.030697538	No	
row_3	PAX6	4981	0.9216548204421997	-0.047222696	No	
row_4	BHLHA15	6174	0.6891555190086365	-0.08293466	No	
row_5	SLC2A2	6533	0.6266098022460938	-0.07818793	No	
row_6	HNF4A	8071	0.3808211386203766	-0.14295903	No	
row_7	NEUROG3	8617	0.30703601241111755	-0.1595841	No	
row_8	ONECUT1	9578	0.16460268199443817	-0.20274074	No	
row_9	PDX1	10227	0.07177501916885376	-0.23332167	No	
row_10	NEUROD1	11288	-0.0768592432141304	-0.28484118	No	
row_11	GCK	11572	-0.11666875332593918	-0.2950508	No	
row_12	PAX4	12174	-0.20894092321395874	-0.31816426	No	
row_13	HES1	14024	-0.520856499671936	-0.39377046	No	
row_14	HNF1B	14290	-0.5697591304779053	-0.38635114	No	
row_15	HNF1A	15692	-0.8875896334648132	-0.42546347	Yes	
row_16	HHEX	16024	-0.9819232821464539	-0.40623143	Yes	
row_17	FOXA3	16105	-1.0097315311431885	-0.3731036	Yes	
row_18	HNF4G	17152	-1.385905385017395	-0.37563917	Yes	
row_19	NR5A2	18940	-2.8376715183258057	-0.36264256	Yes	
row_20	MNX1	18993	-2.944324493408203	-0.2567483	Yes	
row_21	MAFA	19121	-3.1914498805999756	-0.14558798	Yes	
row_22	PKLR	19391	-4.507623672485352	0.0068198894	Yes	
