NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITPR3	478	3.3700954914093018	0.005255271	Yes	
row_1	RPS6KA1	526	3.264113187789917	0.03177146	Yes	
row_2	ANAPC2	531	3.24967622756958	0.060374558	Yes	
row_3	MAPK12	567	3.1707141399383545	0.08668085	Yes	
row_4	PPP3CC	681	2.9835758209228516	0.10731041	Yes	
row_5	SPDYC	752	2.8768763542175293	0.12920894	Yes	
row_6	ADCY9	1097	2.4715821743011475	0.13340092	Yes	
row_7	CALML3	1106	2.4616858959198	0.15481226	Yes	
row_8	ADCY2	1173	2.3897743225097656	0.17259856	Yes	
row_9	AR	1201	2.3672726154327393	0.19219422	Yes	
row_10	PRKACB	1397	2.2106034755706787	0.20174745	Yes	
row_11	PGR	1574	2.0994338989257812	0.21129379	Yes	
row_12	ADCY1	1652	2.0560812950134277	0.22555521	Yes	
row_13	AURKA	1666	2.0464255809783936	0.24302764	Yes	
row_14	CCNB1	1680	2.03558611869812	0.26040396	Yes	
row_15	PPP2R1B	1747	2.0020058155059814	0.2747526	Yes	
row_16	MAP2K1	1965	1.8879978656768799	0.28031263	Yes	
row_17	PLCZ1	2515	1.6291874647140503	0.2664772	Yes	
row_18	FBXO43	2911	1.47608482837677	0.2592169	Yes	
row_19	MAPK3	3129	1.4024313688278198	0.26047227	Yes	
row_20	PPP2R5E	3199	1.3781399726867676	0.26913565	Yes	
row_21	MAPK1	3295	1.352180004119873	0.27622968	Yes	
row_22	PPP3R2	3373	1.3296012878417969	0.2840507	Yes	
row_23	CDC16	3467	1.3042088747024536	0.29082245	Yes	
row_24	ADCY3	3849	1.1886464357376099	0.28173506	Yes	
row_25	INS	3995	1.147429347038269	0.28443846	Yes	
row_26	MOS	4118	1.118187665939331	0.2880673	Yes	
row_27	PPP2R5A	4161	1.1062695980072021	0.29571128	Yes	
row_28	CDC20	4407	1.0482314825057983	0.29238433	Yes	
row_29	SLK	4512	1.021105408668518	0.2960797	Yes	
row_30	SPDYA	4575	1.003935694694519	0.30178627	Yes	
row_31	REC8	4659	0.9873622059822083	0.3062642	Yes	
row_32	RPS6KA6	5194	0.8785242438316345	0.2865466	No	
row_33	ADCY8	5579	0.7999399900436401	0.2738587	No	
row_34	CCNE1	5898	0.7434018850326538	0.2640692	No	
row_35	PPP1CA	6413	0.6451478600502014	0.24331284	No	
row_36	SKP1	6765	0.5906150937080383	0.23046905	No	
row_37	ANAPC4	7140	0.5259067416191101	0.21586688	No	
row_38	IGF1R	7197	0.5160655975341797	0.21755742	No	
row_39	CAMK2D	7330	0.49541956186294556	0.2151502	No	
row_40	CAMK2B	7361	0.4903225600719452	0.21795174	No	
row_41	CPEB1	7455	0.47631776332855225	0.21738406	No	
row_42	CALML6	7487	0.4697761535644531	0.21995194	No	
row_43	PTTG1	7744	0.42796793580055237	0.21055962	No	
row_44	RBX1	7869	0.41013529896736145	0.20780842	No	
row_45	CAMK2A	7879	0.40894612669944763	0.21097024	No	
row_46	ANAPC11	8289	0.35261401534080505	0.19302897	No	
row_47	YWHAH	8611	0.3078368604183197	0.17922357	No	
row_48	ITPR2	8651	0.3010951578617096	0.17988399	No	
row_49	PLK1	8726	0.29049184918403625	0.17864758	No	
row_50	ANAPC5	8732	0.2898542582988739	0.18095966	No	
row_51	PPP2R5C	8835	0.2740834951400757	0.17813553	No	
row_52	FBXO5	8855	0.2701345980167389	0.17955166	No	
row_53	SMC3	9168	0.22576245665550232	0.16548222	No	
row_54	ANAPC1	9286	0.20909692347049713	0.16130933	No	
row_55	ANAPC7	9291	0.2082705795764923	0.16294967	No	
row_56	BTRC	9315	0.20558910071849823	0.16358754	No	
row_57	CUL1	9729	0.14347703754901886	0.14358619	No	
row_58	CAMK2G	9800	0.13043543696403503	0.14113688	No	
row_59	CALM3	9901	0.11542139202356339	0.1370092	No	
row_60	PPP3R1	10122	0.08744695037603378	0.12645242	No	
row_61	ADCY6	10255	0.06684418767690659	0.120245785	No	
row_62	SMC1A	10302	0.0618998259305954	0.118425116	No	
row_63	YWHAZ	10446	0.04070066660642624	0.11142012	No	
row_64	PTTG2	10451	0.039818041026592255	0.11156708	No	
row_65	SMC1B	10499	0.033666010946035385	0.1094446	No	
row_66	ANAPC10	10986	-0.0345282256603241	0.08471722	No	
row_67	ANAPC13	11153	-0.05641753599047661	0.07666685	No	
row_68	PRKACA	11470	-0.10151446610689163	0.06128988	No	
row_69	PPP2CB	11523	-0.10860556364059448	0.059574213	No	
row_70	MAD2L2	11881	-0.1611204296350479	0.042613793	No	
row_71	YWHAE	11992	-0.18347294628620148	0.03857431	No	
row_72	PPP2CA	12024	-0.1875036507844925	0.038639784	No	
row_73	PPP2R5D	12270	-0.22176121175289154	0.027985992	No	
row_74	RPS6KA3	12304	-0.22793728113174438	0.028306903	No	
row_75	CDC25C	12534	-0.2687342166900635	0.018893683	No	
row_76	CDK2	12775	-0.3071366548538208	0.0092543075	No	
row_77	PPP3CA	13055	-0.3538922965526581	-0.0019794274	No	
row_78	PRKX	13071	-0.3562430143356323	4.0611124E-4	No	
row_79	CALM2	13154	-0.37031304836273193	-5.347338E-4	No	
row_80	PPP1CC	13296	-0.39142951369285583	-0.0043274206	No	
row_81	RPS6KA2	13432	-0.4148891866207123	-0.0076030763	No	
row_82	ITPR1	13760	-0.4708654284477234	-0.02027226	No	
row_83	CDC27	13815	-0.4824330508708954	-0.018776877	No	
row_84	CCNE2	14371	-0.5830541849136353	-0.042195585	No	
row_85	CALM1	14398	-0.5876542925834656	-0.03832513	No	
row_86	ADCY4	14415	-0.5920498967170715	-0.03390062	No	
row_87	FBXW11	14468	-0.6034852862358093	-0.031229062	No	
row_88	CDC26	14710	-0.6553515791893005	-0.03783294	No	
row_89	YWHAQ	14730	-0.6602709889411926	-0.03295816	No	
row_90	PKMYT1	14851	-0.686015784740448	-0.033057578	No	
row_91	CCNB2	14855	-0.6867312788963318	-0.027124071	No	
row_92	CDC23	14975	-0.7116409540176392	-0.026944807	No	
row_93	STAG3	15202	-0.7632235288619995	-0.03181974	No	
row_94	CDK1	15411	-0.8092414736747742	-0.035359543	No	
row_95	CALML5	15663	-0.8804309964179993	-0.040483132	No	
row_96	YWHAB	15741	-0.9044459462165833	-0.036431216	No	
row_97	PPP2R1A	16014	-0.978691041469574	-0.041765403	No	
row_98	PPP3CB	16503	-1.1381874084472656	-0.056811605	No	
row_99	PPP1CB	16554	-1.1619000434875488	-0.049086552	No	
row_100	PPP2R5B	16555	-1.1628319025039673	-0.038777776	No	
row_101	IGF1	16808	-1.2510215044021606	-0.040667504	No	
row_102	CHP2	17123	-1.3738980293273926	-0.044661477	No	
row_103	YWHAG	17563	-1.586506962776184	-0.05320927	No	
row_104	ADCY5	17613	-1.6116054058074951	-0.041445967	No	
row_105	MAD2L1	18009	-1.859994888305664	-0.04530282	No	
row_106	ADCY7	18388	-2.1722500324249268	-0.045515805	No	
row_107	BUB1	18607	-2.411118268966675	-0.035369694	No	
row_108	PRKACG	19048	-3.0336849689483643	-0.03113943	No	
row_109	ESPL1	19087	-3.11122465133667	-0.00551505	No	
row_110	CHP1	19107	-3.1553986072540283	0.021479618	No	
