NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A17	79	5.37586784362793	0.057702016	Yes	
row_1	ACSL3	249	4.1362481117248535	0.09653385	Yes	
row_2	ACOT8	437	3.4511988162994385	0.12656944	Yes	
row_3	PEX3	484	3.351893424987793	0.16271456	Yes	
row_4	EPHX2	551	3.201185703277588	0.19609973	Yes	
row_5	PEX10	560	3.187812328338623	0.23231372	Yes	
row_6	PECR	1390	2.219048023223877	0.2151801	Yes	
row_7	ACSL4	1484	2.1505651473999023	0.23510611	Yes	
row_8	ACOX1	1671	2.0407698154449463	0.24898843	Yes	
row_9	IDH2	1861	1.938174843788147	0.26153776	Yes	
row_10	ABCD3	1896	1.9222798347473145	0.28187484	Yes	
row_11	CAT	2027	1.8503695726394653	0.29644924	Yes	
row_12	ABCD2	2263	1.7406002283096313	0.3043632	Yes	
row_13	FAR2	2893	1.481103539466858	0.28903556	Yes	
row_14	SOD2	3026	1.4383611679077148	0.29877347	Yes	
row_15	HMGCL	3073	1.422628402709961	0.3127529	Yes	
row_16	PIPOX	3501	1.29188871383667	0.30563855	Yes	
row_17	PXMP4	3566	1.2696040868759155	0.31693426	Yes	
row_18	DHRS4	3597	1.2609341144561768	0.32987872	Yes	
row_19	PEX16	3609	1.2576653957366943	0.34376264	Yes	
row_20	ACSL6	3667	1.240222692489624	0.35508072	Yes	
row_21	PMVK	3726	1.2207176685333252	0.36612332	Yes	
row_22	ECH1	4398	1.050977349281311	0.34369415	Yes	
row_23	PEX1	4446	1.037912130355835	0.3532021	Yes	
row_24	EHHADH	4773	0.9614684581756592	0.34748507	Yes	
row_25	MVK	4864	0.9431698322296143	0.35369337	Yes	
row_26	ABCD4	4924	0.9317626357078552	0.36136466	Yes	
row_27	SCP2	5025	0.9129843711853027	0.36671194	Yes	
row_28	FAR1	5235	0.8688489198684692	0.36594713	No	
row_29	MPV17	6281	0.6734179258346558	0.31994838	No	
row_30	HACL1	6505	0.6310290098190308	0.31573132	No	
row_31	PAOX	6593	0.6183382272720337	0.31836182	No	
row_32	GSTK1	6644	0.609793484210968	0.32279676	No	
row_33	AMACR	6967	0.5537756085395813	0.31260136	No	
row_34	AGXT	7210	0.5143103003501892	0.3060663	No	
row_35	DDO	7508	0.46703585982322693	0.29615986	No	
row_36	DECR2	8232	0.3609635829925537	0.2631291	No	
row_37	PEX11B	8543	0.3163447678089142	0.25082287	No	
row_38	PEX19	8618	0.3068898618221283	0.25054356	No	
row_39	PEX7	9872	0.12005793303251266	0.1874914	No	
row_40	CROT	10018	0.10098600387573242	0.18119548	No	
row_41	SOD1	10130	0.08677304536104202	0.17648461	No	
row_42	GNPAT	10649	0.011889559216797352	0.14998472	No	
row_43	HAO2	10718	0.002825156319886446	0.1465205	No	
row_44	PRDX1	10720	0.0024154807906597853	0.14649683	No	
row_45	BAAT	10778	-0.00606194231659174	0.14363544	No	
row_46	PEX13	10987	-0.034744489938020706	0.13333888	No	
row_47	XDH	11299	-0.07800602167844772	0.11824293	No	
row_48	PEX26	11729	-0.13961663842201233	0.097787045	No	
row_49	SLC27A2	11750	-0.14463171362876892	0.098420314	No	
row_50	MPV17L	12239	-0.21712510287761688	0.07582106	No	
row_51	PRDX5	12335	-0.23221422731876373	0.073603936	No	
row_52	PEX11G	12512	-0.26366299390792847	0.06758297	No	
row_53	PEX6	12551	-0.2716328501701355	0.068749785	No	
row_54	ACOX3	13192	-0.3763326108455658	0.04016358	No	
row_55	ECI2	13537	-0.432835191488266	0.027447399	No	
row_56	DAO	13652	-0.45100319385528564	0.02676697	No	
row_57	ACSL5	13655	-0.45149505138397217	0.031851437	No	
row_58	ACSL1	13716	-0.4618622064590454	0.03407255	No	
row_59	PEX11A	14014	-0.5188555121421814	0.024761498	No	
row_60	ABCD1	14163	-0.5465016961097717	0.023429928	No	
row_61	PHYH	14211	-0.5572035908699036	0.02741492	No	
row_62	PEX14	14594	-0.6291578412055969	0.015000298	No	
row_63	NUDT19	14723	-0.6588457226753235	0.015987907	No	
row_64	HAO1	14994	-0.7157031893730164	0.010326863	No	
row_65	MLYCD	15053	-0.7291519045829773	0.015721759	No	
row_66	IDH1	15362	-0.7986319065093994	0.009059471	No	
row_67	ACAA1	15861	-0.9360429048538208	-0.0057942215	No	
row_68	CRAT	16007	-0.9768859148025513	-0.0020267614	No	
row_69	NUDT12	16435	-1.1146528720855713	-0.0111774225	No	
row_70	PEX12	16525	-1.1471091508865356	-0.0025746147	No	
row_71	PEX5	16539	-1.1565605401992798	0.01004484	No	
row_72	AGPS	16919	-1.2910408973693848	0.005388981	No	
row_73	HSD17B4	17073	-1.3510351181030273	0.013043737	No	
row_74	NOS2	17171	-1.3954576253890991	0.024088493	No	
row_75	ACOX2	18608	-2.4115939140319824	-0.022045981	No	
row_76	PXMP2	18946	-2.8626132011413574	-0.006486037	No	
row_77	PEX2	19105	-3.147003173828125	0.021545818	No	
