NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMOX2	204	4.359177589416504	0.09306639	No	
row_1	UGT2B7	585	3.1394686698913574	0.14813608	No	
row_2	UGT2A3	2374	1.6968531608581543	0.09671607	No	
row_3	PPOX	2711	1.554162621498108	0.1163916	No	
row_4	ALAD	3750	1.2149869203567505	0.092000574	No	
row_5	HMOX1	3771	1.2108899354934692	0.119733445	No	
row_6	CPOX	4324	1.0683114528656006	0.1167896	No	
row_7	FECH	5605	0.7943358421325684	0.069993965	No	
row_8	COX10	7102	0.5325936675071716	0.005901587	No	
row_9	EARS2	7677	0.44021329283714294	-0.013088237	No	
row_10	CP	7998	0.39191725850105286	-0.020195449	No	
row_11	FTH1	9386	0.19545836746692657	-0.08670338	No	
row_12	BLVRA	9738	0.14133647084236145	-0.10135216	No	
row_13	UROS	10066	0.09427837282419205	-0.115887426	No	
row_14	UROD	10719	0.002543136477470398	-0.14927322	No	
row_15	ALAS1	11816	-0.15309610962867737	-0.2018596	No	
row_16	UGT2B4	12148	-0.20449426770210266	-0.2139824	No	
row_17	MMAB	13343	-0.40003812313079834	-0.26573104	No	
row_18	ALAS2	13556	-0.43429848551750183	-0.26629153	No	
row_19	UGT2B15	15146	-0.7521010041236877	-0.32994127	No	
row_20	COX15	16627	-1.1865088939666748	-0.3776823	Yes	
row_21	BLVRB	17036	-1.3406015634536743	-0.36677232	Yes	
row_22	HCCS	17069	-1.349135398864746	-0.3363717	Yes	
row_23	UGT2B11	17317	-1.4618825912475586	-0.31432232	Yes	
row_24	FTMT	17354	-1.4797308444976807	-0.2810252	Yes	
row_25	GUSB	17694	-1.6658637523651123	-0.25885063	Yes	
row_26	UGT2B28	17871	-1.7768206596374512	-0.2256793	Yes	
row_27	UGT2B10	18430	-2.2235724925994873	-0.2014933	Yes	
row_28	HMBS	18930	-2.813964366912842	-0.16025883	Yes	
row_29	UGT2B17	19130	-3.2011423110961914	-0.09443948	Yes	
row_30	UGT1A1	19415	-4.825211524963379	0.0055914633	Yes	
