NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA8	58	5.797558784484863	0.10773081	Yes	
row_1	PSMD1	614	3.084350824356079	0.13814054	Yes	
row_2	PSMC3	696	2.96087908744812	0.19052266	Yes	
row_3	PSMD11	716	2.9316604137420654	0.24552923	Yes	
row_4	PSMB5	765	2.859407663345337	0.29766756	Yes	
row_5	PSMD12	1003	2.581007719039917	0.3347884	Yes	
row_6	PSMC1	1607	2.0800416469573975	0.3435564	Yes	
row_7	PSMD7	2061	1.8298159837722778	0.35524565	Yes	
row_8	PSMC6	2222	1.7544376850128174	0.38053498	Yes	
row_9	PSMD3	2256	1.7417101860046387	0.41210014	Yes	
row_10	PSME2	3359	1.333020567893982	0.38098994	No	
row_11	PSME4	3364	1.332221508026123	0.40622422	No	
row_12	POMP	5254	0.8651670217514038	0.3257838	No	
row_13	PSMB9	5621	0.7907787561416626	0.32209763	No	
row_14	PSMD13	5635	0.7882087230682373	0.33648166	No	
row_15	PSMB2	6375	0.6531767249107361	0.31102204	No	
row_16	PSMD8	6546	0.6248569488525391	0.31422806	No	
row_17	PSMA5	6569	0.6215916275978088	0.3249685	No	
row_18	PSMC5	7050	0.5420140624046326	0.31068045	No	
row_19	PSMA1	7130	0.5271178483963013	0.31669104	No	
row_20	PSMC4	7795	0.42027178406715393	0.29063365	No	
row_21	PSMA3	8391	0.33612868189811707	0.26651123	No	
row_22	PSMD6	8901	0.263373464345932	0.24541382	No	
row_23	PSMF1	9556	0.1669398993253708	0.21503219	No	
row_24	PSME1	10530	0.030268266797065735	0.16566664	No	
row_25	PSMA4	10650	0.011800392530858517	0.15978378	No	
row_26	PSMA2	10861	-0.016424406319856644	0.14931823	No	
row_27	PSMD14	11293	-0.07744183391332626	0.12867405	No	
row_28	PSMA6	12519	-0.2655251622200012	0.070865855	No	
row_29	PSME3	12800	-0.31036487221717834	0.06242022	No	
row_30	PSMB11	13196	-0.37650051712989807	0.0493346	No	
row_31	PSMB6	13871	-0.49330443143844604	0.024158511	No	
row_32	PSMB4	14218	-0.5579283833503723	0.01705251	No	
row_33	PSMB8	14588	-0.6275553703308105	0.010095502	No	
row_34	PSMC2	15678	-0.8847817182540894	-0.028906804	No	
row_35	PSMB1	15700	-0.8904364705085754	-0.012981293	No	
row_36	PSMB10	16773	-1.2393007278442383	-0.04434124	No	
row_37	PSMB7	17045	-1.3418850898742676	-0.032627404	No	
row_38	PSMA7	17070	-1.3491991758346558	-0.008095527	No	
row_39	PSMB3	17246	-1.431158423423767	0.010250665	No	
row_40	PSMD4	17397	-1.5012364387512207	0.031218275	No	
row_41	PSMD2	18051	-1.8897008895874023	0.033785146	No	
row_42	IFNG	18396	-2.1875076293945312	0.057899613	No	
