NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A4	536	3.240309953689575	0.06253986	No	
row_1	SLC4A4	1161	2.4020228385925293	0.09727757	No	
row_2	CA4	1515	2.1369078159332275	0.1385457	No	
row_3	ATP1B2	2037	1.841252088546753	0.16298525	No	
row_4	ATP1B4	2300	1.7253907918930054	0.19748656	No	
row_5	AQP1	3927	1.1678794622421265	0.14655723	No	
row_6	ATP1B1	3999	1.1460260152816772	0.17475614	No	
row_7	GLS	4914	0.9337161183357239	0.15383022	No	
row_8	ATP1B3	6721	0.5967440605163574	0.077803425	No	
row_9	GLS2	6931	0.5606021881103516	0.08266156	No	
row_10	CA2	11067	-0.045800983905792236	-0.12809551	No	
row_11	ATP1A1	11452	-0.09917350113391876	-0.1450305	No	
row_12	MDH1	11481	-0.10297645628452301	-0.14360529	No	
row_13	PCK2	11704	-0.13617542386054993	-0.15120544	No	
row_14	GLUD1	12237	-0.21676157414913177	-0.17246248	No	
row_15	SLC38A3	13203	-0.37715065479278564	-0.21146636	No	
row_16	ATP1A3	13454	-0.41834068298339844	-0.21266297	No	
row_17	SLC25A10	14213	-0.557449221611023	-0.2360434	No	
row_18	GLUD2	15079	-0.7364214062690735	-0.25993812	No	
row_19	PCK1	16767	-1.237433671951294	-0.31206295	Yes	
row_20	ATP1A2	17617	-1.61418879032135	-0.3107506	Yes	
row_21	SLC9A3	19502	-7.187826156616211	-0.20765962	Yes	
row_22	FXYD2	19508	-7.513206481933594	8.203579E-4	Yes	
