NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHAL6A	1040	2.543426036834717	0.005384187	No	
row_1	ACOT12	1369	2.2341384887695312	0.040164102	No	
row_2	ME1	1772	1.986398458480835	0.0654229	No	
row_3	ALDH9A1	2180	1.7764325141906738	0.085574426	No	
row_4	MDH2	3269	1.3605412244796753	0.061168008	No	
row_5	ME3	5388	0.8378697037696838	-0.028174415	No	
row_6	GRHPR	5716	0.7740724086761475	-0.027073829	No	
row_7	ACAT2	6084	0.707496702671051	-0.029564144	No	
row_8	DLD	6162	0.6910101175308228	-0.017552089	No	
row_9	LDHB	6256	0.6753268241882324	-0.0067234985	No	
row_10	PDHA1	7895	0.40648260712623596	-0.08139755	No	
row_11	ALDH2	7923	0.40283650159835815	-0.07347684	No	
row_12	ACYP2	8032	0.38683778047561646	-0.07008279	No	
row_13	ALDH1B1	8244	0.35949787497520447	-0.07260647	No	
row_14	ACSS1	9054	0.24106107652187347	-0.10855656	No	
row_15	ACAT1	9078	0.23844294250011444	-0.104228415	No	
row_16	ACSS2	9988	0.10504167526960373	-0.148453	No	
row_17	LDHAL6B	10275	0.06463827937841415	-0.16163768	No	
row_18	LDHA	10567	0.024162333458662033	-0.17601404	No	
row_19	DLAT	11221	-0.06588323414325714	-0.20800495	No	
row_20	MDH1	11481	-0.10297645628452301	-0.21891825	No	
row_21	ME2	11564	-0.11545992642641068	-0.22045925	No	
row_22	HAGH	11618	-0.1242382600903511	-0.22030912	No	
row_23	PCK2	11704	-0.13617542386054993	-0.2215255	No	
row_24	ALDH7A1	12037	-0.18969810009002686	-0.23418182	No	
row_25	ACACB	12575	-0.2767256498336792	-0.25534853	No	
row_26	GLO1	12660	-0.2909948229789734	-0.25293693	No	
row_27	AKR1B1	12854	-0.3180910348892212	-0.2554934	No	
row_28	ALDH3A2	15057	-0.7300806045532227	-0.351637	No	
row_29	PKM	15624	-0.8709912300109863	-0.36056322	No	
row_30	LDHC	16662	-1.199683427810669	-0.3860684	Yes	
row_31	PCK1	16767	-1.237433671951294	-0.36281848	Yes	
row_32	PDHA2	18010	-1.863168478012085	-0.38351664	Yes	
row_33	HAGHL	18108	-1.9280421733856201	-0.34395292	Yes	
row_34	LDHD	18432	-2.224271535873413	-0.30914435	Yes	
row_35	PDHB	18510	-2.296525239944458	-0.26004148	Yes	
row_36	ACYP1	18971	-2.902219772338867	-0.2166019	Yes	
row_37	PC	19042	-3.0267677307128906	-0.1502696	Yes	
row_38	ACACA	19062	-3.0632784366607666	-0.080476426	Yes	
row_39	PKLR	19391	-4.507623672485352	0.006825853	Yes	
