NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RDH5	115	4.96088171005249	0.058335595	No	
row_1	CYP2C19	202	4.380552768707275	0.110645555	No	
row_2	RPE65	358	3.7188668251037598	0.15084293	No	
row_3	UGT2B7	585	3.1394686698913574	0.17989063	No	
row_4	DGAT2	1190	2.3796393871307373	0.17968425	No	
row_5	ADH5	1966	1.8876910209655762	0.16432452	No	
row_6	UGT2A3	2374	1.6968531608581543	0.16539438	No	
row_7	ADH7	2390	1.69041907787323	0.18651445	No	
row_8	RDH8	2948	1.4634220600128174	0.17685726	No	
row_9	DHRS4	3597	1.2609341144561768	0.15990405	No	
row_10	RETSAT	4236	1.0883890390396118	0.14123005	No	
row_11	CYP2C8	5295	0.8577120304107666	0.09799718	No	
row_12	CYP3A43	6556	0.6239063143730164	0.04136166	No	
row_13	ADH1A	6588	0.6193206906318665	0.047789507	No	
row_14	AWAT2	6876	0.5704044699668884	0.040435467	No	
row_15	DHRS9	7115	0.5306455492973328	0.035083253	No	
row_16	DHRS4L2	7813	0.41753754019737244	0.0046915906	No	
row_17	CYP2A13	7851	0.41254279017448425	0.008133552	No	
row_18	ALDH1A2	8189	0.36604124307632446	-0.00443499	No	
row_19	RDH12	9090	0.23702922463417053	-0.047590487	No	
row_20	RDH10	9250	0.21431417763233185	-0.05298158	No	
row_21	ADH1B	9630	0.1572376787662506	-0.07041124	No	
row_22	CYP4A11	10695	0.0055379741825163364	-0.12498771	No	
row_23	CYP2C18	11454	-0.09922575950622559	-0.16263445	No	
row_24	BCO1	11732	-0.1399962306022644	-0.17504855	No	
row_25	CYP4A22	12130	-0.20289023220539093	-0.19281152	No	
row_26	UGT2B4	12148	-0.20449426770210266	-0.19103651	No	
row_27	CYP3A4	12565	-0.2743324637413025	-0.20885018	No	
row_28	RDH16	12992	-0.34394362568855286	-0.22627601	No	
row_29	RDH11	13284	-0.3888111710548401	-0.23618709	No	
row_30	ADH4	13410	-0.4113443195819855	-0.23728041	No	
row_31	CYP2B6	13718	-0.46198466420173645	-0.24706568	No	
row_32	PNPLA4	13770	-0.47361236810684204	-0.24355194	No	
row_33	LRAT	14071	-0.5305336713790894	-0.25208998	No	
row_34	CYP1A2	14324	-0.575558602809906	-0.25757965	No	
row_35	ALDH1A1	14387	-0.5861281752586365	-0.25317383	No	
row_36	UGT2B15	15146	-0.7521010041236877	-0.282366	No	
row_37	DHRS3	15511	-0.8389123678207397	-0.29019773	No	
row_38	CYP3A7	15783	-0.9135861992835999	-0.2922859	No	
row_39	ADH1C	15805	-0.9196251034736633	-0.28145558	No	
row_40	CYP2C9	17221	-1.417944312095642	-0.33576947	Yes	
row_41	UGT2B11	17317	-1.4618825912475586	-0.32171777	Yes	
row_42	CYP1A1	17356	-1.48072350025177	-0.30449453	Yes	
row_43	CYP2A7	17482	-1.5399259328842163	-0.290973	Yes	
row_44	CYP2A6	17752	-1.7054914236068726	-0.28270346	Yes	
row_45	UGT2B28	17871	-1.7768206596374512	-0.26575473	Yes	
row_46	CYP26A1	17955	-1.823352575302124	-0.24640575	Yes	
row_47	CYP3A5	18055	-1.8912149667739868	-0.22699976	Yes	
row_48	UGT2B10	18430	-2.2235724925994873	-0.21741411	Yes	
row_49	CYP26C1	18438	-2.2282183170318604	-0.1889188	Yes	
row_50	DGAT1	18604	-2.409658193588257	-0.16618894	Yes	
row_51	UGT2B17	19130	-3.2011423110961914	-0.15169954	Yes	
row_52	CYP26B1	19325	-3.9908177852630615	-0.10998355	Yes	
row_53	ADH6	19385	-4.449251651763916	-0.055397213	Yes	
row_54	UGT1A1	19415	-4.825211524963379	0.00559854	Yes	
