NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPF8	943	2.641411304473877	-0.02550687	No	
row_1	SNW1	972	2.612215995788574	-0.0041017258	No	
row_2	CDC5L	1207	2.3627798557281494	0.004502547	No	
row_3	TCERG1	1264	2.3150947093963623	0.02186546	No	
row_4	THOC1	1448	2.1767756938934326	0.031471796	No	
row_5	PRPF40B	1663	2.048293352127075	0.0383563	No	
row_6	LSM7	2025	1.8509851694107056	0.03593728	No	
row_7	PRPF3	2264	1.7397456169128418	0.038885806	No	
row_8	PRPF19	3048	1.4294102191925049	0.011025656	No	
row_9	HNRNPK	3338	1.3383594751358032	0.007834337	No	
row_10	PCBP1	3465	1.304446816444397	0.012748885	No	
row_11	U2SURP	3540	1.2780019044876099	0.020112677	No	
row_12	PPIL1	3571	1.2684364318847656	0.029660959	No	
row_13	PUF60	3906	1.171350121498108	0.022689136	No	
row_14	SF3B4	3984	1.1517858505249023	0.028794292	No	
row_15	PRPF38B	4043	1.1359654664993286	0.035740506	No	
row_16	SF3B3	4072	1.1280094385147095	0.0441636	No	
row_17	DDX5	4239	1.0873600244522095	0.04511737	No	
row_18	SRSF4	4650	0.98899245262146	0.032632776	No	
row_19	TXNL4A	4771	0.9620100259780884	0.034861393	No	
row_20	HNRNPA3	5072	0.9043622612953186	0.02730695	No	
row_21	DHX15	5307	0.8560165166854858	0.022731872	No	
row_22	ACIN1	5513	0.8111891150474548	0.019259622	No	
row_23	PQBP1	5566	0.8023567199707031	0.023597121	No	
row_24	SRSF6	5786	0.7631734609603882	0.018983202	No	
row_25	SYF2	6368	0.6546579003334045	-0.0052406383	No	
row_26	SNRNP40	6373	0.653470516204834	2.6893817E-4	No	
row_27	PHF5A	6664	0.6070535182952881	-0.009370513	No	
row_28	HNRNPM	6783	0.587064266204834	-0.010318371	No	
row_29	CDC40	6785	0.5868936777114868	-0.005236481	No	
row_30	SRSF8	6951	0.5565932393074036	-0.008873668	No	
row_31	NCBP2	7920	0.4031831920146942	-0.055246588	No	
row_32	SF3B5	8251	0.3587260842323303	-0.06912007	No	
row_33	RBM25	8313	0.3491332530975342	-0.06921077	No	
row_34	LSM2	8319	0.3483266830444336	-0.06642177	No	
row_35	TRA2B	8339	0.3430866599082947	-0.06440029	No	
row_36	SF3B1	8434	0.32976093888282776	-0.066361554	No	
row_37	SNRNP70	8440	0.3294800817966461	-0.0637374	No	
row_38	SLU7	8717	0.29134228825569153	-0.075416625	No	
row_39	HSPA1L	8923	0.26091399788856506	-0.08370202	No	
row_40	LSM4	8944	0.2581745684146881	-0.082474805	No	
row_41	MAGOH	8949	0.25720882415771484	-0.080431245	No	
row_42	PLRG1	9242	0.21524253487586975	-0.093600884	No	
row_43	EFTUD2	9408	0.19133897125720978	-0.10043288	No	
row_44	SNRNP200	9796	0.13153643906116486	-0.119231835	No	
row_45	SNRPG	10023	0.1005861908197403	-0.13000211	No	
row_46	SF3B6	10074	0.09359066933393478	-0.13176095	No	
row_47	SF3A1	10085	0.09201572835445404	-0.1314716	No	
row_48	SRSF10	10137	0.08554421365261078	-0.13335235	No	
row_49	EIF4A3	10170	0.08105192333459854	-0.13429299	No	
row_50	THOC2	10202	0.07629245519638062	-0.13522369	No	
row_51	PPIH	10235	0.07012733817100525	-0.13625987	No	
row_52	SRSF1	10292	0.06334401667118073	-0.13859256	No	
row_53	SRSF7	10507	0.032651226967573166	-0.14933847	No	
row_54	HNRNPA1L2	10553	0.02622045762836933	-0.15142883	No	
row_55	DHX16	10739	-9.95138892903924E-4	-0.1609567	No	
row_56	HSPA8	10913	-0.02351837046444416	-0.16966897	No	
row_57	USP39	10936	-0.02682647295296192	-0.1705684	No	
row_58	CRNKL1	11024	-0.03956945985555649	-0.17470707	No	
row_59	SNRPB2	11168	-0.058346353471279144	-0.18156824	No	
row_60	SNRPD3	11276	-0.07519876956939697	-0.18642624	No	
row_61	CHERP	11336	-0.08270633220672607	-0.18874422	No	
row_62	PRPF4	11465	-0.10048672556877136	-0.19446357	No	
row_63	SNRPA	11468	-0.1013755053281784	-0.19367994	No	
