NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGL	68	5.595778465270996	0.07838597	Yes	
row_1	PGM2L1	422	3.490718364715576	0.111342214	Yes	
row_2	AMY1A	433	3.4575343132019043	0.16141891	Yes	
row_3	HK3	523	3.2701053619384766	0.20469816	Yes	
row_4	UGT2B7	585	3.1394686698913574	0.24750318	Yes	
row_5	PGM1	782	2.838517904281616	0.27897528	Yes	
row_6	PYGL	1381	2.225799560546875	0.28084776	Yes	
row_7	AMY1B	1415	2.1932213306427	0.31124467	Yes	
row_8	AMY1C	1736	2.009247064590454	0.32421818	Yes	
row_9	UGP2	2156	1.7871886491775513	0.32886097	Yes	
row_10	UGT2A3	2374	1.6968531608581543	0.34255052	Yes	
row_11	TREH	2531	1.6241337060928345	0.35830712	Yes	
row_12	HK2	2915	1.4748111963272095	0.3602271	Yes	
row_13	GBA3	2982	1.4533816576004028	0.37810498	Yes	
row_14	GYS2	4709	0.97673499584198	0.30380177	No	
row_15	GYS1	5768	0.7661826610565186	0.2607059	No	
row_16	MGAM	7216	0.5135099291801453	0.19394578	No	
row_17	ENPP1	8211	0.3634568452835083	0.14824235	No	
row_18	PYGB	9194	0.22220955789089203	0.10108817	No	
row_19	GBE1	9487	0.17773450911045074	0.088700555	No	
row_20	AMY2A	9770	0.136787548661232	0.076227106	No	
row_21	UGDH	10147	0.08373363316059113	0.058152415	No	
row_22	GCK	11572	-0.11666875332593918	-0.013233621	No	
row_23	UGT2B4	12148	-0.20449426770210266	-0.03975592	No	
row_24	G6PC	12447	-0.2519398033618927	-0.05136576	No	
row_25	GANC	13066	-0.3550174832344055	-0.077892795	No	
row_26	AMY2B	13104	-0.36263424158096313	-0.074485995	No	
row_27	PGM2	13721	-0.4627901315689087	-0.099333465	No	
row_28	ENPP3	15143	-0.7507492303848267	-0.16128777	No	
row_29	UGT2B15	15146	-0.7521010041236877	-0.15038583	No	
row_30	GPI	15480	-0.8298055529594421	-0.15533696	No	
row_31	G6PC2	15555	-0.8489906191825867	-0.14671308	No	
row_32	GAA	15564	-0.8509941101074219	-0.13467212	No	
row_33	HK1	16678	-1.2059539556503296	-0.1741565	No	
row_34	UGT2B11	17317	-1.4618825912475586	-0.18551469	No	
row_35	PYGM	17680	-1.6584333181381226	-0.17983006	No	
row_36	GUSB	17694	-1.6658637523651123	-0.15612273	No	
row_37	UXS1	17707	-1.6766836643218994	-0.13220577	No	
row_38	UGT2B28	17871	-1.7768206596374512	-0.11457436	No	
row_39	UGT2B10	18430	-2.2235724925994873	-0.11068129	No	
row_40	UGT2B17	19130	-3.2011423110961914	-0.09972205	No	
row_41	SI	19188	-3.3653829097747803	-0.053406183	No	
row_42	UGT1A1	19415	-4.825211524963379	0.0055949497	No	
