NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT2B7	585	3.1394686698913574	0.024693614	No	
row_1	COMT	1528	2.1285276412963867	0.013437479	No	
row_2	HSD17B1	1765	1.9888359308242798	0.035990454	No	
row_3	HSD11B1	1903	1.9213281869888306	0.06244906	No	
row_4	HSD17B8	1915	1.9140695333480835	0.09524964	No	
row_5	UGT2A3	2374	1.6968531608581543	0.101316	No	
row_6	SRD5A1	3029	1.437854290008545	0.092805475	No	
row_7	HSD17B3	5556	0.8040100336074829	-0.02285746	No	
row_8	CYP1B1	6002	0.723781168460846	-0.033085912	No	
row_9	CYP3A43	6556	0.6239063143730164	-0.050599776	No	
row_10	CYP11B2	8326	0.34622082114219666	-0.13538034	No	
row_11	CYP7B1	8393	0.3358403742313385	-0.13291438	No	
row_12	CYP11A1	8906	0.26258260011672974	-0.15462185	No	
row_13	CYP21A2	10014	0.10143353044986725	-0.20968415	No	
row_14	AKR1C2	10265	0.06593205034732819	-0.22136918	No	
row_15	AKR1C1	10346	0.05549328029155731	-0.22450882	No	
row_16	CYP7A1	10961	-0.031211577355861664	-0.2554859	No	
row_17	AKR1D1	11986	-0.18269093334674835	-0.30487072	No	
row_18	UGT2B4	12148	-0.20449426770210266	-0.3095714	No	
row_19	CYP3A4	12565	-0.2743324637413025	-0.32614565	No	
row_20	HSD11B2	12868	-0.3202901780605316	-0.33606637	No	
row_21	SULT1E1	12876	-0.321621298789978	-0.33081934	No	
row_22	AKR1C3	14132	-0.5408433675765991	-0.38581994	No	
row_23	STS	14155	-0.5447771549224854	-0.37745303	No	
row_24	SRD5A2	14274	-0.5668688416481018	-0.3736294	No	
row_25	HSD17B2	14489	-0.6072002053260803	-0.37403113	No	
row_26	UGT2B15	15146	-0.7521010041236877	-0.3945981	No	
row_27	CYP17A1	15467	-0.8265034556388855	-0.39661878	No	
row_28	HSD3B2	15738	-0.9031326174736023	-0.3947368	No	
row_29	CYP3A7	15783	-0.9135861992835999	-0.38107038	No	
row_30	CYP19A1	15889	-0.942816972732544	-0.370026	No	
row_31	SULT2B1	16860	-1.2695763111114502	-0.39769247	Yes	
row_32	UGT2B11	17317	-1.4618825912475586	-0.39561936	Yes	
row_33	CYP1A1	17356	-1.48072350025177	-0.3717588	Yes	
row_34	CYP11B1	17401	-1.5034468173980713	-0.34781015	Yes	
row_35	HSD3B1	17722	-1.6834220886230469	-0.33489338	Yes	
row_36	HSD17B7	17847	-1.7636713981628418	-0.31051558	Yes	
row_37	UGT2B28	17871	-1.7768206596374512	-0.2807235	Yes	
row_38	CYP3A5	18055	-1.8912149667739868	-0.25715137	Yes	
row_39	HSD17B12	18162	-1.9780151844024658	-0.22811314	Yes	
row_40	HSD17B6	18173	-1.9826443195343018	-0.19406587	Yes	
row_41	UGT2B10	18430	-2.2235724925994873	-0.1684478	Yes	
row_42	SRD5A3	18535	-2.3214528560638428	-0.13332026	Yes	
row_43	AKR1C4	18704	-2.525681972503662	-0.09791826	Yes	
row_44	UGT2B17	19130	-3.2011423110961914	-0.06393559	Yes	
row_45	UGT1A1	19415	-4.825211524963379	0.0055957465	Yes	
