NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QC	256	4.113948822021484	0.05370129	No	
row_1	CD86	1624	2.0713441371917725	0.017188244	No	
row_2	C4B	1707	2.0220766067504883	0.045833036	No	
row_3	C4A	1708	2.0220766067504883	0.07868685	No	
row_4	C1R	1838	1.9522892236709595	0.103785284	No	
row_5	C1QB	1948	1.8986289501190186	0.12903847	No	
row_6	C1QA	2076	1.8217997550964355	0.15211943	No	
row_7	FCGR2A	2146	1.7931733131408691	0.17771238	No	
row_8	FCGR3B	3153	1.392421007156372	0.14869842	No	
row_9	CD40	3343	1.3366235494613647	0.16071402	No	
row_10	C7	3423	1.3145774602890015	0.17801768	No	
row_11	GRIN2B	3932	1.166976809501648	0.17090285	No	
row_12	ELANE	5410	0.8319151997566223	0.10860586	No	
row_13	ACTN4	5480	0.8171709179878235	0.11834116	No	
row_14	C1S	5694	0.7787952423095703	0.12006152	No	
row_15	FCGR2B	6810	0.5838547945022583	0.07231541	No	
row_16	CD28	7208	0.5146246552467346	0.060299024	No	
row_17	C6	7346	0.49258583784103394	0.061270207	No	
row_18	TNF	7582	0.45425549149513245	0.056588333	No	
row_19	FCGR1A	7660	0.44250115752220154	0.059825532	No	
row_20	FCGR2C	7946	0.39927592873573303	0.051683903	No	
row_21	C8G	7952	0.3983154892921448	0.05789891	No	
row_22	IL10	8097	0.377742201089859	0.05664486	No	
row_23	C3	8885	0.26618900895118713	0.02057352	No	
row_24	SSB	10676	0.008877288550138474	-0.07116193	No	
row_25	SNRPD3	11276	-0.07519876956939697	-0.10068647	No	
row_26	ACTN1	11715	-0.1380346268415451	-0.12092603	No	
row_27	C8B	12081	-0.1956409513950348	-0.13648258	No	
row_28	ACTN2	12490	-0.2593380808830261	-0.15321139	No	
row_29	FCGR3A	13262	-0.38628464937210083	-0.18651019	No	
row_30	SNRPB	13560	-0.43534374237060547	-0.19468176	No	
row_31	C9	16166	-1.0277323722839355	-0.3116968	No	
row_32	ACTN3	16806	-1.2505409717559814	-0.32417807	No	
row_33	CD80	17443	-1.5207655429840088	-0.33211485	Yes	
row_34	CD40LG	17491	-1.5459004640579224	-0.3094102	Yes	
row_35	TRIM21	17751	-1.704214334487915	-0.29501522	Yes	
row_36	SNRPD1	18197	-2.0021705627441406	-0.28532645	Yes	
row_37	IFNG	18396	-2.1875076293945312	-0.25994802	Yes	
row_38	C8A	19071	-3.0786380767822266	-0.24452369	Yes	
row_39	CTSG	19146	-3.2549397945404053	-0.19543724	Yes	
row_40	C2	19202	-3.4242734909057617	-0.14262427	Yes	
row_41	C5	19338	-4.076505184173584	-0.08332048	Yes	
row_42	GRIN2A	19467	-5.712632179260254	0.0029256819	Yes	
