NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY	Details ...	99	-0.36872947	-1.5243951	0.005952381	1.0	0.746	1969	tags=21%, list=10%, signal=23%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	Details ...	50	-0.41360998	-1.5104322	0.020565553	0.7851438	0.786	2622	tags=26%, list=13%, signal=30%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	46	-0.4211023	-1.496897	0.025252525	0.58653486	0.813	2209	tags=30%, list=11%, signal=34%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	73	-0.38579857	-1.4778029	0.022408964	0.5061015	0.86	1980	tags=19%, list=10%, signal=21%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	Details ...	40	-0.4265598	-1.4765568	0.023622047	0.40969947	0.863	1516	tags=20%, list=8%, signal=22%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Details ...	23	-0.4672708	-1.38667	0.084367245	0.6262995	0.976	586	tags=17%, list=3%, signal=18%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	264	-0.2850062	-1.3459429	0.0037037036	0.70594996	0.99	2266	tags=17%, list=12%, signal=19%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	31	-0.4058621	-1.3315082	0.07857143	0.6752226	0.994	2899	tags=35%, list=15%, signal=42%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Details ...	82	-0.3329843	-1.3292843	0.04644809	0.61042887	0.995	3153	tags=26%, list=16%, signal=30%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	Details ...	55	-0.3541315	-1.3084217	0.08839779	0.62609726	0.997	2305	tags=27%, list=12%, signal=31%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	89	-0.3246134	-1.3016665	0.0718232	0.59204745	0.998	2054	tags=21%, list=11%, signal=24%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	15	-0.4767899	-1.2972497	0.14883721	0.55690396	0.998	4282	tags=40%, list=22%, signal=51%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION	Details ...	42	-0.37485054	-1.2950107	0.1152815	0.5192238	0.998	4801	tags=45%, list=25%, signal=60%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	60	-0.33852226	-1.2934257	0.09322034	0.4883118	0.998	2305	tags=25%, list=12%, signal=28%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Details ...	16	-0.46572623	-1.290607	0.1369863	0.4617308	0.998	2209	tags=31%, list=11%, signal=35%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	73	-0.33059752	-1.2767849	0.09399478	0.47260258	0.999	2054	tags=21%, list=11%, signal=23%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	62	-0.33262804	-1.2686838	0.094017096	0.4672871	0.999	2467	tags=26%, list=13%, signal=29%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	126	-0.29482305	-1.2682664	0.059375	0.44208512	0.999	4257	tags=28%, list=22%, signal=35%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	Details ...	23	-0.40735608	-1.2603207	0.1452381	0.43896544	0.999	24	tags=9%, list=0%, signal=9%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	43	-0.3568236	-1.2508291	0.13720317	0.43982893	0.999	2083	tags=23%, list=11%, signal=26%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		54	-0.3398316	-1.2438127	0.10106383	0.4366139	1.0	4587	tags=35%, list=23%, signal=46%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		74	-0.31794366	-1.2429175	0.10393258	0.41820848	1.0	1263	tags=14%, list=6%, signal=14%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		210	-0.27141052	-1.2307212	0.048507463	0.4290642	1.0	2054	tags=14%, list=11%, signal=16%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		87	-0.30093402	-1.2238778	0.115068495	0.4282781	1.0	4295	tags=34%, list=22%, signal=44%	
