NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	121	0.3987341	1.5805466	0.0015082957	1.0	0.698	4632	tags=34%, list=24%, signal=44%	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	Details ...	22	0.49856326	1.3972094	0.085910656	1.0	0.994	2055	tags=23%, list=11%, signal=25%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	Details ...	43	0.41596335	1.3589354	0.07296849	1.0	1.0	1287	tags=19%, list=7%, signal=20%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	Details ...	26	0.46415594	1.3539759	0.09899329	1.0	1.0	901	tags=19%, list=5%, signal=20%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	43	0.41210014	1.3426746	0.06309148	1.0	1.0	2256	tags=23%, list=12%, signal=26%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	Details ...	22	0.46766394	1.3424945	0.10787671	1.0	1.0	6144	tags=45%, list=31%, signal=66%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	78	0.36671194	1.3388842	0.054263566	1.0	1.0	5025	tags=36%, list=26%, signal=48%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	81	0.3605801	1.3347343	0.057142857	1.0	1.0	1672	tags=17%, list=9%, signal=19%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	83	0.35205942	1.3051342	0.0799373	1.0	1.0	3409	tags=30%, list=17%, signal=36%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	259	0.3039216	1.2996554	0.03208556	1.0	1.0	4277	tags=30%, list=22%, signal=38%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Details ...	38	0.40639436	1.2850249	0.11940298	1.0	1.0	3708	tags=32%, list=19%, signal=39%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	Details ...	24	0.43693972	1.2795346	0.15166667	0.97027886	1.0	3633	tags=42%, list=19%, signal=51%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	Details ...	69	0.35187638	1.2709117	0.10381679	0.9472685	1.0	3633	tags=28%, list=19%, signal=34%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	Details ...	88	0.3361568	1.2570007	0.11196319	0.96151954	1.0	3633	tags=26%, list=19%, signal=32%	
