NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCR1	19	7.016637325286865	0.032644518	Yes	
row_1	IL16	120	4.903791427612305	0.050975334	Yes	
row_2	LCP2	157	4.592004299163818	0.071120955	Yes	
row_3	IGSF6	167	4.552480697631836	0.092473164	Yes	
row_4	CAPG	298	3.946788787841797	0.10466648	Yes	
row_5	CD79A	367	3.6947832107543945	0.1188577	Yes	
row_6	KRT1	586	3.138930082321167	0.12262947	Yes	
row_7	IL15	631	3.0536515712738037	0.134989	Yes	
row_8	TPD52	787	2.8321011066436768	0.14054763	Yes	
row_9	CXCR3	818	2.788917303085327	0.15236227	Yes	
row_10	SRGN	944	2.6385903358459473	0.15854463	Yes	
row_11	HCLS1	1090	2.4808597564697266	0.162937	Yes	
row_12	FLNA	1237	2.3427181243896484	0.16661564	Yes	
row_13	ELF4	1274	2.3055124282836914	0.17580335	Yes	
row_14	CD1D	1323	2.2701222896575928	0.18420103	Yes	
row_15	CCND2	1340	2.252671957015991	0.1941696	Yes	
row_16	CXCL13	1405	2.2005667686462402	0.20140666	Yes	
row_17	IRF7	1410	2.1955056190490723	0.2117217	Yes	
row_18	CCR1	1474	2.1567509174346924	0.2188005	Yes	
row_19	SPI1	1499	2.1443495750427246	0.2278363	Yes	
row_20	RPS9	1620	2.073366403579712	0.23156837	Yes	
row_21	CD86	1624	2.0713441371917725	0.24134007	Yes	
row_22	ST8SIA4	1692	2.0320260524749756	0.24761431	Yes	
row_23	DYRK3	1865	1.93694007396698	0.24800397	Yes	
row_24	IL12B	1974	1.8822283744812012	0.25144047	Yes	
row_25	ZAP70	2145	1.7931734323501587	0.25124454	Yes	
row_26	CCR5	2165	1.7835569381713867	0.25880978	Yes	
row_27	TLR1	2202	1.7653636932373047	0.26540887	Yes	
row_28	NME1	2221	1.7544548511505127	0.27288634	Yes	
row_29	WAS	2370	1.6984686851501465	0.27337405	Yes	
row_30	IL18	2418	1.6743141412734985	0.27896804	Yes	
row_31	SOCS1	2462	1.6550301313400269	0.28467643	Yes	
