NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAG2	285	4.003252029418945	0.07208742	Yes	
row_1	LUM	803	2.808889865875244	0.106400624	Yes	
row_2	CCND2	1340	2.252671957015991	0.12769115	Yes	
row_3	FSTL1	1526	2.128554582595825	0.16430344	Yes	
row_4	SERPINA5	2028	1.8500701189041138	0.17866942	Yes	
row_5	COL3A1	2103	1.8088010549545288	0.21405132	Yes	
row_6	OLR1	2177	1.7780247926712036	0.2488179	Yes	
row_7	COL5A2	2439	1.6640993356704712	0.2714704	Yes	
row_8	TIMP1	2638	1.5819488763809204	0.29557607	Yes	
row_9	ITGAV	2660	1.5745128393173218	0.32860273	Yes	
row_10	VTN	2703	1.5574487447738647	0.36018223	Yes	
row_11	PRG2	2895	1.4801442623138428	0.382442	Yes	
row_12	MSX1	2931	1.4707163572311401	0.41250205	Yes	
row_13	LPL	3274	1.3585466146469116	0.42438	Yes	
row_14	SPP1	3409	1.3197776079177856	0.44609094	Yes	
row_15	TNFRSF21	3768	1.2116572856903076	0.45396626	Yes	
row_16	PGLYRP1	4907	0.935658872127533	0.41584086	No	
row_17	LRPAP1	5316	0.8537741899490356	0.41339886	No	
row_18	FGFR1	6269	0.6742404699325562	0.37915495	No	
row_19	S100A4	6347	0.6597177982330322	0.38949358	No	
row_20	PTK2	6770	0.5892876386642456	0.38060442	No	
row_21	SLCO2A1	6828	0.579584002494812	0.39023358	No	
row_22	VCAN	6941	0.558562159538269	0.3965853	No	
row_23	THBD	9730	0.14322514832019806	0.2566325	No	
row_24	APOH	9884	0.11887226998806	0.25135672	No	
row_25	POSTN	11357	-0.08606988936662674	0.1776912	No	
row_26	NRP1	12010	-0.18622153997421265	0.14827003	No	
row_27	APP	12060	-0.19195035099983215	0.14991346	No	
row_28	VEGFA	12445	-0.25165462493896484	0.13566092	No	
row_29	VAV2	12770	-0.3060915172100067	0.12566614	No	
row_30	JAG1	14714	-0.6565540432929993	0.040189944	No	
row_31	CXCL6	15108	-0.7432637810707092	0.03612393	No	
row_32	STC1	15723	-0.8989825248718262	0.02409108	No	
row_33	PF4	17008	-1.3278275728225708	-0.01303129	No	
row_34	KCNJ8	17333	-1.4687089920043945	0.0021564108	No	
row_35	PDGFA	19440	-5.088364124298096	0.004310202	No	
