NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCLM	179	4.490081787109375	0.028937701	Yes	
row_1	LIPE	250	4.135900497436523	0.060480237	Yes	
row_2	FADS1	351	3.740330934524536	0.08711573	Yes	
row_3	PFKM	375	3.6618974208831787	0.11705107	Yes	
row_4	CYP27A1	474	3.381990432739258	0.14074428	Yes	
row_5	EPHX2	551	3.201185703277588	0.1640342	Yes	
row_6	ALDH8A1	691	2.966567277908325	0.182085	Yes	
row_7	OPTN	854	2.741638660430908	0.19703951	Yes	
row_8	AR	1201	2.3672726154327393	0.19933434	Yes	
row_9	PECR	1390	2.219048023223877	0.20850837	Yes	
row_10	NEDD4	1830	1.957001805305481	0.20252596	Yes	
row_11	IDH2	1861	1.938174843788147	0.21745192	Yes	
row_12	ABCD3	1896	1.9222798347473145	0.23203672	Yes	
row_13	CAT	2027	1.8503695726394653	0.2410653	Yes	
row_14	ALDH9A1	2180	1.7764325141906738	0.24833225	Yes	
row_15	KLF1	2212	1.761065125465393	0.26170155	Yes	
row_16	ABCD2	2263	1.7406002283096313	0.27391818	Yes	
row_17	ABCG4	2266	1.7394464015960693	0.2885976	Yes	
row_18	AQP9	2413	1.6767220497131348	0.29532626	Yes	
row_19	SLCO1A2	2935	1.4701955318450928	0.28098282	Yes	
row_20	LONP2	3034	1.4356887340545654	0.28813565	Yes	
row_21	PIPOX	3501	1.29188871383667	0.27511007	Yes	
row_22	RXRG	3520	1.2857974767684937	0.28511003	Yes	
row_23	PEX16	3609	1.2576653957366943	0.29126507	Yes	
row_24	HSD3B7	3775	1.2096078395843506	0.29304528	Yes	
row_25	NR1I2	3976	1.1530348062515259	0.2925418	Yes	
row_26	NR0B2	3991	1.1485234498977661	0.3015812	Yes	
row_27	RETSAT	4236	1.0883890390396118	0.29826182	Yes	
row_28	PEX1	4446	1.037912130355835	0.29631642	Yes	
row_29	ABCA9	4495	1.025428056716919	0.3025583	Yes	
row_30	BCAR3	4667	0.9865300059318542	0.30213365	Yes	
row_31	TTR	4935	0.9297873973846436	0.29628164	Yes	
row_32	CH25H	4997	0.9185633659362793	0.3009457	Yes	
row_33	SCP2	5025	0.9129843711853027	0.30731374	Yes	
row_34	SLC35B2	5945	0.7361361980438232	0.2662303	No	
row_35	ABCA1	6020	0.720625638961792	0.26854253	No	
row_36	IDI1	6094	0.7059465646743774	0.27078158	No	
row_37	HACL1	6505	0.6310290098190308	0.2550244	No	
row_38	PAOX	6593	0.6183382272720337	0.25579774	No	
row_39	SLC22A18	6613	0.6156429052352905	0.26005095	No	
row_40	GSTK1	6644	0.609793484210968	0.26368785	No	
row_41	ABCA4	6757	0.5920447707176208	0.2629499	No	
row_42	AMACR	6967	0.5537756085395813	0.25689012	No	
row_43	AGXT	7210	0.5143103003501892	0.24879505	No	
row_44	ABCA5	7410	0.4827592074871063	0.24264684	No	
row_45	TFCP2L1	7419	0.4815884530544281	0.24632746	No	
row_46	LCK	7630	0.4468262791633606	0.23930725	No	
row_47	NPC1	7661	0.4423127770423889	0.24152084	No	
row_48	CYP7B1	8393	0.3358403742313385	0.20671976	No	
row_49	DHCR24	8490	0.3227868676185608	0.20451777	No	
row_50	SOAT2	8535	0.3178481459617615	0.20495243	No	
row_51	PEX19	8618	0.3068898618221283	0.20333652	No	
row_52	SULT1B1	8879	0.266460120677948	0.1922079	No	
row_53	ABCA8	9104	0.23484951257705688	0.18266508	No	
row_54	NR3C2	9137	0.23005858063697815	0.18297182	No	
row_55	SLC23A2	9810	0.12894640862941742	0.14945167	No	
row_56	PEX7	9872	0.12005793303251266	0.14732975	No	
row_57	CROT	10018	0.10098600387573242	0.14071874	No	
row_58	ABCA2	10084	0.0920773446559906	0.13815297	No	
row_59	SOD1	10130	0.08677304536104202	0.13657238	No	
row_60	DIO1	10371	0.05051123723387718	0.12463878	No	
row_61	ABCA3	10475	0.03619905561208725	0.11964069	No	
row_62	GNPAT	10649	0.011889559216797352	0.11083018	No	
row_63	EFHC1	10813	-0.010839021764695644	0.10252586	No	
row_64	CYP7A1	10961	-0.031211577355861664	0.09521886	No	
row_65	PEX13	10987	-0.034744489938020706	0.09422634	No	
row_66	RBP1	11026	-0.039668869227170944	0.09260601	No	
row_67	PNPLA8	11449	-0.09869857132434845	0.07170677	No	
row_68	ATXN1	11617	-0.12391640990972519	0.064157374	No	
row_69	FADS2	11669	-0.13157139718532562	0.06264841	No	
row_70	PEX26	11729	-0.13961663842201233	0.06079572	No	
row_71	SLC27A2	11750	-0.14463171362876892	0.060994614	No	
row_72	CYP8B1	11956	-0.17690767347812653	0.051938105	No	
row_73	AKR1D1	11986	-0.18269093334674835	0.051996835	No	
row_74	GNMT	12206	-0.21273495256900787	0.042523634	No	
row_75	PRDX5	12335	-0.23221422731876373	0.03790355	No	
row_76	PEX11G	12512	-0.26366299390792847	0.031078165	No	
row_77	PEX6	12551	-0.2716328501701355	0.03142915	No	
row_78	BBOX1	12819	-0.31306028366088867	0.020335976	No	
row_79	ABCA6	13205	-0.37737715244293213	0.0037109912	No	
row_80	SLC29A1	13287	-0.3893073499202728	0.002847003	No	
row_81	BMP6	13428	-0.4145478904247284	-8.4168254E-4	No	
row_82	RXRA	13479	-0.422600120306015	1.7413133E-4	No	
row_83	APOA1	13543	-0.43316584825515747	6.1008224E-4	No	
row_84	ACSL5	13655	-0.45149505138397217	-0.0012707687	No	
row_85	HSD17B11	13707	-0.4609032869338989	1.90473E-5	No	
row_86	ACSL1	13716	-0.4618622064590454	0.003532023	No	
row_87	SLC23A1	13895	-0.49757081270217896	-0.001408555	No	
row_88	PEX11A	14014	-0.5188555121421814	-0.0030775357	No	
row_89	ABCG8	14056	-0.5281969308853149	-7.007154E-4	No	
row_90	ABCD1	14163	-0.5465016961097717	-0.0015166067	No	
row_91	PHYH	14211	-0.5572035908699036	7.976515E-4	No	
row_92	ALDH1A1	14387	-0.5861281752586365	-0.0032357988	No	
row_93	HAO1	14994	-0.7157031893730164	-0.028369691	No	
row_94	MLYCD	15053	-0.7291519045829773	-0.025160786	No	
row_95	IDH1	15362	-0.7986319065093994	-0.03423938	No	
row_96	NR1H4	15569	-0.8530636429786682	-0.037601188	No	
row_97	SLC27A5	15580	-0.8541872501373291	-0.030857116	No	
row_98	NUDT12	16435	-1.1146528720855713	-0.06537554	No	
row_99	PEX12	16525	-1.1471091508865356	-0.060211547	No	
row_100	SULT2B1	16860	-1.2695763111114502	-0.0666272	No	
row_101	HSD17B4	17073	-1.3510351181030273	-0.06606613	No	
row_102	CYP46A1	17360	-1.4829450845718384	-0.06819593	No	
row_103	GC	17530	-1.5672733783721924	-0.06358218	No	
row_104	SERPINA6	17654	-1.6442478895187378	-0.055944737	No	
row_105	HSD3B1	17722	-1.6834220886230469	-0.045089707	No	
row_106	HSD17B6	18173	-1.9826443195343018	-0.051420826	No	
row_107	DIO2	18475	-2.2642312049865723	-0.047683652	No	
row_108	CYP39A1	18754	-2.5707390308380127	-0.04015689	No	
row_109	PXMP2	18946	-2.8626132011413574	-0.02566814	No	
row_110	FDXR	19054	-3.040653944015503	-0.005339342	No	
row_111	ISOC1	19214	-3.4710679054260254	0.01596865	No	
