NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TM7SF2	214	4.311041355133057	0.04224725	No	
row_1	GLDC	286	3.9967007637023926	0.08796328	No	
row_2	AVPR1A	369	3.677985191345215	0.12917715	No	
row_3	ATXN2	2357	1.7031837701797485	0.048065484	No	
row_4	LGALS3	2383	1.6936535835266113	0.06769977	No	
row_5	LDLR	2384	1.6930700540542603	0.088612065	No	
row_6	LPL	3274	1.3585466146469116	0.05969018	No	
row_7	CLU	3420	1.31492280960083	0.06847747	No	
row_8	GPX8	3533	1.28043532371521	0.07853525	No	
row_9	PMVK	3726	1.2207176685333252	0.083742745	No	
row_10	PDK3	4327	1.067713975906372	0.06608567	No	
row_11	ECH1	4398	1.050977349281311	0.07546842	No	
row_12	TRIB3	4554	1.0098024606704712	0.07997287	No	
row_13	MVK	4864	0.9431698322296143	0.075737365	No	
row_14	PCYT2	5236	0.8687939643859863	0.06739586	No	
row_15	CYP51A1	5554	0.804716169834137	0.061038945	No	
row_16	FABP5	5860	0.7510971426963806	0.05463665	No	
row_17	PNRC1	5922	0.7391330599784851	0.060630273	No	
row_18	ACAT2	6084	0.707496702671051	0.061092276	No	
row_19	IDI1	6094	0.7059465646743774	0.06934924	No	
row_20	ERRFI1	6645	0.6095204949378967	0.048603125	No	
row_21	LSS	7021	0.5460915565490723	0.03607006	No	
row_22	HMGCS1	7306	0.49974000453948975	0.02764266	No	
row_23	ALDOC	7452	0.4769274890422821	0.026079278	No	
row_24	FDFT1	7456	0.4760797917842865	0.03180545	No	
row_25	PLAUR	8019	0.38905757665634155	0.0077193384	No	
row_26	SQLE	8458	0.327705979347229	-0.010749901	No	
row_27	ANXA5	8623	0.30576175451278687	-0.015404233	No	
row_28	CXCL16	8751	0.2860947847366333	-0.018399367	No	
row_29	SCD	9061	0.2396722137928009	-0.031324264	No	
row_30	ACTG1	9333	0.20338092744350433	-0.04274389	No	
row_31	GNAI1	9546	0.16915778815746307	-0.05155313	No	
row_32	TP53INP1	9632	0.15705734491348267	-0.053982936	No	
row_33	SC5D	9717	0.14584799110889435	-0.056499787	No	
row_34	NFIL3	9935	0.11188992112874985	-0.06627342	No	
row_35	ACSS2	9988	0.10504167526960373	-0.06764922	No	
row_36	TMEM97	10005	0.10250350832939148	-0.06720567	No	
row_37	ABCA2	10084	0.0920773446559906	-0.07007823	No	
row_38	LGMN	10728	0.0012847749749198556	-0.103118084	No	
row_39	CHKA	10828	-0.011854683980345726	-0.10806111	No	
row_40	FADS2	11669	-0.13157139718532562	-0.1496192	No	
row_41	PLSCR1	11689	-0.1344078928232193	-0.1489358	No	
row_42	DHCR7	11869	-0.15997442603111267	-0.15616198	No	
row_43	ALCAM	12439	-0.2511226236820221	-0.18231168	No	
row_44	CPEB2	12544	-0.2709719240665436	-0.18431121	No	
row_45	ATF5	12699	-0.2962796688079834	-0.18856858	No	
row_46	CD9	13046	-0.3527376651763916	-0.20199904	No	
row_47	SREBF2	13078	-0.357949435710907	-0.19917142	No	
row_48	ADH4	13410	-0.4113443195819855	-0.21110687	No	
row_49	STX5	13542	-0.43315625190734863	-0.21249117	No	
row_50	S100A11	13757	-0.4701436161994934	-0.21768554	No	
row_51	PPARG	13861	-0.49200892448425293	-0.21690348	No	
row_52	ANTXR2	14148	-0.5438485741615295	-0.22488889	No	
row_53	JAG1	14714	-0.6565540432929993	-0.24582519	No	
row_54	STARD4	15246	-0.7748762369155884	-0.2635521	No	
row_55	ATF3	16110	-1.0118051767349243	-0.2954202	No	
row_56	SEMA3B	16623	-1.18572199344635	-0.30709574	Yes	
row_57	ETHE1	16762	-1.2364938259124756	-0.29891732	Yes	
row_58	MAL2	16841	-1.2623785734176636	-0.28733468	Yes	
row_59	TNFRSF12A	17121	-1.3728983402252197	-0.28472003	Yes	
row_60	HMGCR	17126	-1.37625253200531	-0.2679266	Yes	
row_61	ANXA13	17255	-1.4349688291549683	-0.25678262	Yes	
row_62	MVD	17629	-1.6203991174697876	-0.25594333	Yes	
row_63	GUSB	17694	-1.6658637523651123	-0.23865724	Yes	
row_64	CTNNB1	17713	-1.67987060546875	-0.21883333	Yes	
row_65	FDPS	17808	-1.738810658454895	-0.20218848	Yes	
row_66	HSD17B7	17847	-1.7636713981628418	-0.18235765	Yes	
row_67	GSTM2	18139	-1.9538601636886597	-0.17318407	Yes	
row_68	FASN	18691	-2.508382797241211	-0.17052741	Yes	
row_69	EBP	18716	-2.5348894596099854	-0.14045103	Yes	
row_70	NSDHL	19309	-3.8945372104644775	-0.12278076	Yes	
row_71	CBS	19310	-3.8951144218444824	-0.07466948	Yes	
row_72	FBXO6	19498	-6.931775093078613	0.0013363176	Yes	
