NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	33	6.548097133636475	0.02362661	Yes	
row_1	FBLN1	34	6.524417400360107	0.048868973	Yes	
row_2	BMP1	35	6.5229573249816895	0.07410569	Yes	
row_3	DAB2	42	6.328882694244385	0.098281115	Yes	
row_4	COL11A1	66	5.6112799644470215	0.11880065	Yes	
row_5	PDLIM4	134	4.728664875030518	0.13362893	Yes	
row_6	GREM1	177	4.5031352043151855	0.14887814	Yes	
row_7	TGFBR3	267	4.069483757019043	0.16001786	Yes	
row_8	CAPG	298	3.946788787841797	0.17373547	Yes	
row_9	COLGALT1	312	3.8935017585754395	0.18812647	Yes	
row_10	NOTCH2	320	3.8556270599365234	0.20268136	Yes	
row_11	PCOLCE2	331	3.809109687805176	0.21690106	Yes	
row_12	OXTR	374	3.6621134281158447	0.22889644	Yes	
row_13	IL15	631	3.0536515712738037	0.22746569	Yes	
row_14	VEGFC	650	3.0293188095092773	0.23825455	Yes	
row_15	LUM	803	2.808889865875244	0.24125765	Yes	
row_16	ITGA2	890	2.7042198181152344	0.24727052	Yes	
row_17	FBN2	1011	2.570611000061035	0.25100735	Yes	
row_18	GADD45B	1077	2.499638319015503	0.25731525	Yes	
row_19	COL12A1	1109	2.4605119228363037	0.26523083	Yes	
row_20	GEM	1191	2.378915548324585	0.27024382	Yes	
row_21	ANPEP	1199	2.368680238723755	0.27904585	Yes	
row_22	IL32	1216	2.357841968536377	0.2873403	Yes	
row_23	FLNA	1237	2.3427181243896484	0.2953693	Yes	
row_24	DCN	1332	2.261362314224243	0.2992549	Yes	
row_25	FERMT2	1391	2.217769145965576	0.3048344	Yes	
row_26	FSTL1	1526	2.128554582595825	0.30613664	Yes	
row_27	TIMP3	1536	2.125944137573242	0.3138961	Yes	
row_28	EFEMP2	1570	2.101189136505127	0.320318	Yes	
row_29	COL5A1	1576	2.0992610454559326	0.32818118	Yes	
row_30	LGALS1	1614	2.076157331466675	0.3342993	Yes	
row_31	CTHRC1	1810	1.9667452573776245	0.33181947	Yes	
row_32	SFRP1	1853	1.9428691864013672	0.33716324	Yes	
row_33	LRRC15	1944	1.9005628824234009	0.33985987	Yes	
row_34	COL1A1	2075	1.8221464157104492	0.3401836	Yes	
row_35	COL3A1	2103	1.8088010549545288	0.34578475	Yes	
row_36	HTRA1	2330	1.7139955759048462	0.34072316	Yes	
row_37	VIM	2334	1.7134032249450684	0.34719694	Yes	
row_38	TAGLN	2409	1.6791353225708008	0.34986472	Yes	
row_39	THBS2	2419	1.6742303371429443	0.3558765	Yes	
row_40	COL5A2	2439	1.6640993356704712	0.36133173	Yes	
row_41	MATN3	2594	1.5994905233383179	0.3595523	Yes	
row_42	JUN	2605	1.5943316221237183	0.36520323	Yes	
row_43	TIMP1	2638	1.5819488763809204	0.369668	Yes	
row_44	EDIL3	2656	1.576820731163025	0.37488902	Yes	
row_45	ITGAV	2660	1.5745128393173218	0.38082546	Yes	
row_46	FBN1	2732	1.5462366342544556	0.38313428	Yes	
row_47	CXCL1	2741	1.542155146598816	0.3886868	Yes	
row_48	SCG2	2778	1.5264217853546143	0.39272982	Yes	
row_49	SERPINH1	2783	1.5246769189834595	0.3984217	Yes	
row_50	MSX1	2931	1.4707163572311401	0.39650622	Yes	
row_51	LAMC2	2933	1.4704798460006714	0.40214363	Yes	
row_52	COL6A2	3003	1.446031928062439	0.40416825	Yes	
row_53	FBLN2	3010	1.4442538022994995	0.4094455	Yes	
row_54	CDH6	3120	1.4065158367156982	0.4092477	Yes	
row_55	MYL9	3198	1.3782328367233276	0.41059607	Yes	
row_56	TGM2	3355	1.3342573642730713	0.407687	Yes	
row_57	ADAM12	3370	1.3308296203613281	0.41211152	Yes	
row_58	SPP1	3409	1.3197776079177856	0.41525155	Yes	
row_59	SPARC	3415	1.317150592803955	0.4200888	Yes	
row_60	IGFBP4	3592	1.2627371549606323	0.41586825	Yes	
row_61	APLP1	3683	1.2352732419967651	0.41599095	Yes	
row_62	WIPF1	3753	1.2145220041275024	0.4171199	Yes	
row_63	LAMC1	3897	1.1740927696228027	0.41426376	Yes	
row_64	IGFBP3	3914	1.1699261665344238	0.41796225	Yes	
row_65	PRRX1	4075	1.1276459693908691	0.41404688	Yes	
row_66	ELN	4151	1.1100425720214844	0.41446114	Yes	
row_67	MGP	4320	1.0694555044174194	0.40990672	Yes	
row_68	BGN	4372	1.057439923286438	0.4113592	Yes	
row_69	ITGB5	4402	1.0492219924926758	0.4139181	Yes	
row_70	FBLN5	4436	1.040966272354126	0.41623816	Yes	
row_71	ECM1	4462	1.0336295366287231	0.4189437	Yes	
row_72	THY1	4521	1.0184640884399414	0.41988322	Yes	
row_73	ACTA2	4606	0.9974805116653442	0.41939637	Yes	
row_74	SPOCK1	4646	0.9898681044578552	0.42120826	Yes	
row_75	ABI3BP	4662	0.9871510863304138	0.42425138	Yes	
row_76	QSOX1	4840	0.9470023512840271	0.41875756	Yes	
row_77	COL8A2	4892	0.938586950302124	0.41975018	Yes	
row_78	BDNF	4893	0.9384915828704834	0.42338112	Yes	
row_79	FOXC2	4965	0.9247656464576721	0.42328554	Yes	
row_80	CXCL12	4987	0.9208469390869141	0.4257617	Yes	
row_81	CAP2	5043	0.9096052050590515	0.42643526	Yes	
row_82	COL7A1	5269	0.8632470369338989	0.41813394	No	
row_83	COL16A1	5303	0.856488049030304	0.41974026	No	
row_84	PMP22	5476	0.8193411231040955	0.4140112	No	
row_85	INHBA	5567	0.8023151159286499	0.41245884	No	
row_86	NTM	5613	0.7918969392776489	0.4131944	No	
row_87	MMP1	5738	0.7711109519004822	0.40976217	No	
row_88	ITGA5	5745	0.7704158425331116	0.4124324	No	
row_89	SLIT3	5846	0.753689169883728	0.41017452	No	
row_90	COL6A3	6109	0.7019065022468567	0.39933467	No	
row_91	TPM1	6115	0.7004708051681519	0.40178603	No	
row_92	COL5A3	6273	0.6738751530647278	0.39627025	No	
row_93	COPA	6408	0.6459572911262512	0.39183646	No	
row_94	CALU	6647	0.6094273924827576	0.38188052	No	
