NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2C	113	4.993196487426758	0.021823023	No	
row_1	LBR	215	4.308559417724609	0.04047311	No	
row_2	NOTCH2	320	3.8556270599365234	0.056458373	No	
row_3	TLE3	377	3.659557580947876	0.07383964	No	
row_4	PURA	647	3.0326545238494873	0.07673155	No	
row_5	EGF	921	2.668503761291504	0.077398844	No	
row_6	MCM5	925	2.662169933319092	0.09199464	No	
row_7	TRAIP	1046	2.5320584774017334	0.09981861	No	
row_8	RASAL2	1339	2.2547261714935303	0.09721056	No	
row_9	UCK2	1442	2.178882360458374	0.1040085	No	
row_10	CDKN2C	1527	2.128535747528076	0.11145838	No	
row_11	AURKA	1666	2.0464255809783936	0.11566058	No	
row_12	KATNA1	2142	1.7940934896469116	0.101035975	No	
row_13	UPF1	2169	1.7826133966445923	0.10956871	No	
row_14	FOXN3	2548	1.616746187210083	0.09897798	No	
row_15	PDS5B	2554	1.6152187585830688	0.10766924	No	
row_16	SLC7A1	2626	1.5868172645568848	0.11278981	No	
row_17	DBF4	2921	1.4734214544296265	0.10574916	No	
row_18	SMC2	3019	1.4409047365188599	0.10871659	No	
row_19	CDKN1B	3385	1.3272464275360107	0.09719409	No	
row_20	BCL3	3388	1.3252437114715576	0.10443376	No	
row_21	POLE	3514	1.2882845401763916	0.10510746	No	
row_22	CUL4A	3551	1.2724608182907104	0.11029628	No	
row_23	SLC7A5	3617	1.2553324699401855	0.11389041	No	
row_24	MCM3	3796	1.2043673992156982	0.11135812	No	
row_25	RAD21	3916	1.1694060564041138	0.11168341	No	
row_26	MEIS2	4017	1.1413295269012451	0.112835765	No	
row_27	RPS6KA5	4058	1.1306997537612915	0.11703223	No	
row_28	DMD	4162	1.1057921648025513	0.11783252	No	
row_29	NDC80	4253	1.0842770338058472	0.11918591	No	
row_30	EFNA5	4301	1.073240041732788	0.12270198	No	
row_31	CDC20	4407	1.0482314825057983	0.12307989	No	
row_32	BIRC5	4515	1.0204402208328247	0.12320038	No	
row_33	NUSAP1	4599	0.9989393353462219	0.124442935	No	
row_34	ODC1	4701	0.9790323376655579	0.12464429	No	
row_35	MNAT1	4955	0.9269932508468628	0.116696306	No	
row_36	UBE2S	5245	0.8662802577018738	0.106550105	No	
row_37	HMGB3	5558	0.803250253200531	0.094865166	No	
row_38	E2F4	5597	0.7963738441467285	0.09731259	No	
row_39	KIF22	5759	0.768442690372467	0.09324405	No	
row_40	POLA2	5784	0.763312816619873	0.096232325	No	
row_41	E2F2	5911	0.7409015893936157	0.09382128	No	
row_42	SAP30	6150	0.6939836144447327	0.08535796	No	
row_43	SMAD3	6611	0.6157858967781067	0.06498017	No	
row_44	E2F1	6982	0.5522359609603882	0.04890479	No	
row_45	MARCKS	7094	0.5346689820289612	0.04612678	No	
row_46	ORC6	7224	0.511536717414856	0.04228968	No	
row_47	TOP1	7336	0.4945097863674164	0.039289147	No	
row_48	SLC38A1	7557	0.45784491300582886	0.030448303	No	
row_49	CENPE	7581	0.454351544380188	0.03177635	No	
row_50	HMMR	7709	0.43414589762687683	0.027613869	No	
row_51	MYC	7711	0.43410974740982056	0.029967532	No	
row_52	PTTG1	7744	0.42796793580055237	0.030683937	No	
row_53	RPA2	7960	0.3967891037464142	0.021763368	No	
row_54	CDKN3	8155	0.3714105784893036	0.013788236	No	
row_55	DKC1	8297	0.3512897491455078	0.008442617	No	
row_56	TRA2B	8339	0.3430866599082947	0.008223245	No	
row_57	SQLE	8458	0.327705979347229	0.0039364407	No	
row_58	YTHDC1	8615	0.30730128288269043	-0.0024286713	No	
row_59	PBK	8673	0.29835081100463867	-0.0037233944	No	
row_60	PLK1	8726	0.29049184918403625	-0.0048030782	No	
row_61	MT2A	8785	0.28123369812965393	-0.006244363	No	
row_62	CHAF1A	8788	0.28091222047805786	-0.004791277	No	
row_63	FBXO5	8855	0.2701345980167389	-0.0067077973	No	
row_64	HUS1	8873	0.2676144242286682	-0.006104149	No	
row_65	SLC12A2	8920	0.2613409161567688	-0.0070350543	No	
row_66	AMD1	9047	0.2426828145980835	-0.012206704	No	
row_67	G3BP1	9176	0.22381816804409027	-0.017586315	No	
row_68	RACGAP1	9208	0.22012244164943695	-0.017969856	No	
row_69	CCNT1	9285	0.2091752141714096	-0.02074132	No	
row_70	NUP50	9304	0.20728802680969238	-0.020523652	No	
row_71	KIF15	9429	0.18828663229942322	-0.025893275	No	
row_72	HMGN2	9504	0.175714910030365	-0.028746706	No	
row_73	ORC5	9646	0.1552458107471466	-0.035178594	No	
row_74	SFPQ	9668	0.15201933681964874	-0.03542232	No	
row_75	CUL1	9729	0.14347703754901886	-0.03773034	No	
row_76	STAG1	9908	0.11517743021249771	-0.046297777	No	
row_77	EWSR1	9953	0.11061030626296997	-0.047960438	No	
row_78	AURKB	9957	0.10991271585226059	-0.047506567	No	
row_79	SRSF10	10137	0.08554421365261078	-0.056289915	No	
row_80	NOLC1	10180	0.0795011892914772	-0.05802152	No	
row_81	ARID4A	10228	0.07150247693061829	-0.060056027	No	
row_82	HIF1A	10246	0.06814857572317123	-0.060557608	No	
row_83	SRSF1	10292	0.06334401667118073	-0.062533885	No	
row_84	SMC1A	10302	0.0618998259305954	-0.06265636	No	
row_85	SS18	10314	0.060064125806093216	-0.06289243	No	
row_86	KIF20B	10529	0.030277805402874947	-0.0737921	No	
row_87	ABL1	10537	0.029365472495555878	-0.07399141	No	
row_88	CDC6	10751	-0.0027910571079701185	-0.08499166	No	
row_89	DTYMK	10849	-0.015543055720627308	-0.08992209	No	
row_90	TFDP1	10869	-0.017337145283818245	-0.09080865	No	
row_91	HSPA8	10913	-0.02351837046444416	-0.09290217	No	
row_92	MCM6	11011	-0.037737082690000534	-0.09770962	No	
row_93	MTF2	11021	-0.03932356461882591	-0.09795718	No	
row_94	FANCC	11161	-0.0575677827000618	-0.10482687	No	
row_95	SMC4	11376	-0.08852720260620117	-0.11540378	No	
row_96	BARD1	11401	-0.09254053235054016	-0.11613222	No	
row_97	NCL	11558	-0.11470791697502136	-0.12356449	No	
row_98	TGFB1	11600	-0.12111753225326538	-0.12501378	No	
row_99	CDC7	11727	-0.13943567872047424	-0.13075751	No	
row_100	STMN1	11757	-0.1459297090768814	-0.13144872	No	
row_101	CDC25B	11760	-0.1463634967803955	-0.13074116	No	
