NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	33	6.548097133636475	0.06545473	Yes	
row_1	TNFRSF1B	259	4.099148750305176	0.09591729	Yes	
row_2	IRF9	313	3.8930349349975586	0.13311476	Yes	
row_3	CSF2RA	708	2.94958233833313	0.14309391	Yes	
row_4	ACVRL1	989	2.595942735671997	0.1553112	Yes	
row_5	TNFRSF1A	1229	2.3501322269439697	0.16711691	Yes	
row_6	EBI3	1370	2.233421564102173	0.18281884	Yes	
row_7	CXCL13	1405	2.2005667686462402	0.20363706	Yes	
row_8	CCR1	1474	2.1567509174346924	0.22225681	Yes	
row_9	LEPR	1581	2.0977253913879395	0.23831628	Yes	
row_10	CD36	1672	2.0397210121154785	0.25460404	Yes	
row_11	IL18R1	2058	1.8311264514923096	0.25357616	Yes	
row_12	HAX1	2309	1.7214807271957397	0.258369	Yes	
row_13	CXCL11	2436	1.665510892868042	0.2689671	Yes	
row_14	SOCS1	2462	1.6550301313400269	0.2846537	Yes	
row_15	CBL	2528	1.6251566410064697	0.29797614	Yes	
row_16	JUN	2605	1.5943316221237183	0.31041655	Yes	
row_17	CXCL1	2741	1.542155146598816	0.31928658	Yes	
row_18	IL1R1	2818	1.5100462436676025	0.33086264	Yes	
row_19	CSF1	3138	1.3984928131103516	0.3287934	Yes	
row_20	CSF2RB	3310	1.3459537029266357	0.3337993	Yes	
row_21	CXCL3	3398	1.3224923610687256	0.34288603	Yes	
row_22	TNFRSF21	3768	1.2116572856903076	0.33632845	Yes	
row_23	HMOX1	3771	1.2108899354934692	0.34864354	Yes	
row_24	STAM2	3939	1.1636613607406616	0.35198578	Yes	
row_25	STAT3	4176	1.1012909412384033	0.35113865	Yes	
row_26	IL7	4232	1.0890910625457764	0.35947803	Yes	
row_27	IFNAR1	4505	1.0232375860214233	0.3559784	No	
row_28	PIK3R5	5078	0.9038668870925903	0.33582088	No	
row_29	IL13RA1	5097	0.8994455337524414	0.34411892	No	
row_30	IL15RA	5214	0.8753002882003784	0.34712765	No	
row_31	SOCS3	5230	0.8695570826530457	0.35527351	No	
row_32	IL2RA	5583	0.799059271812439	0.3453592	No	
row_33	MYD88	6067	0.7098458409309387	0.32779062	No	
row_34	IL10RB	6582	0.6203503012657166	0.30770943	No	
row_35	INHBE	6666	0.6069149971008301	0.3096635	No	
row_36	STAT1	6714	0.5983132123947144	0.3133814	No	
row_37	LTBR	6751	0.5929378271102905	0.3176101	No	
row_38	IFNGR2	6758	0.5919851660728455	0.3233724	No	
row_39	IL4R	6875	0.5708920359611511	0.32325935	No	
row_40	CXCL9	6972	0.553324282169342	0.32399505	No	
row_41	IL2RG	7158	0.5218918323516846	0.31982973	No	
row_42	TNF	7582	0.45425549149513245	0.30272675	No	
row_43	IL3RA	7626	0.44745397567749023	0.30510336	No	
row_44	A2M	8192	0.3658859133720398	0.27978882	No	
row_45	MAP3K8	8657	0.30005985498428345	0.25899526	No	
row_46	CSF3R	8742	0.2876831293106079	0.2576241	No	
row_47	CXCL10	8797	0.2791513204574585	0.2577088	No	
row_48	ITGB3	8861	0.2695333957672119	0.25723186	No	
row_49	CRLF2	8960	0.2562006711959839	0.25481758	No	
row_50	IL1B	9136	0.23036549985408783	0.24817705	No	
row_51	ITGA4	9743	0.14103534817695618	0.21844736	No	
row_52	IL6ST	10090	0.09098803251981735	0.20158029	No	
row_53	IFNGR1	10168	0.08128737658262253	0.19845259	No	
row_54	PTPN11	10267	0.06568249315023422	0.19408451	No	
row_55	OSMR	10609	0.01798032596707344	0.17672595	No	
row_56	PTPN1	11034	-0.041109368205070496	0.15533459	No	
row_57	IL17RA	11040	-0.04182818531990051	0.15550633	No	
row_58	CD14	11078	-0.04689094424247742	0.15408371	No	
row_59	IL12RB1	11586	-0.11880319565534592	0.12921914	No	
row_60	TGFB1	11600	-0.12111753225326538	0.12979244	No	
row_61	PTPN2	11691	-0.13477391004562378	0.12654448	No	
row_62	STAT2	13016	-0.348331481218338	0.0620027	No	
row_63	CD9	13046	-0.3527376651763916	0.06412819	No	
row_64	CSF2	13183	-0.3745269477367401	0.06097246	No	
row_65	IRF1	13392	-0.40772852301597595	0.05445313	No	
row_66	CD38	13786	-0.4773847758769989	0.039130706	No	
row_67	REG1A	14220	-0.5580050945281982	0.022577237	No	
row_68	PLA2G2A	14713	-0.6564489603042603	0.003998045	No	
row_69	PIM1	14960	-0.7088025808334351	-0.0013886243	No	
row_70	CCL7	15032	-0.7239287495613098	0.002382813	No	
row_71	IL1R2	15088	-0.7393512725830078	0.007135542	No	
row_72	FAS	15244	-0.7743246555328369	0.0071023703	No	
row_73	LTB	15506	-0.8381732702255249	0.0022707465	No	
row_74	BAK1	15810	-0.9210537075996399	-0.003871633	No	
row_75	TLR2	15858	-0.9350191354751587	0.0032992854	No	
row_76	PDGFC	15913	-0.9486023783683777	0.010249385	No	
row_77	CNTFR	15916	-0.9502521753311157	0.019891575	No	
row_78	IL6	15925	-0.9518854022026062	0.029241841	No	
row_79	DNTT	16997	-1.32461416721344	-0.01227216	No	
row_80	PF4	17008	-1.3278275728225708	8.305996E-4	No	
row_81	TNFRSF12A	17121	-1.3728983402252197	0.009148117	No	
row_82	ACVR1B	17684	-1.6604969501495361	-0.0027354972	No	
row_83	IL17RB	17702	-1.6714468002319336	0.013531046	No	
row_84	GRB2	18185	-1.988618016242981	0.009128048	No	
row_85	IL9R	18534	-2.318643808364868	0.015003263	No	
row_86	TYK2	19220	-3.498363733291626	0.015639637	No	
