NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNMB2	137	4.71058988571167	0.015136927	Yes	
row_1	LCP2	157	4.592004299163818	0.0358201	Yes	
row_2	TNFRSF1B	259	4.099148750305176	0.04993486	Yes	
row_3	EDN1	335	3.7938320636749268	0.06395439	Yes	
row_4	IL15	631	3.0536515712738037	0.063097924	Yes	
row_5	BDKRB1	725	2.914537191390991	0.072037324	Yes	
row_6	RHOG	940	2.6459803581237793	0.0734486	Yes	
row_7	CCRL2	946	2.637021064758301	0.08563205	Yes	
row_8	C5AR1	982	2.6059372425079346	0.09611653	Yes	
row_9	SELE	1004	2.5802416801452637	0.10720418	Yes	
row_10	SLC4A4	1161	2.4020228385925293	0.11046554	Yes	
row_11	EBI3	1370	2.233421564102173	0.11024071	Yes	
row_12	IRF7	1410	2.1955056190490723	0.11858169	Yes	
row_13	OPRK1	1625	2.070584535598755	0.1172781	Yes	
row_14	CYBB	1640	2.0611400604248047	0.1262787	Yes	
row_15	CX3CL1	1657	2.0528244972229004	0.13513657	Yes	
row_16	PTGER4	1690	2.032426595687866	0.1430703	Yes	
row_17	PTGER2	1723	2.0158565044403076	0.15092586	Yes	
row_18	NFKB1	1880	1.9310729503631592	0.15196514	Yes	
row_19	TNFSF10	1889	1.924755334854126	0.1606327	Yes	
row_20	MSR1	1955	1.8936264514923096	0.16620399	Yes	
row_21	IL12B	1974	1.8822283744812012	0.17415346	Yes	
row_22	RELA	1990	1.8702037334442139	0.18220143	Yes	
row_23	CDKN1A	2047	1.8369183540344238	0.18797085	Yes	
row_24	IL18R1	2058	1.8311264514923096	0.19609316	Yes	
row_25	OLR1	2177	1.7780247926712036	0.1983766	Yes	
row_26	TLR1	2202	1.7653636932373047	0.2054642	Yes	
row_27	HRH1	2244	1.7448537349700928	0.21157539	Yes	
row_28	LDLR	2384	1.6930700540542603	0.21237136	Yes	
row_29	AQP9	2413	1.6767220497131348	0.21883376	Yes	
row_30	IL18	2418	1.6743141412734985	0.22652665	Yes	
row_31	CXCL11	2436	1.665510892868042	0.23350534	Yes	
row_32	NMI	2461	1.6553043127059937	0.24007365	Yes	
row_33	IRAK2	2560	1.6137691736221313	0.24261695	Yes	
row_34	SLC7A1	2626	1.5868172645568848	0.24674064	Yes	
row_35	TIMP1	2638	1.5819488763809204	0.25363553	Yes	
row_36	LY6E	2727	1.547777771949768	0.2563849	Yes	
row_37	IL1R1	2818	1.5100462436676025	0.25885275	Yes	
row_38	BTG2	3000	1.446678638458252	0.25631297	Yes	
row_39	CSF1	3138	1.3984928131103516	0.2558225	Yes	
row_40	CD40	3343	1.3366235494613647	0.25157335	Yes	
row_41	ICAM4	3357	1.33350670337677	0.25719252	Yes	
row_42	RGS16	3427	1.3139768838882446	0.2598219	Yes	
row_43	TAPBP	3479	1.3000707626342773	0.26331705	Yes	
row_44	MEP1A	3595	1.2613247632980347	0.26331776	Yes	
row_45	RGS1	3645	1.2482062578201294	0.2666717	Yes	
row_46	IL10RA	3654	1.2455188035964966	0.27213445	Yes	
row_47	IFITM1	3715	1.2235691547393799	0.27480295	Yes	
row_48	CCL2	3758	1.2134416103363037	0.27835503	Yes	
row_49	TNFSF9	3944	1.1627702713012695	0.27426872	Yes	
row_50	SLAMF1	3950	1.16053307056427	0.2794857	Yes	
row_51	RNF144B	4064	1.1292237043380737	0.27896664	Yes	
row_52	VIP	4107	1.1208319664001465	0.28208178	Yes	
row_53	IL2RB	4152	1.109915852546692	0.28504193	Yes	
row_54	NLRP3	4396	1.0512558221817017	0.2774283	No	
row_55	IFNAR1	4505	1.0232375860214233	0.2766679	No	
row_56	PROK2	4508	1.0222828388214111	0.2813878	No	
row_57	ATP2B1	4699	0.9791623950004578	0.27617642	No	
row_58	PTPRE	4895	0.937666654586792	0.27051055	No	
row_59	BST2	4911	0.9345653653144836	0.27414393	No	
row_60	SLC31A1	5050	0.9086262583732605	0.27129042	No	
row_61	PIK3R5	5078	0.9038668870925903	0.27415803	No	
row_62	SEMA4D	5200	0.8777524828910828	0.27203852	No	
row_63	IL15RA	5214	0.8753002882003784	0.27549574	No	
row_64	SELL	5226	0.8704131245613098	0.27903342	No	
row_65	CCL24	5553	0.8050898909568787	0.26596358	No	
row_66	INHBA	5567	0.8023151159286499	0.26907644	No	
row_67	ATP2C1	5642	0.7872880101203918	0.26896203	No	
row_68	SLC28A2	5664	0.7833843231201172	0.27157164	No	
row_69	CCL20	5732	0.7725366353988647	0.27174982	No	
row_70	ITGA5	5745	0.7704158425331116	0.27476394	No	
row_71	NAMPT	5772	0.7655026316642761	0.27703044	No	
