NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCOA7	55	5.831872940063477	0.046520285	Yes	
row_1	MVB12A	276	4.037104606628418	0.06936167	Yes	
row_2	IFIH1	310	3.907728910446167	0.10073156	Yes	
row_3	IRF9	313	3.8930349349975586	0.1335724	Yes	
row_4	IFI44	427	3.472534656524658	0.15714265	Yes	
row_5	IL15	631	3.0536515712738037	0.17253667	Yes	
row_6	TRIM5	730	2.9086947441101074	0.1921075	Yes	
row_7	CCRL2	946	2.637021064758301	0.20335837	Yes	
row_8	IRF2	1007	2.578587293624878	0.22209129	Yes	
row_9	TRIM26	1025	2.5558133125305176	0.24284433	Yes	
row_10	GMPR	1198	2.3687210083007812	0.25403762	Yes	
row_11	IRF7	1410	2.1955056190490723	0.26175812	Yes	
row_12	IFI35	1600	2.084768533706665	0.26967368	Yes	
row_13	LGALS3BP	1741	2.0074174404144287	0.27945632	Yes	
row_14	HERC6	2001	1.8629511594772339	0.2818925	Yes	
row_15	ADAR	2241	1.7464808225631714	0.28437233	Yes	
row_16	HELZ2	2317	1.7196534872055054	0.29506484	Yes	
row_17	CXCL11	2436	1.665510892868042	0.3030863	Yes	
row_18	NMI	2461	1.6553043127059937	0.3158588	Yes	
row_19	LY6E	2727	1.547777771949768	0.31531918	Yes	
row_20	CSF1	3138	1.3984928131103516	0.30605432	Yes	
row_21	PSME2	3359	1.333020567893982	0.3060131	Yes	
row_22	TRIM14	3433	1.3131914138793945	0.31336898	Yes	
row_23	SLC25A28	3641	1.2491469383239746	0.313287	Yes	
row_24	IFITM2	3653	1.2458552122116089	0.32326365	Yes	
row_25	IFITM1	3715	1.2235691547393799	0.3304786	Yes	
row_26	PNPT1	3760	1.2131972312927246	0.33848068	Yes	
row_27	IFI27	3810	1.2018203735351562	0.34612915	Yes	
row_28	OASL	3832	1.1946866512298584	0.35515818	Yes	
row_29	TAP1	4005	1.1437402963638306	0.35598537	Yes	
row_30	IL7	4232	1.0890910625457764	0.35357124	Yes	
row_31	MOV10	4235	1.0885511636734009	0.36267987	Yes	
row_32	GBP4	4242	1.0869158506393433	0.37156883	Yes	
row_33	CASP8	4465	1.0320006608963013	0.3688774	Yes	
row_34	IFITM3	4611	0.9954535961151123	0.36983925	Yes	
row_35	BST2	4911	0.9345653653144836	0.36236078	Yes	
row_36	LPAR6	4925	0.9311926364898682	0.36957175	Yes	
row_37	ELF1	4943	0.928369402885437	0.37655297	Yes	
row_38	CMTR1	5017	0.9144819378852844	0.38053486	Yes	
row_39	SELL	5226	0.8704131245613098	0.3771965	Yes	
row_40	GBP2	5322	0.8523975610733032	0.37952083	Yes	
row_41	TXNIP	5602	0.794684886932373	0.3718879	Yes	
row_42	PSMB9	5621	0.7907787561416626	0.37765333	Yes	
row_43	IFIT3	5626	0.7897008657455444	0.38413012	Yes	
row_44	C1S	5694	0.7787952423095703	0.38727254	Yes	
row_45	CD74	5724	0.7732527256011963	0.3923236	Yes	
row_46	TDRD7	5757	0.7690548896789551	0.39718476	Yes	
row_47	CD47	6212	0.683199405670166	0.37960264	No	
row_48	DHX58	6275	0.6737899780273438	0.38211378	No	
row_49	UBA7	6393	0.6497998237609863	0.38159156	No	
row_50	CASP1	6557	0.6238296031951904	0.3784823	No	
row_51	B2M	6827	0.5799874067306519	0.36954716	No	
row_52	IL4R	6875	0.5708920359611511	0.37195948	No	
row_53	LAP3	6978	0.5525302886962891	0.37138605	No	
row_54	RIPK2	7433	0.4798332750797272	0.352083	No	
row_55	NUB1	7440	0.4783075451850891	0.35582176	No	
row_56	TRIM25	7779	0.42273178696632385	0.34200504	No	
row_57	IFI44L	7901	0.4054732918739319	0.3392094	No	
row_58	EIF2AK2	8159	0.3706355094909668	0.3291202	No	
row_59	TRAFD1	8236	0.36070698499679565	0.32826152	No	
row_60	SAMD9	8277	0.35516899824142456	0.32920858	No	
row_61	PSMA3	8391	0.33612868189811707	0.32623783	No	
row_62	EPSTI1	8664	0.2993116080760956	0.31477314	No	
row_63	CMPK2	8758	0.28540822863578796	0.3124024	No	
row_64	CXCL10	8797	0.2791513204574585	0.3128091	No	
row_65	SP110	8874	0.2674766182899475	0.3111615	No	
row_66	CNP	9395	0.19359812140464783	0.28603977	No	
row_67	PARP9	10211	0.07401344180107117	0.24472497	No	
row_68	ISG15	10252	0.06707296520471573	0.2432341	No	
row_69	MX1	10481	0.03579119220376015	0.23180375	No	
row_70	PSME1	10530	0.030268266797065735	0.22958973	No	
row_71	SAMD9L	10727	0.001378046814352274	0.21951494	No	
row_72	PLSCR1	11689	-0.1344078928232193	0.17119783	No	
row_73	OGFR	12248	-0.2186988741159439	0.14433299	No	
row_74	PARP14	12759	-0.30402350425720215	0.120660335	No	
row_75	STAT2	13016	-0.348331481218338	0.110433854	No	
row_76	IRF1	13392	-0.40772852301597595	0.09458608	No	
row_77	PROCR	14010	-0.51838219165802	0.067221	No	
row_78	RTP4	14034	-0.5225937366485596	0.0704597	No	
row_79	RSAD2	14097	-0.5340080261230469	0.07178798	No	
row_80	ISG20	14461	-0.6019883155822754	0.058201626	No	
row_81	PSMB8	14588	-0.6275553703308105	0.057027996	No	
row_82	BATF2	15184	-0.7606654167175293	0.032845326	No	
row_83	IFIT2	16369	-1.0886552333831787	-0.018872643	No	
row_84	PARP12	16588	-1.1751792430877686	-0.02014661	No	
row_85	OAS1	17485	-1.5405104160308838	-0.053219963	No	
row_86	TMEM140	17529	-1.566268801689148	-0.042178676	No	
row_87	TRIM21	17751	-1.704214334487915	-0.03913021	No	
row_88	UBE2L6	18251	-2.0460636615753174	-0.047495235	No	
row_89	LAMP3	18488	-2.2726645469665527	-0.040408332	No	
row_90	DDX60	19169	-3.317772150039673	-0.047326397	No	
row_91	USP18	19174	-3.3316526412963867	-0.019339023	No	
row_92	RNF31	19377	-4.407721996307373	0.007564924	No	
