NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK1N	46	6.1534929275512695	0.02724025	Yes	
row_1	PLAU	91	5.225756645202637	0.05011825	Yes	
row_2	ENG	136	4.718998432159424	0.070556924	Yes	
row_3	CDADC1	241	4.176074504852295	0.08527773	Yes	
row_4	TNFRSF1B	259	4.099148750305176	0.10412972	Yes	
row_5	TMEM158	379	3.652567148208618	0.11555446	Yes	
row_6	SPRY2	384	3.640343189239502	0.13287058	Yes	
row_7	CSF2RA	708	2.94958233833313	0.13035627	Yes	
row_8	FLT4	823	2.7837674617767334	0.13785768	Yes	
row_9	ITGA2	890	2.7042198181152344	0.14745975	Yes	
row_10	GLRX	893	2.7017462253570557	0.16036133	Yes	
row_11	EPB41L3	900	2.6956961154937744	0.17302684	Yes	
row_12	TMEM100	978	2.6098263263702393	0.1816054	Yes	
row_13	USP12	1242	2.337364673614502	0.17924859	Yes	
row_14	FGF9	1307	2.282534599304199	0.18692432	Yes	
row_15	CCND2	1340	2.252671957015991	0.19611202	Yes	
row_16	TRIB2	1467	2.163249969482422	0.20000564	Yes	
row_17	USH1C	1659	2.051318645477295	0.19999728	Yes	
row_18	TLR8	1795	1.9766716957092285	0.20252709	Yes	
row_19	ANKH	1822	1.9614768028259277	0.21062356	Yes	
row_20	CFHR2	1839	1.9513254165649414	0.21918856	Yes	
row_21	HSD11B1	1903	1.9213281869888306	0.22517735	Yes	
row_22	CLEC4A	2224	1.7532397508621216	0.21705955	Yes	
row_23	PTPRR	2249	1.7434672117233276	0.2242101	Yes	
row_24	GABRA3	2298	1.7258161306381226	0.23003387	Yes	
row_25	DOCK2	2420	1.6740704774856567	0.23183149	Yes	
row_26	AMMECR1	2466	1.6536529064178467	0.23746313	Yes	
row_27	CBL	2528	1.6251566410064697	0.24212974	Yes	
row_28	F2RL1	2552	1.6156601905822754	0.24871682	Yes	
row_29	SNAP91	2663	1.5740219354629517	0.25060198	Yes	
row_30	ST6GAL1	2753	1.5361262559890747	0.2533913	Yes	
