NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90B1	28	6.70695686340332	0.031047964	Yes	
row_1	EGLN3	111	5.003622531890869	0.051049363	Yes	
row_2	PSAT1	194	4.4056525230407715	0.06815348	Yes	
row_3	TM7SF2	214	4.311041355133057	0.088058375	Yes	
row_4	ACSL3	249	4.1362481117248535	0.10634036	Yes	
row_5	TFRC	317	3.868267059326172	0.12161674	Yes	
row_6	M6PR	333	3.799105405807495	0.13924815	Yes	
row_7	FADS1	351	3.740330934524536	0.1564913	Yes	
row_8	G6PD	709	2.947876453399658	0.15230562	Yes	
row_9	PSMB5	765	2.859407663345337	0.16331469	Yes	
row_10	PGM1	782	2.838517904281616	0.17624012	Yes	
row_11	FKBP2	791	2.82631254196167	0.18952027	Yes	
row_12	DAPP1	856	2.740306854248047	0.19948667	Yes	
row_13	NFYC	865	2.7283198833465576	0.21229203	Yes	
row_14	GLRX	893	2.7017462253570557	0.22398572	Yes	
row_15	PSMD12	1003	2.581007719039917	0.23085229	Yes	
row_16	STIP1	1021	2.559307813644409	0.24237317	Yes	
row_17	CTH	1293	2.291213274002075	0.23945488	Yes	
row_18	AURKA	1666	2.0464255809783936	0.2301255	Yes	
row_19	ME1	1772	1.986398458480835	0.23431802	Yes	
row_20	EEF1E1	1773	1.9863840341567993	0.24394242	Yes	
row_21	SQSTM1	1956	1.8933866024017334	0.24370083	Yes	
row_22	CDKN1A	2047	1.8369183540344238	0.24794507	Yes	
row_23	PSMC6	2222	1.7544376850128174	0.24744411	Yes	
row_24	LDLR	2384	1.6930700540542603	0.24731833	Yes	
row_25	RRP9	2385	1.6925195455551147	0.2555189	Yes	
row_26	GGA2	2394	1.6849840879440308	0.26326913	Yes	
row_27	GCLC	2395	1.6849249601364136	0.2714329	Yes	
row_28	USO1	2502	1.635321855545044	0.27387264	Yes	
row_29	SERPINH1	2783	1.5246769189834595	0.26677474	Yes	
row_30	HSPA5	2884	1.4850242137908936	0.26879665	Yes	
row_31	SKAP2	2906	1.4776369333267212	0.2748697	Yes	
row_32	HK2	2915	1.4748111963272095	0.28160158	Yes	
row_33	BTG2	3000	1.446678638458252	0.28426543	Yes	
row_34	SRD5A1	3029	1.437854290008545	0.2897836	Yes	
row_35	CTSC	3326	1.340890884399414	0.28096747	No	
row_36	SLC1A5	3475	1.3005728721618652	0.2796125	No	
row_37	PPP1R15A	3546	1.274187684059143	0.28216487	No	
row_38	SLC7A5	3617	1.2553324699401855	0.2846259	No	
row_39	ADD3	3669	1.239993691444397	0.28799552	No	
row_40	SLA	4120	1.1172596216201782	0.27012897	No	
row_41	CFP	4187	1.0986640453338623	0.27203783	No	
row_42	ARPC5L	4312	1.0708060264587402	0.2708112	No	
row_43	TRIB3	4554	1.0098024606704712	0.2632362	No	
row_44	CCNG1	4563	1.0067867040634155	0.2677004	No	
row_45	SLC37A4	4627	0.9925212264060974	0.26925018	No	
row_46	GLA	5101	0.898517906665802	0.24913394	No	
row_47	GSK3B	5119	0.8955358266830444	0.25259352	No	
row_48	RRM2	5261	0.8643347024917603	0.24948703	No	
row_49	ELOVL6	5415	0.8314039707183838	0.24560018	No	
row_50	CYP51A1	5554	0.804716169834137	0.24236003	No	
row_51	PSMD13	5635	0.7882087230682373	0.2420404	No	
row_52	PHGDH	5659	0.7841532230377197	0.24464992	No	
row_53	NAMPT	5772	0.7655026316642761	0.24256481	No	
row_54	SSR1	5823	0.7568408250808716	0.2436452	No	
row_55	IGFBP5	5896	0.7438907623291016	0.24352472	No	
row_56	CXCR4	5955	0.7340186834335327	0.24408066	No	
row_57	HSPA4	6022	0.719951868057251	0.24415459	No	
row_58	IDI1	6094	0.7059465646743774	0.24390198	No	
row_59	SDF2L1	6182	0.6880127191543579	0.24273476	No	
row_60	HSPA9	6319	0.6640351414680481	0.23891644	No	
row_61	INSIG1	6432	0.6425957679748535	0.23623584	No	
row_62	SYTL2	6529	0.6275789141654968	0.2343102	No	
row_63	GMPS	6589	0.6192803978919983	0.23425849	No	
row_64	ATP6V1D	6610	0.61592698097229	0.23620811	No	
row_65	ATP2A2	6615	0.6155033707618713	0.23898341	No	
row_66	TPI1	6672	0.6064196228981018	0.23902458	No	
row_67	NUP205	6673	0.6060920357704163	0.24196121	No	
row_68	TUBA4A	7200	0.5156599879264832	0.21724808	No	
row_69	DDIT4	7238	0.5096965432167053	0.21780354	No	
row_70	HMGCS1	7306	0.49974000453948975	0.21675876	No	
row_71	ALDOA	7468	0.47356918454170227	0.21072428	No	
row_72	ACTR2	7674	0.4405899941921234	0.20225374	No	
row_73	PGK1	7715	0.43384239077568054	0.20228647	No	
row_74	UFM1	7758	0.42591673135757446	0.20217733	No	
row_75	PSMC4	7795	0.42027178406715393	0.20235123	No	
row_76	UCHL5	7862	0.4109458327293396	0.20092796	No	
row_77	ACTR3	7881	0.40872353315353394	0.20197712	No	
row_78	VLDLR	8126	0.37525105476379395	0.1911724	No	
row_79	UBE2D3	8312	0.3491615056991577	0.18329355	No	
row_80	PSMA3	8391	0.33612868189811707	0.18088697	No	
row_81	TUBG1	8394	0.3356625437736511	0.18240985	No	
row_82	SQLE	8458	0.327705979347229	0.18073848	No	
row_83	DHCR24	8490	0.3227868676185608	0.18069871	No	
row_84	PLK1	8726	0.29049184918403625	0.16994894	No	
row_85	COPS5	8877	0.26669740676879883	0.16348118	No	
row_86	ASNS	8964	0.2555416524410248	0.16027027	No	
row_87	HSPD1	8991	0.25183185935020447	0.16014539	No	
row_88	SCD	9061	0.2396722137928009	0.15773708	No	
row_89	BCAT1	9111	0.23344944417476654	0.15633325	No	
row_90	FGL2	9210	0.22012032568454742	0.15232994	No	
row_91	SLC9A3R1	9229	0.21709208190441132	0.1524506	No	
row_92	MLLT11	9415	0.1901736706495285	0.1438014	No	
row_93	NUFIP1	9418	0.18966828286647797	0.14461693	No	
row_94	NUPR1	9437	0.18693843483924866	0.14459148	No	
row_95	PDK1	9458	0.18312977254390717	0.14444412	No	
row_96	GBE1	9487	0.17773450911045074	0.14385675	No	
row_97	CALR	9544	0.17008201777935028	0.14178377	No	
row_98	ETF1	9561	0.16618889570236206	0.14176127	No	
row_99	RIT1	9701	0.14851927757263184	0.13528998	No	
row_100	SC5D	9717	0.14584799110889435	0.13522065	No	
row_101	AK4	9870	0.12017709016799927	0.1279395	No	
row_102	NFIL3	9935	0.11188992112874985	0.12517071	No	
row_103	TMEM97	10005	0.10250350832939148	0.12209778	No	
row_104	YKT6	10044	0.09753929823637009	0.12060452	No	
row_105	ENO1	10082	0.09243731945753098	0.11913827	No	
row_106	XBP1	10179	0.07973920553922653	0.11455825	No	
row_107	GSR	10200	0.07645463943481445	0.11389403	No	
row_108	RAB1A	10247	0.0680476501584053	0.11184401	No	
row_109	TBK1	10456	0.03901255130767822	0.10127256	No	
row_110	LDHA	10567	0.024162333458662033	0.09569899	No	
row_111	CANX	10589	0.0211753211915493	0.0947152	No	
row_112	PSMA4	10650	0.011800392530858517	0.09166839	No	
row_113	SEC11A	10696	0.005465374793857336	0.08936688	No	
row_114	PRDX1	10720	0.0024154807906597853	0.08818872	No	
row_115	LGMN	10728	0.0012847749749198556	0.087832816	No	
row_116	NFKBIB	10736	-2.4060501891653985E-4	0.08747185	No	
row_117	ELOVL5	11006	-0.03735963627696037	0.073736675	No	
row_118	PSMD14	11293	-0.07744183391332626	0.05931624	No	
row_119	SLC2A3	11335	-0.08269909769296646	0.05759588	No	
row_120	RPN1	11408	-0.0931197851896286	0.05432228	No	
row_121	BHLHE40	11501	-0.10605460405349731	0.050076693	No	
row_122	GAPDH	11519	-0.10826147347688675	0.04972178	No	
row_123	GTF2H1	11552	-0.11451874673366547	0.04862119	No	
row_124	FADS2	11669	-0.13157139718532562	0.043257643	No	
row_125	HSPE1	11708	-0.13647907972335815	0.041953053	No	
row_126	DHCR7	11869	-0.15997442603111267	0.03445087	No	
row_127	SHMT2	11925	-0.17030668258666992	0.03243072	No	
row_128	MAP2K3	11996	-0.18394561111927032	0.029700657	No	
row_129	TCEA1	12229	-0.21584424376487732	0.018744394	No	
row_130	P4HA1	12234	-0.21640169620513916	0.019585969	No	
row_131	EIF2S2	12286	-0.22428390383720398	0.018034281	No	
row_132	PSMG1	12456	-0.2532944083213806	0.010518654	No	
row_133	CCNF	12497	-0.2603360712528229	0.0097107105	No	
row_134	ACLY	12750	-0.303093820810318	-0.0018574733	No	
row_135	PSME3	12800	-0.31036487221717834	-0.002888616	No	
row_136	CD9	13046	-0.3527376651763916	-0.013854134	No	
row_137	DDIT3	13162	-0.37139976024627686	-0.018003933	No	
row_138	PIK3R3	13221	-0.37878498435020447	-0.019169165	No	
row_139	RDH11	13284	-0.3888111710548401	-0.02049275	No	
row_140	SLC2A1	13308	-0.3938063085079193	-0.019774543	No	
row_141	POLR3G	13435	-0.4154052138328552	-0.02428019	No	
row_142	PNP	13533	-0.43146398663520813	-0.027207771	No	
row_143	CACYBP	13592	-0.441064715385437	-0.028071247	No	
row_144	MTHFD2L	14026	-0.5210418701171875	-0.047947112	No	
row_145	CORO1A	14031	-0.5221222043037415	-0.045624264	No	
row_146	DHFR	14312	-0.5737307667732239	-0.057329684	No	
row_147	DDX39A	14339	-0.5771071314811707	-0.05587855	No	
row_148	SLC6A6	14445	-0.598567008972168	-0.05841035	No	
row_149	IFRD1	14473	-0.6046009063720703	-0.056877736	No	
row_150	GOT1	14661	-0.6445806622505188	-0.0634287	No	
row_151	PLOD2	14846	-0.6857373714447021	-0.06962506	No	
row_152	RPA1	14966	-0.710332989692688	-0.07233959	No	
row_153	NMT1	15003	-0.7169601917266846	-0.07072817	No	
row_154	PPIA	15016	-0.7196258306503296	-0.06786224	No	
row_155	STARD4	15246	-0.7748762369155884	-0.07595469	No	
row_156	IDH1	15362	-0.7986319065093994	-0.07803447	No	
row_157	IMMT	15387	-0.8045539259910583	-0.075377844	No	
row_158	GPI	15480	-0.8298055529594421	-0.07611672	No	
row_159	SLC7A11	15566	-0.8525406122207642	-0.07638331	No	
row_160	PDAP1	15567	-0.8528342247009277	-0.072251156	No	
row_161	CDC25A	15617	-0.8694812059402466	-0.07057328	No	
row_162	QDPR	15668	-0.8810495138168335	-0.06889108	No	
row_163	TXNRD1	15676	-0.884422779083252	-0.06496801	No	
row_164	PSMC2	15678	-0.8847817182540894	-0.060732804	No	
row_165	STC1	15723	-0.8989825248718262	-0.058653317	No	
row_166	SORD	15876	-0.939603865146637	-0.061964184	No	
row_167	ERO1A	16248	-1.0518046617507935	-0.07606095	No	
row_168	SLC1A4	16411	-1.105330228805542	-0.07908617	No	
row_169	LTA4H	16413	-1.105669379234314	-0.07378072	No	
row_170	MCM4	16447	-1.1187775135040283	-0.07006723	No	
row_171	PSPH	16479	-1.1306854486465454	-0.06619256	No	
row_172	CYB5B	16551	-1.1611677408218384	-0.06423953	No	
row_173	HPRT1	16620	-1.1845674514770508	-0.06201792	No	
row_174	ADIPOR2	16850	-1.2659552097320557	-0.06773099	No	
row_175	TES	16865	-1.2710505723953247	-0.062296774	No	
row_176	ITGB2	16904	-1.285757303237915	-0.058032893	No	
row_177	PNO1	16977	-1.3145825862884521	-0.055388268	No	
row_178	CCT6A	17106	-1.366425633430481	-0.055389505	No	
row_179	HMGCR	17126	-1.37625253200531	-0.049704228	No	
row_180	PITPNB	17483	-1.5400389432907104	-0.060659412	No	
row_181	PPA1	17540	-1.573097825050354	-0.055934504	No	
row_182	UNG	17641	-1.625156044960022	-0.05323362	No	
row_183	SERP1	17730	-1.6927658319473267	-0.049584355	No	
row_184	TOMM40	18216	-2.0141077041625977	-0.06491615	No	
row_185	EDEM1	18236	-2.0323450565338135	-0.056051977	No	
row_186	MCM2	18368	-2.1566731929779053	-0.052379515	No	
row_187	MTHFD2	18481	-2.268010139465332	-0.047184672	No	
row_188	BUB1	18607	-2.411118268966675	-0.041968975	No	
row_189	EBP	18716	-2.5348894596099854	-0.035274122	No	
row_190	HMBS	18930	-2.813964366912842	-0.03265907	No	
row_191	ABCF2	18994	-2.9472923278808594	-0.021638056	No	
row_192	FDXR	19054	-3.040653944015503	-0.009957757	No	
row_193	ACACA	19062	-3.0632784366607666	0.004522282	No	
row_194	PFKL	19324	-3.988863706588745	0.010346762	No	
