NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SUPV3L1	499	3.326552629470825	0.026760561	No	
row_1	NOC4L	607	3.101473569869995	0.070111796	No	
row_2	MCM5	925	2.662169933319092	0.09575717	No	
row_3	SRM	1571	2.100695848464966	0.095711306	No	
row_4	RRP9	2385	1.6925195455551147	0.08060723	No	
row_5	NPM1	2801	1.5160657167434692	0.08316785	No	
row_6	HK2	2915	1.4748111963272095	0.10059136	No	
row_7	TBRG4	3246	1.3661917448043823	0.10515764	No	
row_8	SLC29A2	3434	1.3126578330993652	0.11622617	No	
row_9	PRMT3	4044	1.1358660459518433	0.102833666	No	
row_10	LAS1L	4697	0.9795163869857788	0.08476995	No	
row_11	WDR74	5618	0.7913268208503723	0.049976114	No	
row_12	TCOF1	5690	0.779121994972229	0.05860008	No	
row_13	GRWD1	6549	0.6247090101242065	0.024366764	No	
row_14	RCL1	6823	0.5809977054595947	0.019494321	No	
row_15	BYSL	7530	0.4632089138031006	-0.009474893	No	
row_16	MYC	7711	0.43410974740982056	-0.011883716	No	
row_17	PLK1	8726	0.29049184918403625	-0.059394013	No	
row_18	HSPD1	8991	0.25183185935020447	-0.06898844	No	
row_19	UTP20	9695	0.1491634100675583	-0.10274969	No	
row_20	MPHOSPH10	9859	0.12230799347162247	-0.10919609	No	
row_21	TMEM97	10005	0.10250350832939148	-0.115029804	No	
row_22	DDX18	10071	0.09389736503362656	-0.11688975	No	
row_23	NOLC1	10180	0.0795011892914772	-0.1211852	No	
row_24	IMP4	10197	0.07696138322353363	-0.12079494	No	
row_25	RABEPK	10908	-0.022860320284962654	-0.156905	No	
row_26	GNL3	10938	-0.027355270460247993	-0.15796378	No	
row_27	PES1	11633	-0.12692531943321228	-0.19161297	No	
row_28	HSPE1	11708	-0.13647907972335815	-0.19326457	No	
row_29	NOP56	12005	-0.1854768842458725	-0.20554781	No	
row_30	IPO4	12338	-0.2328081876039505	-0.21893476	No	
row_31	WDR43	12474	-0.2560831308364868	-0.22183597	No	
row_32	CBX3	12550	-0.2715524435043335	-0.22141156	No	
row_33	DCTPP1	14477	-0.6049287915229797	-0.31081566	No	
row_34	NOP16	14880	-0.6928948760032654	-0.32055202	No	
row_35	PPRC1	15096	-0.7413382530212402	-0.31991988	No	
row_36	CDK4	15444	-0.8183580636978149	-0.32485506	Yes	
row_37	MRTO4	15460	-0.8237014412879944	-0.31265247	Yes	
row_38	RRP12	15610	-0.8673246502876282	-0.30664593	Yes	
row_39	NOP2	15695	-0.8895358443260193	-0.29695073	Yes	
row_40	SORD	15876	-0.939603865146637	-0.29139814	Yes	
row_41	MAP3K6	15884	-0.94194096326828	-0.27692237	Yes	
row_42	FARSA	15938	-0.9551079273223877	-0.26460207	Yes	
row_43	NDUFAF4	16039	-0.9849365949630737	-0.2542262	Yes	
row_44	NIP7	16266	-1.0568948984146118	-0.24918917	Yes	
row_45	MCM4	16447	-1.1187775135040283	-0.24081466	Yes	
row_46	PA2G4	16577	-1.1703848838806152	-0.22900765	Yes	
row_47	PHB	16598	-1.179363489151001	-0.21146029	Yes	
row_48	SLC19A1	16698	-1.211454153060913	-0.19746546	Yes	
row_49	PUS1	16741	-1.2268682718276978	-0.18029998	Yes	
row_50	PLK4	17306	-1.4564931392669678	-0.1863312	Yes	
row_51	MYBBP1A	17330	-1.4678127765655518	-0.16439494	Yes	
row_52	TFB2M	17538	-1.5720056295394897	-0.15026908	Yes	
row_53	UNG	17641	-1.625156044960022	-0.12991264	Yes	
row_54	DUSP2	18328	-2.115966558456421	-0.13182402	Yes	
row_55	AIMP2	19475	-5.870128154754639	-0.09823681	Yes	
row_56	EXOSC5	19490	-6.393913269042969	0.001746586	Yes	
