NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCGN	616	3.083857297897339	0.041455336	No	
row_1	SYT13	988	2.5959646701812744	0.08392347	No	
row_2	IAPP	1363	2.2385013103485107	0.11776823	No	
row_3	FOXO1	1447	2.176940441131592	0.16508746	No	
row_4	INSM1	1639	2.0613534450531006	0.20412593	No	
row_5	CHGA	2530	1.62484872341156	0.19695216	No	
row_6	PCSK1	3130	1.4019955396652222	0.19943134	No	
row_7	FOXA2	3352	1.334579348564148	0.21971078	No	
row_8	INS	3995	1.147429347038269	0.2139519	No	
row_9	ABCC8	4228	1.0896735191345215	0.22786428	No	
row_10	PAX6	4981	0.9216548204421997	0.2111113	No	
row_11	SLC2A2	6533	0.6266098022460938	0.14636612	No	
row_12	ELP4	7560	0.4576146602630615	0.10455795	No	
row_13	NEUROG3	8617	0.30703601241111755	0.05764261	No	
row_14	PAK3	8714	0.29147693514823914	0.05962224	No	
row_15	LMO2	9709	0.14703883230686188	0.012097682	No	
row_16	AKT3	9809	0.12900590896606445	0.010073923	No	
row_17	SST	10218	0.07340870052576065	-0.009123833	No	
row_18	PDX1	10227	0.07177501916885376	-0.00783379	No	
row_19	SEC11A	10696	0.005465374793857336	-0.03172031	No	
row_20	SRP14	11151	-0.056344203650951385	-0.053682923	No	
row_21	SRP9	11270	-0.07463338226079941	-0.057969946	No	
row_22	NEUROD1	11288	-0.0768592432141304	-0.05702129	No	
row_23	SPCS1	11420	-0.09487629681825638	-0.061495803	No	
row_24	GCK	11572	-0.11666875332593918	-0.066480316	No	
row_25	PAX4	12174	-0.20894092321395874	-0.09237093	No	
row_26	STXBP1	12567	-0.27490904927253723	-0.10597346	No	
row_27	GCG	12667	-0.2920314371585846	-0.104134634	No	
row_28	ISL1	13790	-0.4778907895088196	-0.15038876	No	
row_29	SRPRB	14397	-0.5876204371452332	-0.16756387	No	
row_30	DPP4	15469	-0.8269273042678833	-0.2029311	No	
row_31	G6PC2	15555	-0.8489906191825867	-0.18717776	No	
row_32	HNF1A	15692	-0.8875896334648132	-0.17312703	No	
row_33	DCX	18046	-1.886212706565857	-0.24918395	Yes	
row_34	MAFB	18560	-2.3531768321990967	-0.21975513	Yes	
row_35	PCSK2	19034	-3.01102614402771	-0.17268716	Yes	
row_36	VDR	19296	-3.837822675704956	-0.09515077	Yes	
row_37	PKLR	19391	-4.507623672485352	0.0068251053	Yes	
